N	4gram	Losev_Prob	Morfolog
1	как мы увидим ниже	2	4
2	в связи с этим	2	4
3	в то время как	2	3
4	это не значит что	1	2
5	в том случае если	1	2
6	и тем не менее	8	2
7	не что иное как	5	2
8	говорить о том что	1	2
9	действующих лиц в этой	1	1
10	о том что такое	1	1
11	а на самом деле	1	1
12	иметь в виду следующее	1	1
13	и т д и	4	1
14	во что бы то	2	1
15	в этом случае он	1	1
16	то это значит что	2	1
17	бы то ни стало	2	1
18	и т д здесь	1	1
19	в точном смысле слова	1	1
20	и в других случаях	1	1
21	одно и то же	1	1
22	то во всяком случае	3	1
23	точно так же и	3	1
24	не имеет ничего общего	4	1
25	же в этих случаях	1	1
26	и т д это	1	1
27	в том случае когда	1	1
28	в настоящее время уже	1	1
29	во всех этих случаях	1	1
30	только в том случае	2	1
31	один и тот же	1	1
32	прежде чем перейти к	2	1
33	и т д все	1	1
34	что бы то ни	2	1
35	в том что все	1	1
36	на то что в	1	1
37	есть не что иное	5	1
