N	3gram	Medvedev_S	Literetu
1	в том что	2	21
2	в то же	1	21
3	то же время	1	21
4	по отношению к	2	12
5	с одной стороны	1	12
6	в конечном счете	1	10
7	в связи с	1	5
8	и наконец в	1	3
9	то же самое	1	3
10	по крайней мере	1	3
11	во всяком случае	1	3
12	из тех кто	1	2
13	сказать и о	1	2
14	а с другой	1	2
15	только то что	1	2
16	чуть ли не	1	2
17	в каждом своем	1	1
18	то что в	1	1
19	тем более не	1	1
20	не в том	2	1
21	друг от друга	1	1
22	а в том	1	1
23	в конце концов	2	1
24	но только в	1	1
25	и в то	1	1
26	вот в чем	1	1
27	далеко еще не	1	1
28	именно на этот	1	1
29	в наше время	1	1
30	сама по себе	1	1
31	о том как	1	1
32	по существу это	1	1
33	и в этом	1	1
34	мы не желаем	1	1
35	но одно дело	1	1
36	и только как	1	1
37	в данном стихотворении	1	1
38	в литературоведении и	1	1
39	данном стихотворении или	1	1
40	в лучшем случае	1	1
41	именно в том	1	1
42	не выходит за	1	1
43	это и есть	1	1
