N	2gram	Tiupa_Anal	Stilisti
1	и в	36	42
2	как бы	14	30
3	не только	40	28
4	и т.п	7	25
5	прежде всего	7	22
6	и т.д	3	21
7	хотя бы	1	18
8	то же	7	16
9	но и	26	16
10	и не	14	14
11	может быть	19	13
12	не может	3	13
13	как и	27	12
14	что мы	2	11
15	мы уже	2	11
16	точки зрения	3	11
17	в этом	19	10
18	в себе	7	10
19	и как	5	10
20	мы должны	1	10
21	как мы	4	10
22	отнюдь не	7	10
23	мы не	4	9
24	при этом	19	9
25	все же	6	9
26	то что	5	9
27	для того	1	9
28	в то	8	9
29	таким образом	4	8
30	с тем	2	8
31	речевого общения	1	8
32	в ней	2	8
33	тем самым	8	8
34	что же	1	8
35	с его	15	8
36	ничего не	3	8
37	и на	5	7
38	так и	19	7
39	мы можем	2	7
40	только в	9	7
41	в которой	1	7
42	зависимости от	1	7
43	и его	18	7
44	потому что	1	7
45	того чтобы	1	7
46	и тем	3	7
47	же время	7	7
48	было бы	6	7
49	и той	2	7
50	той же	7	7
51	и от	3	7
52	в зависимости	1	7
53	а не	16	7
54	никогда не	7	7
55	во всех	4	6
56	в его	12	6
57	не в	9	6
58	в нем	3	6
59	в конце	6	6
60	но ведь	1	6
61	и так	1	6
62	на его	3	6
63	бы в	1	6
64	в свою	9	6
65	речи и	1	6
66	с помощью	1	6
67	в форме	2	6
68	или как	1	6
69	когда мы	2	6
70	в этой	10	6
71	слова в	2	6
72	мы будем	1	6
73	или иной	9	6
74	в той	3	5
75	в самом	7	5
76	высказывания но	1	5
77	связанных с	1	5
78	то есть	15	5
79	уже в	5	5
80	и их	3	5
81	с точки	2	5
82	те же	3	5
83	не является	5	5
84	самом деле	2	5
85	и с	1	5
86	но в	8	5
87	вместе с	3	5
88	своей жизни	2	5
89	того или	6	5
90	а с	2	5
91	слова и	1	5
92	как это	7	5
93	и является	3	5
94	а в	17	5
95	в нашем	4	5
96	и то	2	5
97	же мы	1	5
98	обратное влияние	1	5
99	или иного	5	5
100	независимо от	1	5
101	и наконец	1	5
102	одной и	2	4
103	были бы	3	4
104	и к	7	4
105	мы видим	1	4
106	один из	6	4
107	всех своих	1	4
108	что это	1	4
109	на него	1	4
110	что такое	1	4
111	все это	5	4
112	в качестве	22	4
113	или иную	1	4
114	в одном	4	4
115	с появлением	2	4
116	его в	4	4
117	слова как	2	4
118	если бы	2	4
119	и все	3	4
120	во внутренней	1	4
121	в слове	5	4
122	так сказать	2	4
123	к своему	1	4
124	у нас	1	4
125	в словах	1	4
126	да и	3	4
127	уже не	9	4
128	к тому	10	4
129	о том	9	4
130	связаны с	2	4
131	и без	3	4
132	вопроса о	2	4
133	человека не	1	4
134	той или	6	4
135	в каждом	4	4
136	можно сказать	5	4
137	если мы	1	4
138	языка и	1	4
139	ту или	1	4
140	о своей	2	4
141	его внутренней	1	4
142	не что	1	4
143	можно было	2	4
144	свою очередь	7	4
145	так же	1	4
146	лишь в	9	4
147	в целом	8	4
148	себя в	6	4
149	тем же	1	4
150	слово не	1	4
151	тех или	1	4
152	того что	4	4
153	что было	1	3
154	внутренней жизни	1	3
155	не так	2	3
156	этом случае	1	3
157	ответ на	3	3
158	и здесь	4	3
159	та же	1	3
160	что у	3	3
161	совершенно не	3	3
162	если он	1	3
163	для нас	1	3
164	и вот	2	3
165	иметь дело	2	3
166	в том	16	3
167	или иных	1	3
168	отношения к	6	3
169	теперь в	1	3
170	несмотря на	2	3
171	для него	8	3
172	хотя и	4	3
173	в разных	1	3
174	внутренней и	2	3
175	в ее	5	3
176	и внешней	3	3
177	из которых	2	3
178	то мы	1	3
179	на самом	1	3
180	что и	10	3
181	в виду	1	3
182	быть может	1	3
183	общий смысл	1	3
184	долгое время	1	3
185	между ними	3	3
186	и само	1	3
187	связи с	1	3
188	и даже	12	3
189	здесь мы	1	3
190	в основе	2	3
191	жизни это	2	3
192	высказывания как	2	3
193	всякое высказывание	2	3
194	вряд ли	1	3
195	все эти	2	3
196	как в	9	3
197	по своему	3	3
198	должно было	1	3
199	том что	19	3
200	бы мы	1	3
201	вследствие этого	1	3
202	роль в	5	3
203	об этом	3	3
204	конце концов	1	3
205	перед нами	7	3
206	еще не	7	3
207	до того	1	3
208	но при	1	3
209	его и	1	3
210	нуждается в	2	3
211	мертвых душ	1	3
212	в устах	1	3
213	другого на	1	3
214	если не	1	3
215	зрения как	1	3
216	как предмет	1	3
217	между тем	8	3
218	высказывания и	1	3
219	во второй	8	3
220	не знает	2	3
221	в частности	19	3
222	только на	1	3
223	не с	3	3
224	в тех	2	3
225	связь между	1	3
226	о своем	4	3
227	в начале	10	3
228	целый ряд	1	3
229	перед ним	2	3
230	их в	1	3
231	иван петрович	1	3
232	не становится	1	3
233	не будет	3	3
234	сказать что	2	3
235	высказывания в	1	3
236	может показаться	1	3
237	в голову	1	3
238	жизни и	2	3
239	чаще всего	1	3
240	этого слова	3	3
241	знакомства с	1	3
242	к той	1	3
243	не мог	4	3
244	и для	4	3
245	это не	4	3
246	из них	4	3
247	он должен	1	3
248	и ту	2	2
249	и всего	1	2
250	был и	1	2
251	для всех	5	2
252	и он	4	2
253	очевидно что	2	2
254	и конечно	2	2
255	ничем не	1	2
256	от ситуации	1	2
257	самой ситуации	1	2
258	что иное	1	2
259	художественного высказывания	3	2
260	должно быть	1	2
261	зависит от	1	2
262	итак мы	1	2
263	на бранном	1	2
264	и при	1	2
265	и потому	3	2
266	каждый из	2	2
267	мы имеем	5	2
268	еще более	1	2
269	другого человека	1	2
270	своего героя	2	2
271	с самим	3	2
272	ни к	3	2
273	глаза и	1	2
274	происходит как	1	2
275	этом отношении	3	2
276	с ним	2	2
277	о чем	5	2
278	и все-таки	1	2
279	но как	4	2
280	в отношении	2	2
281	жизнь мою	1	2
282	переживания и	1	2
283	с другими	1	2
284	даже на	1	2
285	иными словами	1	2
286	смысле этого	1	2
287	как нечто	1	2
288	следует искать	1	2
289	но это	3	2
290	достаточно было	1	2
291	слова не	1	2
292	в их	7	2
293	о них	1	2
294	а на	2	2
295	связь с	3	2
296	высказывания не	1	2
297	в своих	3	2
298	не было	3	2
299	в предыдущей	1	2
300	на этот	1	2
301	или в	4	2
302	не обладает	1	2
303	из двух	1	2
304	к чему	2	2
305	с ней	1	2
306	но эта	2	2
307	но не	13	2
308	тем что	3	2
309	на наш	5	2
310	я и	6	2
311	в жизни	2	2
312	либо в	2	2
313	в связи	1	2
314	что он	5	2
315	случаях когда	1	2
316	же самой	1	2
317	или даже	1	2
318	не есть	6	2
319	в своей	12	2
320	в мире	17	2
321	на эту	2	2
322	в этих	2	2
323	ли не	5	2
324	и сам	8	2
325	больше и	1	2
326	речевом потоке	1	2
327	существенным моментом	1	2
328	по своей	5	2
329	войти в	1	2
