N	3gram	Tiupa_Narr	Stilisti
1	в то же	7	9
2	для того чтобы	4	7
3	в зависимости от	3	7
4	то же время	7	7
5	того или иного	3	5
6	с точки зрения	2	5
7	одно и то	2	5
8	и то же	2	5
9	в свою очередь	2	4
10	той или иной	6	4
11	заключает в себе	2	4
12	то же самое	3	4
13	то что мы	1	4
14	в конце фразы	1	3
15	но и в	4	3
16	но для того	1	3
17	на самом деле	1	3
18	как мы видели	1	3
19	не только в	12	3
20	и тем самым	6	3
21	которое может быть	1	3
22	и т.п и	2	3
23	но все же	1	3
24	как бы в	2	3
25	в той же	1	3
26	в самом деле	3	2
27	и тем же	1	2
28	и точек зрения	1	2
29	не может быть	6	2
30	по отношению к	5	2
31	о том что	3	2
32	можно сказать что	5	2
33	и как бы	1	2
34	и вследствие этого	1	2
35	связи с этим	1	2
36	то же слово	1	2
37	но при этом	3	2
38	мы не знаем	1	2
39	только потому что	1	2
40	и в то	2	2
41	как мы увидим	1	2
42	на первый взгляд	1	2
43	в связи с	3	2
44	к тому что	4	2
45	что иное как	1	2
46	в этом отношении	5	2
47	и не только	1	2
48	в значительной степени	1	2
49	или хотя бы	1	2
50	и т.п это	1	1
51	в нашем случае	1	1
52	в том что	11	1
53	с другими людьми	1	1
54	и в жизни	2	1
55	а не иначе	1	1
56	только благодаря этому	1	1
57	как бы из	1	1
58	понимания а не	2	1
59	мы уже знаем	1	1
60	мысль о том	1	1
61	в конечном счете	4	1
62	вследствие того что	2	1
63	отношение к миру	1	1
64	и нельзя было	1	1
65	дело не с	1	1
66	в большинстве случаев	1	1
67	по крайней мере	1	1
68	в русской литературе	1	1
69	самое происходит и	1	1
70	в нашем сознании	2	1
71	из которых он	1	1
72	внешний облик героя	1	1
73	по большей части	5	1
74	могло бы стать	1	1
75	как и в	1	1
76	уже не к	1	1
77	тем не менее	6	1
78	принадлежащих к той	1	1
79	той же мере	1	1
80	особое место в	2	1
81	более или менее	2	1
82	по сравнению с	1	1
83	связанных между собой	1	1
84	в качестве одного	1	1
85	на этот вопрос	1	1
86	и та же	1	1
87	одного и того	2	1
88	лишь то что	1	1
89	в определенный момент	1	1
90	так а не	1	1
91	в исторической жизни	1	1
92	до сих пор	3	1
93	в разговоре с	1	1
94	не смог бы	1	1
95	и здесь мы	1	1
96	одним и тем	1	1
97	иметь в виду	1	1
98	так и по	1	1
99	содержит в себе	1	1
100	кем я был	1	1
101	и ответ на	1	1
102	бросается в глаза	1	1
103	тем же самым	1	1
104	как и всякий	1	1
105	то хотя бы	1	1
106	само по себе	1	1
107	один из этих	1	1
108	тому или иному	1	1
109	и не мог	1	1
110	несет в себе	1	1
111	не только на	2	1
112	не только не	2	1
113	и того же	2	1
114	ни единого слова	1	1
115	не может обойтись	1	1
116	же самое происходит	1	1
117	не может не	1	1
118	обмен репликами со	1	1
119	одна и та	1	1
120	как раз и	1	1
121	в хх веке	1	1
122	и все же	4	1
123	он почувствовал что	1	1
124	зависимости от социального	1	1
125	но уже не	1	1
126	с другой стороны	1	1
127	в этой ситуации	1	1
128	перед нами не	2	1
129	и т.п как	1	1
130	уже не только	1	1
131	это прежде всего	1	1
132	с точкой зрения	1	1
133	на эту тему	1	1
134	все что было	1	1
135	можно было бы	1	1
136	или иному типу	1	1
137	и т.п то	1	1
138	мы не можем	1	1
139	и не может	3	1
140	ответ на него	1	1
