N	3gram	Bakhtin_fo	Freidism
1	с точки зрения	9	15
2	не может быть	4	14
3	по отношению к	3	11
4	в самом деле	1	10
5	в том что	4	9
6	как мы видели	1	8
7	во всяком случае	1	8
8	и прежде всего	4	7
9	в то же	10	6
10	в высшей степени	1	6
11	то же время	13	6
12	может быть и	4	6
13	в большинстве случаев	2	5
14	с самого начала	3	5
15	можно сказать что	1	5
16	как мы уже	11	5
17	в ее целом	2	4
18	в свою очередь	1	4
19	это вовсе не	1	4
20	и до конца	2	4
21	мы уже указывали	4	4
22	на самом деле	1	4
23	в зависимости от	1	4
24	в данном случае	2	4
25	в чем не	3	4
26	не могут быть	1	4
27	на первый план	2	4
28	в этом отношении	5	4
29	ни в чем	3	4
30	в последнем счете	3	4
31	все то что	2	3
32	мы уже знаем	1	3
33	для того чтобы	11	3
34	о том что	2	3
35	до сих пор	4	3
36	так и в	1	3
37	узком смысле слова	1	3
38	прежде всего к	1	3
39	но в то	2	3
40	быть и речи	2	3
41	а вовсе не	1	3
42	теперь мы должны	1	3
43	это как бы	1	2
44	точка зрения на	1	2
45	равно как и	4	2
46	но вместе с	1	2
47	и может быть	1	2
48	снова и снова	1	2
49	в конце концов	1	2
50	а следовательно и	3	2
51	все снова и	1	2
52	и пр и	1	2
53	по своему содержанию	1	2
54	и связанных с	1	2
55	его жизни и	1	2
56	и все его	2	2
57	что и в	1	2
58	в отличие от	3	2
59	выходит за пределы	1	2
60	к тому что	1	2
61	в подходе к	2	2
62	в другом месте	2	2
63	с одной стороны	3	2
64	пр и пр	1	2
65	в его целом	2	2
66	как раз и	2	2
67	а также и	3	2
68	то же самое	1	2
69	и т д	3	1
70	на этой почве	1	1
71	последующей жизни но	1	1
72	сущность этого метода	1	1
73	в этом случае	1	1
74	то время когда	1	1
75	и со всеми	1	1
76	сих пор не	1	1
77	и у нас	1	1
78	вещи и явления	2	1
79	все это для	1	1
80	свои корни в	1	1
81	вместе с этим	1	1
82	жизни по преимуществу	1	1
83	распадается на ряд	1	1
84	до них и	1	1
85	из того же	1	1
86	и др в	2	1
87	той или иной	3	1
88	вполне понятно что	4	1
89	в противоречии с	1	1
90	по аналогии с	1	1
91	сводится к тому	1	1
92	лежит на границе	1	1
93	прежде всего тот	1	1
94	в стадии разложения	1	1
95	вовсе не является	2	1
96	до известной степени	1	1
97	и наконец в	1	1
98	своей энергии и	1	1
99	чем не выходит	1	1
100	больше и больше	1	1
101	точки зрения не	3	1
102	которой мы говорили	1	1
103	в самую гущу	1	1
104	но и в	5	1
105	между собой в	1	1
106	к себе самому	7	1
107	и для развития	1	1
108	мы видим в	1	1
109	одни из них	1	1
110	одна из разновидностей	1	1
111	единства и целостности	1	1
112	и для других	1	1
113	все больше и	1	1
114	в данный момент	1	1
115	конечно и речи	2	1
116	стадии разложения и	1	1
117	по сравнению с	3	1
118	его таким образом	1	1
119	в нем мы	1	1
120	же что и	3	1
121	большую роль в	2	1
122	была бы совершенно	1	1
123	но она не	1	1
124	в себя и	2	1
125	во всех его	1	1
126	имеем в виду	3	1
127	нашей точки зрения	3	1
128	жизни так и	1	1
129	и вот когда	1	1
130	значение чем в	1	1
131	в себе и	1	1
132	не умирает и	1	1
133	во всех отношениях	1	1
134	очень важный момент	2	1
135	в жизни и	1	1
136	в котором он	1	1
137	здесь рядом с	1	1
138	в том же	3	1
139	быть конечно и	2	1
140	к выводу что	1	1
141	довлеет себе и	1	1
142	конечно не в	1	1
143	отличает его от	1	1
144	как и большинство	1	1
145	они не могут	2	1
146	достаточно указать на	1	1
147	только в этом	1	1
148	весь остальной мир	1	1
149	в то время	3	1
150	но нам важно	1	1
151	и то же	4	1
152	говорит о том	1	1
153	во всей последующей	1	1
154	мы должны еще	1	1
155	человека в условиях	1	1
156	друг на друга	4	1
157	его в основном	1	1
158	по преимуществу его	1	1
159	его жизни по	1	1
160	и пр все	1	1
