N	2gram	Bakhtin_Pr	RusskieA
1	и в	59	79
2	в том	17	64
3	том что	15	59
4	что в	14	57
5	не только	26	41
6	так как	11	34
7	и другие	4	33
8	в этом	40	33
9	как бы	40	31
10	но и	22	31
11	в других	1	30
12	как и	21	28
13	и на	15	28
14	может быть	38	28
15	в этот	2	26
16	одна из	4	24
17	о том	5	23
18	при этом	5	22
19	это не	13	20
20	а в	9	20
21	как мы	10	20
22	из них	8	19
23	представляют собой	1	18
24	все это	12	18
25	таким образом	22	17
26	то что	21	17
27	вместе с	2	17
28	об этом	4	17
29	потому что	20	17
30	мы не	3	16
31	будто бы	1	15
32	один из	4	15
33	в них	5	14
34	и с	10	14
35	не менее	3	14
36	тем не	1	14
37	как это	2	14
38	и что	2	14
39	мы видели	3	14
40	и не	66	14
41	для нас	3	14
42	у нас	2	14
43	уже не	14	13
44	к этому	6	13
45	в некоторых	1	13
46	так что	3	13
47	и по	4	13
48	как в	10	13
49	в которых	2	13
50	еще не	11	13
51	не может	31	13
52	тем что	5	12
53	этом случае	1	12
54	мы имеем	2	12
55	в виде	1	12
56	мы увидим	1	11
57	в лесу	1	11
58	не имеет	2	11
59	но это	7	11
60	а на	1	11
61	далеко не	3	11
62	что на	1	11
63	все же	9	10
64	так например	1	10
65	это делалось	1	10
66	том чтобы	1	10
67	его в	6	10
68	между тем	5	10
69	что и	10	10
70	так и	13	10
71	или в	2	10
72	по существу	5	10
73	и других	8	10
74	то же	15	9
75	что они	3	9
76	с ней	1	9
77	и все	4	9
78	данном случае	3	9
79	того как	1	9
80	но в	7	9
81	но не	13	9
82	одно из	2	8
83	в этих	5	8
84	что по	1	8
85	так же	10	8
86	связи с	1	8
87	на себя	3	8
88	во всех	8	8
89	что это	1	8
90	подобно тому	5	8
91	их в	8	8
92	в россии	1	8
93	того чтобы	5	8
94	как например	2	8
95	того что	4	8
96	ее в	2	8
97	в данном	3	8
98	не все	2	8
99	как уже	1	8
100	тому как	5	8
101	для того	3	8
102	же в	3	8
103	в руках	1	7
104	должна была	4	7
105	в своем	12	7
106	на них	1	7
107	к нему	13	7
108	а и	2	7
109	не в	10	7
110	в свете	4	7
111	а с	4	7
112	не совсем	2	7
113	было бы	10	7
114	только в	15	7
115	еще в	1	7
116	из этих	2	7
117	а не	30	7
118	до конца	11	7
119	ничего не	8	7
120	не можем	1	7
121	иногда и	1	7
122	и как	10	7
123	мы должны	6	7
124	по этому	2	7
125	как будто	4	7
126	для этого	4	7
127	в году	1	6
128	же как	5	6
129	к тому	1	6
130	только на	1	6
131	но они	4	6
132	в одном	14	6
133	что она	6	6
134	в качестве	1	6
135	чем в	3	6
136	в разные	1	6
137	в таком	2	6
138	тому что	3	6
139	на земле	1	6
140	и у	6	6
141	на этом	1	6
142	в этой	5	6
143	в нем	38	6
144	с ними	3	6
145	приводит к	4	6
146	и более	2	6
147	друг друга	10	6
148	и пр	3	6
149	в первый	1	6
150	или с	1	6
151	в их	5	6
152	на нее	1	6
153	все эти	12	6
154	так в	1	6
155	она не	9	6
156	в новый	1	6
157	и их	7	6
158	и о	5	6
159	и к	5	5
160	стоит в	1	5
161	например в	5	5
162	только для	2	5
163	тогда как	1	5
164	с этим	2	5
165	вопрос о	4	5
166	входит в	11	5
167	с другой	3	5
168	изображается как	1	5
169	к ним	3	5
170	как правило	1	5
171	по поводу	2	5
172	не было	5	5
173	такие же	1	5
174	земле и	1	5
175	мы уже	4	5
176	или же	2	5
177	в тех	1	5
178	можно было	5	5
179	в последний	2	5
180	и др	1	5
181	там где	12	5
182	в то	15	5
183	прежде всего	17	5
184	в особенности	2	5
185	его с	2	5
186	тогда когда	2	5
187	с ним	13	5
188	для них	3	5
189	что он	16	5
190	ничего общего	1	5
191	то и	2	5
192	в свою	1	5
193	к себе	2	5
194	заметить что	2	5
195	но если	1	5
196	видел в	2	5
197	и для	5	5
198	тот же	4	5
199	в его	44	5
200	на самом	5	5
201	это предположение	1	5
202	или даже	2	5
203	и потому	9	5
204	не с	1	5
205	их на	1	5
206	в целом	8	5
207	во всем	1	4
208	кроме того	3	4
209	не столько	3	4
210	в своих	5	4
211	но все	8	4
212	именно в	8	4
213	всякого рода	1	4
214	во всяком	5	4
215	в котором	6	4
216	но эти	2	4
217	в отличие	3	4
218	под названием	1	4
219	во всей	2	4
220	от них	3	4
221	что у	5	4
222	несмотря на	7	4
223	как можно	3	4
224	но он	3	4
225	здесь мы	3	4
226	этот вопрос	3	4
227	что для	4	4
228	но есть	2	4
229	могут быть	5	4
230	и от	3	4
231	по нескольку	1	4
232	своего рода	1	4
233	и здесь	5	4
234	та же	1	4
235	за ним	2	4
236	они и	3	4
237	в основном	2	4
238	и при	1	4
239	не на	6	4
240	то время	3	4
241	в основе	6	4
242	где есть	1	4
243	и до	5	4
244	и там	1	4
245	на две	1	4
246	в образе	4	4
247	этого слова	3	4
248	всяком случае	3	4
249	у них	1	4
250	уже в	9	4
251	его и	4	4
252	такой же	1	4
253	в уже	1	4
254	отличие от	3	4
255	в ней	8	4
256	по всей	1	4
257	к ней	1	4
258	которые в	2	4
259	и ее	5	4
260	и тогда	1	4
261	таким же	4	4
262	все что	6	3
263	к другу	4	3
264	можно говорить	2	3
265	же и	2	3
266	которые не	1	3
267	судить о	1	3
268	говорит о	1	3
269	в какой	2	3
270	и другими	6	3
271	в виду	2	3
272	более или	1	3
273	на которых	1	3
274	из самых	1	3
275	есть в	10	3
276	где они	1	3
277	а именно	4	3
278	в одно	1	3
279	как только	2	3
280	на первый	1	3
281	от этого	2	3
282	еще далеко	1	3
283	представления о	1	3
284	только как	1	3
285	по отношению	17	3
286	но ни	1	3
287	и еще	2	3
288	как на	4	3
289	на которой	2	3
290	находится в	2	3
291	что все	5	3
292	точки зрения	36	3
293	что именно	2	3
294	вся эта	1	3
295	никогда не	19	3
296	ее и	2	3
297	с одной	1	3
298	на него	4	3
299	хотя и	1	3
300	в ее	4	3
301	имели место	1	3
302	и через	2	3
303	можно больше	2	3
304	по содержанию	1	3
305	это конечно	1	3
306	или не	2	3
307	в которой	6	3
308	iii в	1	3
309	большинстве случаев	3	3
310	в области	3	3
311	и это	5	3
312	в эту	1	3
313	сих пор	3	3
314	человека а	2	3
315	в русской	3	3
316	приведем несколько	1	3
317	того в	1	3
318	к слову	1	3
319	совсем не	1	3
320	можно сделать	1	3
321	в форме	8	3
322	с таким	1	3
323	ней в	1	3
324	его к	4	3
325	всех этих	3	3
326	любви и	1	3
327	до сих	3	3
328	друг к	4	3
329	них в	2	3
330	то есть	64	3
331	также что	1	3
332	живет в	1	3
333	из таких	1	3
334	из которых	3	3
335	независимо от	1	3
336	если бы	12	3
337	их и	3	3
338	в своей	17	3
339	жизни в	3	3
340	не во	3	3
341	смерти и	1	3
342	так чтобы	3	3
343	с точки	21	3
344	значение и	1	3
345	с которой	4	3
346	последний день	2	3
347	каждый из	1	3
348	нет и	4	3
349	и во	2	3
350	на этот	2	3
351	здесь не	2	3
352	в другое	3	3
353	они были	1	3
354	хозяин и	2	3
355	и то	1	3
356	ее на	1	3
357	из основных	1	3
358	и этим	2	3
359	это и	10	3
360	они живут	1	3
361	же не	1	3
362	с другими	11	3
363	своей книге	2	3
364	этом не	1	3
365	они могли	1	3
366	между собою	1	3
367	или менее	1	3
368	в одной	9	3
369	жизнь и	3	3
370	церкви и	1	3
371	быть и	1	3
372	что касается	1	3
373	есть и	2	3
374	как он	5	3
375	думать что	1	3
376	в большинстве	3	3
377	считает что	1	3
378	отношению к	17	3
379	место в	2	3
380	и его	21	3
381	это в	3	3
382	слова в	4	3
383	и другое	1	3
384	не к	1	3
385	от него	3	2
386	к этой	1	2
387	с этой	1	2
388	тем как	4	2
389	но тем	1	2
390	не как	15	2
391	время не	3	2
392	чтобы она	1	2
393	другой стороны	3	2
394	и которые	1	2
395	по себе	13	2
396	ему но	2	2
397	в духе	3	2
398	ни одна	2	2
399	равно как	1	2
400	из всего	2	2
401	живого человека	1	2
402	на эту	1	2
403	и следовательно	7	2
404	в момент	4	2
405	в дальнейшем	2	2
406	было не	1	2
407	можно сказать	3	2
408	во все	5	2
409	раз и	4	2
410	но даже	1	2
411	другу и	1	2
412	всем этим	2	2
413	вот почему	3	2
414	оно как	1	2
415	характер в	1	2
416	говорить о	3	2
417	о них	2	2
418	и когда	1	2
419	е годы	2	2
420	людей и	2	2
421	себе в	1	2
422	на ней	1	2
423	по всему	1	2
424	в прошлом	1	2
425	сказать что	9	2
426	он так	1	2
427	в нашем	3	2
428	части и	1	2
429	который в	2	2
430	в противном	1	2
431	друг с	4	2
432	в европе	1	2
433	к этим	2	2
434	точка зрения	14	2
435	все в	7	2
436	к различным	1	2
437	мы видим	5	2
438	и он	3	2
439	должно быть	4	2
440	время и	2	2
441	смысле в	1	2
442	что такое	1	2
443	и за	1	2
444	у него	9	2
445	как по	1	2
446	одним из	11	2
447	быть только	3	2
448	как его	2	2
449	не раскрывает	1	2
450	в конце	9	2
451	между ними	4	2
452	следовательно и	2	2
453	был не	2	2
454	из одного	4	2
455	в чем	2	2
456	могло бы	1	2
457	под влиянием	1	2
458	в каждом	11	2
459	сами не	1	2
460	мы можем	3	2
461	они становятся	1	2
462	и даже	4	2
463	только с	2	2
464	не дает	4	2
465	ту же	1	2
466	он не	11	2
467	и тем	2	2
468	в развитии	1	2
469	более поздняя	1	2
470	что эта	1	2
471	и является	1	2
472	иметь в	1	2
473	ни одно	1	2
474	его жизнь	2	2
475	также не	2	2
476	в новое	1	2
477	ту сторону	2	2
478	общего с	1	2
479	его как	6	2
480	вера в	2	2
481	необходимо еще	1	2
482	друг другу	3	2
483	в себе	9	2
484	не значит	4	2
485	до смерти	1	2
486	себе дело	1	2
487	образом в	2	2
488	из этого	1	2
489	в один	2	2
490	и особенно	2	2
491	на всю	1	2
492	и сами	1	2
493	от нее	1	2
494	не так	3	2
495	на западе	2	2
496	и затем	1	2
497	в жизни	7	2
498	не всякий	1	2
499	в другой	4	2
500	утверждает что	1	2
501	от другого	1	2
502	оно не	2	2
503	во что	2	2
504	все то	5	2
505	самом деле	9	2
506	можно согласиться	1	2
507	на столе	1	2
508	показать что	1	2
509	если это	1	2
510	и действительно	1	2
511	как не	9	2
512	к нам	2	2
513	и так	1	2
514	быть назван	1	2
515	себя и	4	2
516	при всех	1	2
517	нет в	1	2
518	перед нами	8	2
519	но их	1	2
520	они ничего	1	2
521	совершенно не	2	2
522	всем этом	1	2
523	не является	2	2
524	ясно и	1	2
525	не имеют	1	2
526	и если	1	2
527	относится к	2	2
528	ее до	1	2
529	этой работы	2	2
530	быть не	1	2
531	и теперь	1	2
532	что если	4	2
533	не могло	1	2
534	ее с	3	2
535	руках и	1	2
536	он есть	5	2
537	литературы в	1	2
538	через него	1	2
539	к другому	2	2
540	из одной	1	2
541	за пределами	2	2
542	с нею	1	2
543	с его	14	2
544	иногда в	1	2
545	подойти к	1	2
546	он должен	1	2
547	только человек	1	2
548	ответ на	2	2
549	но на	2	2
550	в более	1	2
551	значение в	1	2
552	они не	5	2
553	ни с	1	2
554	на тех	1	2
555	и всегда	1	2
556	для него	23	2
557	этом отношении	7	2
558	как у	4	2
559	здесь в	3	2
560	из своих	1	2
561	что каждый	1	2
562	и е	1	2
563	участие в	1	2
564	однако не	2	2
565	входила в	2	2
566	но эта	4	2
567	дело в	1	2
568	он видел	2	2
569	нет надобности	2	2
570	чтобы быть	2	2
571	случае не	1	2
572	с другом	4	2
573	должен быть	1	2
574	тем более	2	2
575	чтобы сделать	1	2
576	еще до	1	2
577	ко всему	1	2
578	может иметь	1	2
579	а как	8	2
580	и притом	3	2
581	в частности	2	2
582	не оставляет	4	2
583	из окошка	1	2
584	в человеческом	1	2
585	от земли	1	2
586	только у	4	2
587	в начале	3	2
588	в пределах	13	2
589	и всех	2	2
590	отношение к	4	2
591	для такого	2	2
592	только одну	1	2
593	если она	1	2
