N	2gram	Tiupa_Hudo	VrazhdaK
1	не только	22	9
2	в этом	22	8
3	и в	34	8
4	и что	3	8
5	что в	8	7
6	тургенева в	1	7
7	достоевского в	1	7
8	достоевского и	1	7
9	и все	10	7
10	но и	13	7
11	то что	13	7
12	о нем	4	6
13	как и	16	6
14	и даже	4	6
15	и с	10	6
16	в романе	1	6
17	все же	5	6
18	в котором	5	6
19	в начале	3	6
20	в нем	5	6
21	но в	6	6
22	то же	14	5
23	с тургеневым	1	5
24	у него	13	5
25	г а	1	5
26	и не	15	5
27	между тем	14	5
28	об этом	8	5
29	в письме	1	5
30	не было	8	5
31	же время	11	5
32	в то	12	5
33	это не	12	4
34	при этом	21	4
35	несмотря на	7	4
36	с ним	6	4
37	для нас	4	4
38	все это	2	4
39	х годов	1	4
40	в виду	1	4
41	а бялый	1	4
42	в своих	4	4
43	что он	14	4
44	письме к	1	4
45	уже в	2	4
46	о том	21	4
47	может быть	12	4
48	в ней	6	4
49	и детей	1	4
50	как бы	11	4
51	так же	3	4
52	во многом	1	4
53	что у	4	3
54	русской литературе	3	3
55	в его	17	3
56	в том	24	3
57	т е	6	3
58	его в	5	3
59	раз в	5	3
60	связи с	4	3
61	но он	3	3
62	давно уже	3	3
63	в связи	3	3
64	я не	8	3
65	и как	1	3
66	далеко не	1	3
67	тем что	6	3
68	речь идет	3	3
69	в чем	1	3
70	матери и	2	3
71	и у	3	3
72	в русской	4	3
73	о себе	3	3
74	человека в	10	3
75	он был	1	3
76	эти слова	3	3
77	том что	31	3
78	в этот	1	3
79	он не	8	3
80	и уже	3	3
81	я хотел	1	3
82	в конце	5	3
83	к творчеству	2	3
84	и о	8	3
85	молодого писателя	1	3
86	наряду с	4	3
87	в своем	9	3
88	на то	4	3
89	с его	9	3
90	и его	8	3
91	к этому	1	3
92	который был	2	3
93	по нашему	3	3
94	в лицо	1	2
95	и то	2	2
96	ответ на	1	2
97	и он	6	2
98	в момент	1	2
99	его с	1	2
100	к себе	8	2
101	мы знаем	4	2
102	с точки	5	2
103	для него	15	2
104	его и	2	2
105	этот момент	3	2
106	о чем	9	2
107	как раз	7	2
108	по мнению	6	2
109	о которой	3	2
110	нашему убеждению	2	2
111	же не	3	2
112	в мае	1	2
113	в них	3	2
114	как же	1	2
115	а также	4	2
116	же в	3	2
117	в среде	1	2
118	отношения к	1	2
119	его на	1	2
120	в мире	10	2
121	в в	1	2
122	там же	2	2
123	их в	2	2
124	же как	4	2
125	писателей в	1	2
