N	2gram	Medvedev_I	RusskieA
1	и в	1	79
2	что в	2	57
3	в этом	2	33
4	а в	1	20
5	все это	1	18
6	в них	1	14
7	и с	3	14
8	и не	2	14
9	тем что	1	12
10	следующим образом	1	11
11	так и	1	10
12	а также	1	10
13	по существу	1	10
14	того чтобы	1	8
15	того что	1	8
16	для того	1	8
17	а с	1	7
18	ничего не	2	7
19	все эти	1	6
20	и о	1	6
21	только для	1	5
22	с другой	1	5
23	по поводу	1	5
24	и др	1	5
25	то и	1	5
26	в целом	1	5
27	вплоть до	1	5
28	в руки	1	4
29	что для	1	4
30	в основе	1	4
31	как только	1	3
32	от этого	1	3
33	по отношению	1	3
34	и еще	1	3
35	никогда не	1	3
36	очевидно что	1	3
37	в эту	1	3
38	если бы	1	3
39	отношению к	1	3
40	другой стороны	1	2
41	было не	1	2
42	говорить о	1	2
43	у и	1	2
44	что при	1	2
45	могло бы	1	2
46	не дает	1	2
47	он не	2	2
48	не случайно	1	2
49	от нее	1	2
50	не так	1	2
51	утверждает что	1	2
52	к нам	1	2
53	и и	1	2
54	в кружок	1	2
55	для него	1	2
56	и без	1	2
57	должен быть	2	2
58	и очень	1	1
59	только что	1	1
60	все ясно	1	1
61	и сам	1	1
62	в огороде	1	1
63	не здесь	1	1
64	в первую	1	1
65	работы не	1	1
66	доказать что	1	1
67	того же	1	1
68	комплекс в	1	1
69	с жизнью	1	1
70	и дети	1	1
71	и та	1	1
72	при такой	1	1
73	них не	1	1
74	первую очередь	1	1
75	со всеми	1	1
76	как о	1	1
77	тех же	1	1
78	в значительной	1	1
79	с а	1	1
80	это был	1	1
81	ненависть к	1	1
82	у всех	1	1
83	цель и	1	1
84	это было	1	1
85	а по	1	1
86	жизни и	1	1
87	после смерти	1	1
