N	4gram	Tiupa_Narr	Komedia
1	в то же время	3	16
2	бы то ни было	3	7
3	обращает на себя внимание	3	7
4	к тому же в	1	6
5	в том что он	1	4
6	один и тот же	1	3
7	в том числе и	4	3
8	состоит в том что	2	2
9	с этой точки зрения	1	2
10	в том что в	1	2
11	на себя внимание что	1	2
12	и в то же	1	2
13	той мере в какой	1	1
14	какую бы то ни	1	1
15	друг с другом и	1	1
16	не что иное как	2	1
17	в той мере в	1	1
18	не с точки зрения	1	1
19	то по крайней мере	1	1
20	в литературе нового времени	1	1
21	чего нельзя сказать о	1	1
22	в том что именно	1	1
23	в самом деле не	1	1
24	состоит в том чтобы	1	1
25	одного и того же	1	1
26	и даже не только	1	1
27	в это же время	1	1
28	мы имеем дело с	1	1
