N	2gram	Tiupa_Disk	ViktorSh
1	в книге	2	3
2	а.н веселовского	3	2
3	в конце	1	2
4	и в	27	2
5	в том	29	2
6	теории прозы	1	2
7	том что	27	2
8	в другом	5	1
9	но это	3	1
10	одно и	2	1
11	столь же	6	1
12	том же	1	1
13	их как	1	1
14	в самом	4	1
15	в теории	1	1
16	и т.д	5	1
17	для них	1	1
18	а только	1	1
19	именно в	5	1
20	все то	1	1
21	ни к	11	1
22	другое дело	1	1
23	самом деле	2	1
24	более чем	3	1
25	другом месте	1	1
26	и составляет	3	1
27	речи и	2	1
28	в частности	18	1
29	и то	4	1
30	так в	1	1
31	крайней мере	3	1
32	и заключается	1	1
33	к созданию	1	1
34	этом и	1	1
35	стоит на	1	1
36	то чего	1	1
37	и его	4	1
38	сводится к	7	1
39	даже не	1	1
40	к чему	2	1
41	в сугубо	1	1
42	значительной степени	3	1
43	на одном	1	1
44	хотя бы	3	1
45	далеко не	10	1
46	тем более	1	1
47	по крайней	3	1
48	впрочем не	1	1
49	в которых	5	1
50	к этому	4	1
51	о теории	1	1
52	только в	9	1
53	одном и	1	1
54	же с	1	1
55	потому что	7	1
56	в значительной	3	1
57	в их	5	1
58	все дело	1	1
59	и только	1	1
60	то же	12	1
61	по своим	4	1
62	чего не	3	1
63	без учета	1	1
64	и том	1	1
65	и не	25	1
66	собственно и	3	1
67	я не	1	1
68	дело в	3	1
69	да и	2	1
70	в этом	29	1
71	все это	2	1
