N	4gram	Vygotskiy_	DiskursI
1	состоит в том что	1	7
2	может быть определена как	1	5
3	одного и того же	1	4
4	в том что в	1	3
5	одно и то же	3	3
6	в том случае если	4	2
7	одной и той же	3	2
8	в предисловии к своим	1	1
9	не что иное как	1	1
10	с одной стороны это	1	1
11	а также и в	1	1
12	и в наше время	1	1
13	в одной и той	1	1
14	как и все прочие	1	1
15	только в том случае	4	1
16	с прозаической точки зрения	1	1
17	в том что всякое	1	1
18	в том что они	2	1
19	состоит в том чтобы	1	1
20	в такой же мере	1	1
21	к тому или иному	1	1
22	только в том что	1	1
23	все то что может	1	1
24	том что он не	2	1
25	заключается в том что	8	1
26	или во всяком случае	2	1
27	в том что он	3	1
28	где он говорит о	1	1
29	свидетельствует о том что	1	1
30	не имеют никакого отношения	1	1
31	не в том что	1	1
32	в том или ином	1	1
33	и каждый из них	1	1
