N	3gram	Bakhtin_Fr	VLabPisa
1	в этом отношении	7	14
2	не может быть	4	8
3	с другой стороны	2	8
4	по отношению к	1	7
5	по этому поводу	1	7
6	более или менее	2	6
7	в том что	8	5
8	в конечном счете	1	5
9	в зависимости от	1	5
10	в то же	14	5
11	то же время	14	5
12	вместе с тем	2	4
13	можно сказать что	4	4
14	в пределах своей	1	4
15	в связи с	5	4
16	мы видели что	2	3
17	и др в	2	3
18	большей или меньшей	1	3
19	в значительной мере	1	3
20	о том как	2	3
21	для того чтобы	8	3
22	о том что	5	3
23	подобно тому как	2	3
24	в этой области	1	3
25	и в то	3	3
26	хотя бы в	2	3
27	это и есть	2	3
28	те из них	1	2
29	одной стороны и	1	2
30	в частности к	1	2
31	не только для	2	2
32	и том же	1	2
33	от того что	1	2
34	в чем же	3	2
35	так и от	1	2
36	в том числе	6	2
37	таким образом в	3	2
38	в большей или	1	2
39	до сих пор	3	2
40	в конце концов	1	2
41	том числе и	3	2
42	или меньшей степени	1	2
43	не только в	1	2
44	во всех этих	2	2
45	только то что	1	2
46	в другом месте	3	2
47	с одной стороны	2	2
48	одном и том	1	2
49	также и в	2	2
50	можно было бы	2	2
51	после того как	1	2
52	и не может	1	2
53	над войной и	1	1
54	так же как	4	1
55	что он не	1	1
56	том как он	1	1
57	сих пор не	1	1
58	в той или	1	1
59	в этой системе	1	1
60	как это и	1	1
61	в свою очередь	1	1
62	в одном и	1	1
63	в том же	1	1
64	все то что	5	1
65	искусстве и в	1	1
66	между собою и	1	1
67	той или иной	1	1
68	есть в конечном	1	1
69	но вместе с	1	1
70	после всего сказанного	2	1
71	мы видим что	2	1
72	но и в	3	1
73	в ту же	1	1
74	очень богатой и	1	1
75	наконец и это	1	1
76	в нем свое	1	1
77	же время она	1	1
78	и без того	1	1
79	как составная часть	1	1
80	и др но	1	1
81	то что в	1	1
82	в самом деле	2	1
83	и во всех	3	1
84	что все они	1	1
85	книг таким образом	1	1
86	за его счет	2	1
87	в то время	3	1
88	они не только	1	1
89	и то же	1	1
90	на этот вопрос	1	1
91	все же не	1	1
92	но ни в	1	1
93	хотя и не	1	1
94	в искусстве и	2	1
95	значительной мере и	1	1
96	к этому и	1	1
97	ничего общего с	1	1
98	другой стороны в	1	1
99	в этом плане	1	1
100	другом месте в	1	1
101	именно в этом	1	1
102	как и все	5	1
103	для правильного понимания	1	1
104	одно и то	1	1
105	но в то	6	1
106	только в искусстве	1	1
107	в свете этих	1	1
108	не подлежит сомнению	1	1
109	а потому и	1	1
110	быть и речи	1	1
111	в соответствии с	1	1
112	в данном случае	4	1
113	этом отношении очень	1	1
114	тому же выводу	1	1
115	он и не	1	1
116	к тому же	3	1
117	дошедших до нас	1	1
118	же как и	2	1
119	и связанный с	1	1
120	то же самое	3	1
121	это вовсе не	1	1
122	в системе образов	2	1
123	все это не	1	1
124	точки зрения на	2	1
125	мы не будем	1	1
126	таким образом и	2	1
127	только тогда когда	1	1
128	в поэзии и	1	1
129	в виду что	1	1
130	нет и не	1	1
131	и речи о	1	1
132	если бы он	1	1
133	теми или иными	1	1
134	может быть и	1	1
