N	2gram	Savitsky_P	FransuaR
1	и в	14	367
2	в этом	10	112
3	и не	12	101
4	в его	2	98
5	прежде всего	3	92
6	не только	17	87
7	но и	6	84
8	как бы	4	82
9	как и	1	76
10	в нем	3	75
11	но в	9	75
12	в эпоху	1	75
13	и на	1	72
14	в том	9	71
15	то же	9	66
16	в них	2	65
17	в этой	1	65
18	и с	2	64
19	в то	7	63
20	во всех	2	62
21	все это	2	62
22	же время	7	55
23	что в	4	52
24	в своем	4	51
25	только в	7	48
26	том что	4	45
27	то что	4	41
28	в самом	1	38
29	точки зрения	3	37
30	в ней	6	37
31	с его	1	36
32	он был	1	35
33	может быть	5	35
34	мы видим	1	35
35	в себе	3	34
36	связаны с	1	31
37	так же	1	30
38	потому что	3	30
39	и потому	4	30
40	никогда не	1	30
41	еще не	1	29
42	в этих	1	29
43	не может	4	29
44	его в	1	29
45	не в	5	29
46	и к	4	28
47	из них	2	28
48	также и	1	28
49	и другие	1	27
50	том числе	2	27
51	все же	1	27
52	в условиях	1	26
53	в области	11	25
54	и образы	1	25
55	но не	3	24
56	например в	2	24
57	в ее	2	24
58	того чтобы	1	24
59	в частности	2	24
60	в большинстве	1	24
61	большинстве случаев	1	23
62	и здесь	1	23
63	есть и	1	23
64	это не	3	23
65	не было	2	22
66	а в	4	22
67	что и	1	22
68	и других	2	22
69	там где	1	22
70	вместе с	1	22
71	и о	5	22
72	именно в	2	21
73	культуры и	1	21
74	в отношении	10	21
75	уже в	1	21
76	и как	3	21
77	есть в	2	21
78	в качестве	9	21
79	в себя	1	21
80	что это	1	21
81	и это	2	20
82	в значительной	2	20
83	с точки	3	20
84	как раз	2	20
85	а также	4	20
86	в эту	2	19
87	было бы	6	19
88	с ее	1	19
89	с другой	5	19
90	хотя и	3	19
91	далеко не	1	19
92	конечно и	1	18
93	одна из	2	18
94	весь мир	1	18
95	связанные с	1	18
96	это в	1	18
97	для того	3	17
98	в результате	1	17
99	числе и	1	17
100	еще более	2	17
101	связана с	1	17
102	и вот	2	17
103	того что	2	17
104	а не	2	17
105	с одной	3	16
106	между тем	3	16
107	тот же	3	16
108	в начале	2	16
109	начала и	2	16
110	в свете	1	16
111	они не	1	16
112	мысли и	1	15
113	а затем	1	15
114	в которой	1	15
115	не были	1	15
116	из этих	1	15
117	особенно в	1	15
118	одно из	1	15
119	как на	2	15
120	xix века	6	15
121	еще в	1	15
122	в истории	1	15
123	в котором	4	14
124	и по	1	14
125	мы не	3	14
126	в данном	1	14
127	с этим	2	13
128	и еще	1	13
129	что все	1	13
130	в основном	1	13
131	в жизни	2	13
132	одновременно и	1	13
133	на этой	1	13
134	одной стороны	3	13
135	подчеркнуть что	1	13
136	отличие от	1	13
137	в мире	2	13
138	в других	1	13
139	и есть	2	13
140	только на	1	13
141	другой стороны	1	12
142	во всей	2	12
143	те же	1	12
144	главным образом	2	12
145	и ее	1	12
146	место в	1	12
147	из всех	1	12
148	в творчестве	1	12
149	века в	1	12
150	литературы и	1	12
151	в пределах	8	12
152	в последующие	1	11
153	и что	1	11
154	в общем	2	11
155	в отличие	1	11
156	на фоне	1	11
157	культуры в	2	11
158	были в	1	11
159	время в	2	11
160	и особенно	1	11
161	с ними	3	11
162	и более	1	11
163	да и	2	10
164	или иной	1	10
165	не просто	1	10
166	по преимуществу	1	10
167	был и	1	9
168	эту эпоху	1	9
169	но на	1	9
170	в которых	5	9
171	о котором	1	9
172	именно на	1	9
173	и вся	1	9
174	как к	1	9
175	же в	4	9
176	отношения к	2	9
177	к жизни	1	9
178	но как	1	9
179	мы можем	1	9
180	как известно	1	9
181	не имеет	1	9
182	и то	1	9
183	в формах	1	9
184	для нас	2	9
185	что не	1	9
186	более или	1	8
187	не менее	2	8
188	или менее	1	8
189	xviii века	1	8
190	и при	1	8
191	с тем	3	8
192	человека с	1	8
193	для этого	1	8
194	отрыве от	1	8
195	в это	1	8
196	если бы	4	8
197	и без	3	8
198	в эти	1	8
199	не как	1	7
200	во всяком	1	7
201	к ним	1	7
202	в развитии	1	7
203	последующие века	1	7
204	нет ничего	1	7
205	мир в	1	7
206	где он	1	7
207	них и	1	7
208	в виде	2	7
209	и очень	1	7
210	по всему	1	7
211	жить и	1	7
212	в различных	1	7
213	что по	1	7
214	притом в	1	7
215	значительной мере	2	7
216	настоящее время	1	7
217	себя в	1	7
218	и этим	1	7
219	всеми его	1	7
220	которые были	1	7
221	характер этого	1	7
222	вот как	1	7
223	никак не	2	7
224	отчасти и	1	7
225	и если	4	7
226	в настоящее	1	7
227	не будем	2	7
228	должен быть	1	7
229	думать что	2	7
230	в отрыве	1	7
231	во времени	1	6
232	не столько	2	6
233	казалось бы	1	6
234	было в	2	6
235	хотя бы	8	6
236	формах и	1	6
237	находится в	1	6
238	является и	1	6
239	они как	1	6
240	возможно что	1	6
241	для них	2	6
242	эти явления	1	6
243	тем же	1	6
244	и пр	5	6
245	при виде	1	6
246	и эти	1	6
247	начала в	1	6
248	тех кто	4	6
249	говорить о	2	6
250	во времена	1	6
251	между прочим	2	6
252	мысль и	1	6
253	что эта	1	6
254	могут быть	3	6
255	переходит в	1	6
256	мы знаем	1	6
257	времени с	1	6
258	друг друга	1	6
259	xix веке	2	6
260	как она	1	6
261	за то	1	6
262	в xix	2	6
263	в применении	1	5
264	с собой	1	5
265	применении к	1	5
266	из важнейших	2	5
267	в ряду	2	5
268	не могла	1	5
269	в историческом	1	5
270	тогда когда	1	5
271	этого процесса	1	5
272	сравнению с	1	5
273	власть и	1	5
274	на основе	1	5
275	по сравнению	2	5
276	каждый из	1	5
277	к первой	1	5
278	лиц и	1	5
279	и всегда	1	5
280	различия между	1	5
281	стремление к	1	5
282	тем более	2	5
283	в г	1	5
284	есть не	2	5
285	тем самым	3	5
286	сливаются в	1	5
287	на то	1	5
288	что было	1	5
289	можно говорить	1	5
290	что дело	1	5
291	в собственном	1	5
292	во многих	1	5
293	не вполне	1	5
294	входят в	1	5
295	друг с	1	5
296	должно быть	2	5
297	же как	1	5
298	в глубины	1	5
299	степени чем	1	5
300	должна быть	1	5
301	традиции в	1	5
302	если мы	1	5
303	к миру	1	5
304	всяком случае	1	5
305	к началу	2	5
306	мире в	1	5
307	многие из	1	5
308	бы и	1	5
309	что мы	3	5
310	нисколько не	1	5
311	с другом	1	5
312	церкви и	2	5
313	в трех	1	5
314	стороны и	2	5
315	только то	1	5
316	и только	1	5
317	не к	2	5
318	они являются	1	4
319	и само	1	4
320	и судьбы	1	4
321	к этой	1	4
322	века но	1	4
323	есть с	1	4
324	можно судить	1	4
325	но для	1	4
326	в каждом	1	4
327	что во	1	4
328	одно и	1	4
329	над ним	1	4
330	бы ни	2	4
331	них в	1	4
332	если в	2	4
333	также что	1	4
334	и народной	1	4
335	есть нечто	2	4
336	скота и	1	4
337	знаем что	1	4
338	и некоторых	1	4
339	кто не	1	4
340	мира с	2	4
341	мы и	1	4
342	прямо на	1	4
343	по себе	4	4
344	в борьбе	1	4
345	духа в	1	4
346	когда в	1	4
347	связь между	1	4
348	и именно	1	4
349	в стадии	1	4
350	и притом	1	4
351	именно здесь	1	4
352	также в	1	4
353	точек зрения	2	4
354	в смысле	6	4
355	но к	2	4
356	в наши	1	4
357	оно ни	1	4
358	так называемые	2	4
359	и тем	2	4
360	все основные	1	4
361	из мира	1	4
362	друг другу	2	4
363	заключается в	3	4
364	это ощущение	1	4
365	и любви	1	4
366	собственном смысле	1	4
367	мир от	1	4
368	дело идет	1	4
369	в известном	1	4
370	будущее в	1	4
371	из тех	1	4
372	ни на	1	4
373	что уже	1	4
374	эти последние	1	4
375	из этой	1	4
376	и слова	1	4
377	и где	1	4
378	что из	2	4
379	в отдельности	1	4
380	с которой	1	3
381	широко и	1	3
382	народа его	2	3
383	более широкой	1	3
384	в которую	2	3
385	какой бы	1	3
386	в живом	1	3
387	и другим	1	3
388	мы все	1	3
389	в прошлом	1	3
390	что именно	1	3
391	которой в	1	3
392	образом на	2	3
393	и мы	2	3
394	а с	1	3
395	ясно что	1	3
396	не есть	1	3
397	и государства	1	3
398	и мир	1	3
399	выступает в	1	3
400	и весьма	2	3
401	но есть	1	3
402	сущности не	1	3
403	европейской культуры	4	3
404	парижа и	1	3
405	в каком	1	3
406	как начало	1	3
407	иерархии и	1	3
408	в мир	1	3
409	было и	1	3
410	вопрос об	1	3
411	к первому	1	3
412	и эпохи	1	3
413	на две	1	3
414	знать что	2	3
415	эта не	1	3
416	построена как	1	3
417	что с	1	3
418	оставаясь в	1	3
419	на нее	1	3
420	исторической действительности	1	3
421	в сферу	1	3
422	иной раз	1	3
423	своего существования	1	3
424	сочетаются с	1	3
425	этих двух	1	3
426	в народе	1	3
427	она не	1	3
428	г и	2	3
429	противоречии с	1	3
430	из нее	1	3
431	в одно	1	3
432	ней и	1	3
433	духа и	2	3
434	большей степени	4	3
435	наряду с	3	3
436	на этих	2	3
437	и через	1	3
438	в тот	2	3
439	в полной	2	3
440	не о	2	3
441	что его	1	3
442	именно потому	1	3
443	и будущее	1	3
444	этом смысле	1	3
445	в современной	1	3
446	в силу	2	3
447	бы оно	1	3
448	есть для	1	3
449	новую и	1	3
450	от этой	1	3
451	науки и	1	3
452	и силы	1	3
453	в наших	1	3
454	со стороны	2	3
455	ни к	1	3
456	и мучеников	2	3
457	с того	1	3
458	слова но	2	3
459	мира который	1	3
460	которую мы	2	3
461	с большою	1	3
462	которое в	2	3
463	и уже	1	3
464	государство и	1	2
465	с двух	1	2
466	нем в	1	2
467	эта идея	2	2
468	формы в	1	2
469	бы неправильно	1	2
470	науке и	1	2
471	и такое	1	2
472	церковь и	1	2
473	чтобы в	1	2
474	и культурного	1	2
475	работы в	1	2
476	первой половине	1	2
477	в природе	1	2
478	пример такого	1	2
479	говорится о	1	2
480	только как	1	2
481	почти исключительно	1	2
482	и иных	1	2
483	и должна	1	2
484	должна была	1	2
485	не исключает	1	2
486	переход от	2	2
487	все существующее	1	2
488	широкой и	1	2
489	грань между	1	2
490	на библейские	1	2
491	всего мы	1	2
492	философской мысли	1	2
493	что при	1	2
494	в недрах	2	2
495	культуры на	1	2
496	касается не	1	2
497	бы что	1	2
498	процесс этот	1	2
499	различных формах	1	2
500	как по	1	2
501	жива и	1	2
502	с формами	1	2
503	где в	2	2
504	сильны и	1	2
505	по размерам	1	2
506	что есть	1	2
507	приобщается к	1	2
508	и чем	1	2
509	к сожалению	1	2
510	теперь в	2	2
511	что оно	1	2
512	тем и	1	2
513	и внутренне	1	2
514	выступает как	1	2
515	это значение	1	2
516	что если	1	2
517	только один	1	2
518	находятся в	1	2
519	и многие	1	2
520	к формам	1	2
521	теми же	1	2
522	гоголя и	1	2
523	в сборнике	1	2
524	и я	1	2
525	бы мы	1	2
526	не все	1	2
527	тем чем	1	2
528	перед тем	1	2
529	раньше в	1	2
530	получили в	1	2
531	мы должны	4	2
532	не с	1	2
533	как мир	2	2
534	может и	2	2
535	что каждая	1	2
536	в какой	1	2
537	быть может	6	2
538	в рамки	1	2
539	по-видимому не	2	2
540	по стилю	1	2
541	если он	1	2
542	вслед за	3	2
543	вечности и	1	2
544	тем в	1	2
545	полноте и	1	2
546	и движение	1	2
547	ii в	2	2
548	всего что	1	2
549	без того	1	2
550	гораздо более	1	2
551	на сторону	1	2
552	полной мере	2	2
553	связывается с	1	2
554	прежде чем	1	2
555	сложной и	1	2
556	и жизнь	1	2
557	по характеру	2	2
558	именно как	2	2
559	но до	1	2
560	основном и	1	2
561	развития в	1	2
562	мира они	1	2
563	его нет	1	2
564	но также	4	2
565	веку в	1	2
566	основная задача	1	2
567	к смерти	1	2
568	не более	1	2
569	будем касаться	1	2
570	того света	1	2
571	первой половины	4	2
572	в которые	1	2
573	культуры можно	1	2
574	жизни народа	1	2
575	где бы	2	2
576	современности и	1	2
577	бы за	1	2
578	многих других	1	2
579	мира но	1	2
580	как ни	1	2
581	в ином	1	2
582	в церковь	1	2
583	жизни она	1	2
