N	2gram	Tiupa_Teor	Stilisti
1	и в	24	42
2	как бы	8	30
3	не только	24	28
4	и т.п	7	25
5	прежде всего	3	22
6	и т.д	4	21
7	внутренней речи	13	18
8	то же	12	16
9	но и	14	16
10	и не	17	14
11	может быть	22	13
12	не может	8	13
13	как и	6	12
14	точки зрения	11	11
15	ситуации и	1	10
16	в этом	12	10
17	в себе	14	10
18	и как	3	10
19	как мы	1	10
20	отнюдь не	3	10
21	при этом	20	9
22	все же	1	9
23	то что	6	9
24	для того	5	9
25	в то	9	9
26	таким образом	3	8
27	так как	1	8
28	с тем	1	8
29	и это	2	8
30	тем самым	6	8
31	с его	6	8
32	и на	2	7
33	так и	14	7
34	только в	9	7
35	в которой	3	7
36	зависимости от	1	7
37	и его	11	7
38	потому что	3	7
39	того чтобы	5	7
40	и тем	5	7
41	же время	8	7
42	было бы	1	7
43	той же	1	7
44	и от	1	7
45	в зависимости	1	7
46	а не	14	7
47	никогда не	4	7
48	во всех	3	6
49	в его	12	6
50	не в	9	6
51	говорящего и	1	6
52	в нем	7	6
53	в конце	2	6
54	на его	1	6
55	бы в	1	6
56	в свою	4	6
57	речи и	4	6
58	с помощью	1	6
59	одно и	2	6
60	в форме	4	6
61	когда мы	1	6
62	в этой	3	6
63	слова в	4	6
64	или иной	7	6
65	в области	7	6
66	в той	2	5
67	в самом	7	5
68	высказывания но	1	5
69	то есть	22	5
70	и их	1	5
71	с точки	3	5
72	те же	1	5
73	не является	5	5
74	самом деле	2	5
75	но в	12	5
76	тому что	2	5
77	вместе с	2	5
78	точек зрения	1	5
79	своей жизни	2	5
80	того или	6	5
81	а с	3	5
82	слова и	1	5
83	как это	10	5
84	и является	2	5
85	а в	15	5
86	же самое	1	5
87	в нашем	4	5
88	художественного творчества	5	5
89	в сознании	1	5
90	и то	3	5
91	обратное влияние	1	5
92	или иного	6	5
93	независимо от	1	5
94	и к	3	4
95	мы видим	1	4
96	один из	2	4
97	общения в	1	4
98	что это	1	4
99	что такое	2	4
100	все это	2	4
101	в качестве	33	4
102	или иную	2	4
103	в одном	3	4
104	с появлением	1	4
105	его в	4	4
106	слова как	3	4
107	если бы	3	4
108	во внутренней	2	4
109	в слове	4	4
110	к своему	2	4
111	у нас	2	4
112	в словах	1	4
113	да и	1	4
114	уже не	6	4
115	к тому	4	4
116	о том	2	4
117	связаны с	1	4
118	и без	1	4
119	той или	3	4
120	в каждом	1	4
121	можно сказать	5	4
122	если мы	2	4
123	и пр	1	4
124	языка и	1	4
125	внешней речи	2	4
126	не существует	1	4
127	необходимым условием	1	4
128	зрения в	1	4
129	ту или	2	4
130	так называемые	1	4
131	заключает в	1	4
132	не что	1	4
133	можно было	1	4
134	свою очередь	3	4
135	или иное	1	4
136	на это	1	4
137	так же	2	4
138	лишь в	10	4
139	в целом	4	4
140	себя в	7	4
141	тем же	2	4
142	тех или	3	4
143	не просто	2	4
144	то или	1	4
145	того что	5	4
146	внутренней жизни	1	3
147	представить себе	1	3
148	не так	1	3
149	этом случае	1	3
150	и здесь	2	3
151	совершенно не	1	3
152	если он	1	3
153	для нас	1	3
154	и вот	3	3
155	в том	20	3
156	или иных	3	3
157	отношения к	4	3
158	теперь в	1	3
