N	2gram	Berdyaev_O	EvropaiC
1	в том	5	31
2	и в	19	24
3	том что	2	20
4	все эти	4	19
5	то что	5	18
6	не может	4	18
7	может быть	11	17
8	все же	2	15
9	в этом	12	13
10	все это	6	13
11	самом деле	1	12
12	в своем	2	12
13	но и	13	11
14	все что	3	10
15	не только	11	10
16	так и	2	10
17	как и	6	10
18	как бы	3	10
19	что в	4	9
20	не в	11	9
21	и все	10	9
22	и не	13	9
23	с другом	1	9
24	потому что	9	9
25	и что	1	9
26	на то	1	9
27	друг с	1	9
28	в самом	5	8
29	чем у	1	8
30	для того	3	8
31	если бы	1	8
32	того чтобы	4	8
33	так как	2	7
34	того что	3	7
35	что и	2	7
36	на самом	1	7
37	что он	3	7
38	о том	3	7
39	по своей	1	7
40	в этой	5	7
41	в сознании	1	7
42	в силу	1	7
43	и на	2	6
44	с ним	3	6
45	в мире	1	6
46	отличается от	1	6
47	еще не	3	6
48	должна быть	1	6
49	так что	2	6
50	и для	2	6
51	и к	2	5
52	как к	2	5
53	а потому	1	5
54	должно быть	2	5
55	в его	7	5
56	из всех	1	5
57	что это	1	5
58	у него	22	5
59	его в	2	5
60	в которой	2	5
61	и с	2	5
62	и без	1	5
63	случае если	1	5
64	по сравнению	1	5
65	сравнению с	1	5
66	между двумя	1	5
67	оказывается что	1	5
68	лишь в	7	5
69	в себе	3	5
70	и от	3	5
71	что все	2	5
72	как будто	1	5
73	к этому	2	5
74	из них	1	5
75	но в	2	5
76	не так	1	4
77	и то	2	4
78	ее и	1	4
79	та же	1	4
80	хотя и	2	4
81	совершенно не	1	4
82	это есть	1	4
83	в конце	1	4
84	с тем	2	4
85	состоит из	1	4
86	не есть	2	4
87	не могут	3	4
88	том случае	1	4
89	а с	1	4
90	хотя бы	3	4
91	народ в	1	4
92	отношение к	5	4
93	что для	2	4
94	что как	1	4
95	он не	7	4
96	никогда не	9	4
97	ближе к	1	3
98	во всем	1	3
99	от него	7	3
100	еще больше	1	3
101	в разных	1	3
102	как у	1	3
103	прежде всего	9	3
104	у нас	1	3
105	одно из	2	3
106	же не	1	3
107	в этих	3	3
108	чем в	2	3
109	ко всем	2	3
110	в нем	10	3
111	заключается в	1	3
112	в жизни	1	3
113	во имя	3	3
114	на земле	4	3
115	в истории	2	3
116	и это	1	3
117	что их	1	3
118	у обоих	1	3
119	только одно	3	3
120	и потому	2	3
