N	4gram	Losev_Prob	DiskursI
1	с одной стороны и	1	5
2	дело в том что	3	5
3	же самое можно сказать	1	4
4	то же самое можно	2	4
5	одного и того же	1	4
6	в том числе и	1	3
7	одно и то же	3	3
8	выхожу один я на	1	2
9	ни о чем не	1	2
10	один я на дорогу	1	2
11	в тех случаях когда	1	2
12	одной и той же	1	2
13	и в то же	2	2
14	с той или иной	1	2
15	бы то ни было	4	2
16	одним и тем же	1	2
17	то это не есть	1	1
18	не что иное как	6	1
19	и в этом случае	3	1
20	тем не менее первый	1	1
21	той или иной области	1	1
22	в том что и	1	1
23	в той или иной	7	1
24	подобно тому как мы	1	1
25	то есть то что	1	1
26	но на этот раз	1	1
27	ни в чем не	2	1
28	в том что всякое	1	1
29	отступает на второй план	1	1
30	в войне и мире	1	1
31	в том что они	1	1
32	можно даже сказать что	1	1
33	тем не менее в	3	1
34	чего бы то ни	2	1
35	к тому или иному	1	1
36	и прежде всего с	1	1
37	только в том что	1	1
38	по крайней мере в	1	1
39	или по крайней мере	6	1
40	содержит в себе как	1	1
41	заключается в том что	4	1
42	в данном случае мы	1	1
43	тем самым он не	1	1
44	в том что он	1	1
45	в том что вся	2	1
46	той или иной мере	3	1
47	свидетельствует о том что	1	1
48	и потому как бы	1	1
49	не имеют никакого отношения	2	1
50	не одно и то	1	1
51	с другой стороны это	1	1
52	все дело в том	1	1
53	здесь как и в	1	1
54	в том или ином	2	1
55	есть не что иное	6	1
