N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	6	8
2	с одной стороны	7	7
3	с точки зрения	31	6
4	во всяком случае	1	6
5	друг с другом	6	5
6	до сих пор	6	5
7	для того чтобы	24	5
8	в том числе	2	5
9	том числе и	2	4
10	и вместе с	2	4
11	но все же	1	4
12	о том что	4	4
13	к тому же	1	4
14	от связи с	1	3
15	в том что	24	3
16	в конце концов	1	3
17	и таким образом	1	3
18	так же как	13	3
19	главным образом в	1	3
20	точно так же	3	3
21	тем не менее	4	3
22	ничего общего с	1	2
23	той или иной	2	2
24	в значительной мере	2	2
25	с тем и	2	2
26	не только для	1	2
27	то что он	1	2
28	на то что	5	2
29	таким образом в	2	2
30	с самого начала	13	2
31	но вместе с	2	2
32	этой точки зрения	4	2
33	заключает в себе	2	2
34	то же самое	11	2
35	по сравнению с	20	2
36	можно сказать что	7	2
37	в этом отношении	7	2
38	то же время	1	2
39	в то же	2	2
40	с этой точки	4	2
41	но и для	1	2
42	друг на друга	2	2
43	но все это	1	2
44	таким образом если	1	2
45	и в этом	2	2
46	мы видели что	3	1
47	так и в	1	1
48	иначе как на	2	1
49	мы видели выше	1	1
50	но при этом	1	1
51	что оно имеет	2	1
52	в силу этого	2	1
53	в первом случае	5	1
54	точки зрения того	1	1
55	с внешней стороны	1	1
56	потому что в	1	1
57	в этот период	2	1
58	не потому что	1	1
59	именно потому что	1	1
60	сказать что в	1	1
61	в свою очередь	3	1
62	к двум различным	1	1
63	связи с дифференциацией	1	1
64	в настоящее время	1	1
65	не только не	11	1
66	только в силу	2	1
67	что мы можем	1	1
68	смысле этого слова	4	1
69	как бы часть	1	1
70	с внутренней стороны	2	1
71	может и не	1	1
72	и том же	3	1
73	речь идет о	1	1
74	в этом направлении	1	1
75	вследствие того что	1	1
76	как показывает изучение	1	1
77	в этой области	2	1
78	до известной степени	2	1
79	в соответствии с	1	1
80	все что мы	3	1
81	не может быть	6	1
82	с первого взгляда	1	1
83	по отношению к	9	1
84	так как по	1	1
85	в данном случае	5	1
86	в том или	1	1
87	а потому что	1	1
88	в отличие от	4	1
89	во всей своей	1	1
90	и не могут	1	1
91	ли не самой	1	1
92	по своему значению	3	1
93	это не означает	1	1
94	после того как	1	1
95	только в одном	1	1
96	в первую очередь	3	1
97	что в этом	2	1
98	точки зрения есть	1	1
99	и того же	3	1
100	же самое происходит	1	1
101	не может не	1	1
102	что все эти	1	1
103	том что они	2	1
104	не обнаруживает никаких	1	1
105	с тем что	1	1
106	и есть то	1	1
107	мы знаем о	1	1
108	психологической точки зрения	1	1
109	может быть в	1	1
110	в самом деле	4	1
111	в котором он	1	1
112	тот факт что	2	1
113	в виде двух	1	1
114	а следовательно и	1	1
115	что происходит в	1	1
116	при ближайшем рассмотрении	1	1
117	но с другой	1	1
118	их отношение к	1	1
119	состоит в том	3	1
120	совершенно так же	1	1
121	с другой стороны	3	1
122	с психологической точки	1	1
123	мы уже говорили	2	1
124	о том как	1	1
125	одном и том	3	1
126	не совпадает с	4	1
127	того что оно	1	1
128	в то время	8	1
129	самом деле если	1	1
130	только тогда когда	1	1
131	из которых каждый	1	1
132	обстоит дело с	1	1
133	это и есть	1	1
134	что и в	1	1
135	источник из которого	1	1
136	выйти из этого	1	1
137	друг друга а	1	1
138	но не с	1	1
139	одного и того	3	1
140	все эти особенности	1	1
141	никогда не могут	1	1
142	и перейти к	1	1
143	совпадает с тем	1	1
144	друг к другу	3	1
