N	3gram	Bakhtin_Fr	NovoeSre
1	не может быть	5	4
2	в наши дни	1	3
3	подобно тому как	2	3
4	в средние века	12	3
5	в наше время	1	3
6	в нем нет	1	2
7	xix века и	1	2
8	что в нем	1	2
9	в эпоху когда	1	2
10	с одной стороны	2	2
11	с другой стороны	1	2
12	все эти формы	1	2
13	сами по себе	1	1
14	которые господствовали в	1	1
15	прежде всего как	1	1
16	который в известном	1	1
17	в том что	6	1
18	xiv и xv	1	1
19	в этой системе	1	1
20	до сих пор	7	1
21	нового времени не	1	1
22	средние века были	2	1
23	в эту эпоху	5	1
24	это конечно не	1	1
25	и в наши	1	1
26	по своей природе	1	1
27	том числе и	7	1
28	место в жизни	1	1
29	только потому что	1	1
30	не только в	5	1
31	но и в	5	1
32	в эпоху ренессанса	3	1
33	в большинстве случаев	2	1
34	в том чтобы	1	1
35	должно было быть	1	1
36	в отличие от	4	1
37	в значительной степени	4	1
38	знает что будет	1	1
39	это тем что	1	1
40	в одну из	1	1
41	к себе отношения	1	1
42	о том что	3	1
43	и до сих	1	1
44	и пр в	1	1
45	не могут быть	2	1
46	выходит за пределы	4	1
47	в новое время	4	1
48	но это есть	1	1
49	как и в	1	1
50	во всяком случае	2	1
51	нового времени и	3	1
52	и во всех	2	1
53	ни в одну	1	1
54	в том числе	10	1
55	они возникают не	1	1
56	в своем развитии	1	1
57	и еще не	3	1
58	имея в виду	1	1
59	но нет и	1	1
60	нового времени его	1	1
61	и в большинстве	1	1
62	в известном смысле	1	1
63	жизни как в	1	1
64	и не может	2	1
65	может быть только	1	1
