N	3gram	Tiupa_Narr	slovoVRo
1	не может быть	5	19
2	то же время	3	18
3	в то же	3	18
4	той или иной	4	15
5	с точки зрения	2	15
6	в отличие от	5	14
7	в той или	2	13
8	или иной степени	1	13
9	с одной стороны	7	11
10	во всех его	1	10
11	более или менее	2	9
12	в значительной степени	2	7
13	и в особенности	1	7
14	так и в	1	6
15	и в то	1	6
16	не может не	2	6
17	но все же	4	6
18	с другой стороны	4	6
19	к чужому слову	1	6
20	в том что	8	5
21	по отношению к	6	5
22	как мы уже	1	5
23	не только в	2	5
24	в этом отношении	3	5
25	может быть и	1	5
26	друг с другом	1	4
27	до сих пор	1	4
28	а также и	1	4
29	в свою очередь	3	4
30	можно сказать что	4	4
31	до известной степени	1	3
32	по всей вероятности	2	3
33	того или иного	2	3
34	в различные эпохи	1	3
35	может быть только	1	3
36	тех или иных	1	3
37	в данном случае	4	3
38	в связи с	2	3
39	как и в	1	3
40	и не в	4	3
41	включает в себя	1	3
42	как мы видели	1	3
43	лишь одним из	1	3
44	так и для	1	2
45	здесь не только	1	2
46	то или иное	2	2
47	с этой точки	1	2
48	так и от	1	2
49	то есть к	1	2
50	тем не менее	3	2
51	далеко не всегда	1	2
52	не только о	2	2
53	в первом случае	2	2
54	одна из существенных	1	2
55	в нем не	1	2
56	в известном смысле	2	2
57	а не только	1	2
58	отношение к своему	1	2
59	дело не с	1	2
60	но по существу	1	2
61	иметь в виду	1	2
62	а не как	1	2
63	о том что	6	2
64	этой точки зрения	2	2
65	и не было	1	2
66	можно было бы	2	2
67	существенную роль в	1	2
68	же как и	1	2
69	же время в	1	2
70	на протяжении всего	1	2
71	тот или иной	1	2
72	на фоне которых	1	1
73	героя и не	1	1
74	и столь же	1	1
75	все то что	1	1
76	он еще не	1	1
77	романного слова эта	1	1
78	и даже не	1	1
79	в конечном счете	2	1
80	по себе а	1	1
81	в отвлечении от	2	1
82	точки зрения не	1	1
83	при этом что	1	1
84	какая бы то	1	1
85	в первый раз	1	1
86	до наших дней	1	1
87	он не может	1	1
88	в том числе	6	1
89	наиболее продуктивным в	1	1
90	зрения здесь не	1	1
91	как бы не	1	1
92	так или иначе	2	1
93	сами по себе	2	1
94	высказывания и в	1	1
95	религиозного политического и	1	1
96	между событием и	1	1
97	речь идет о	2	1
98	нем не только	1	1
99	том числе и	4	1
100	само по себе	1	1
101	один из этих	1	1
102	реплики бытового диалога	1	1
103	при этом и	1	1
104	а во второй	1	1
105	и прежде всего	1	1
106	или даже вовсе	2	1
107	том что в	1	1
108	не могло быть	1	1
109	то ни было	3	1
110	а не в	2	1
111	дистанции между ними	1	1
112	не входит в	1	1
113	в особенности к	1	1
114	чужой речи и	1	1
115	а не с	1	1
116	не довлеет себе	1	1
117	не только роман	1	1
118	том что оно	1	1
119	бы то ни	3	1
120	перед нами не	2	1
121	но это не	1	1
122	в равной степени	1	1
123	свое время было	1	1
124	могли бы быть	1	1
125	может и не	1	1
126	формы прямой речи	1	1
127	одного из персонажей	1	1
128	то есть в	2	1
129	между людьми и	1	1
130	никогда не бывает	1	1
131	к тому или	1	1
132	по аналогии с	1	1
133	друга в пределах	1	1
134	и до наших	1	1
135	кто говорит и	2	1
136	по крайней мере	1	1
137	в данный момент	1	1
138	как это было	1	1
139	в том чтобы	1	1
140	не с точки	1	1
141	становления и развития	1	1
142	в последние десятилетия	1	1
143	а иногда и	1	1
144	и во второй	1	1
145	в свое время	1	1
146	к одному из	1	1
147	зрения не только	1	1
148	и романного слова	1	1
149	да и в	1	1
150	в такого рода	1	1
151	его жизни и	1	1
152	как и на	2	1
153	и с точки	1	1
154	дело в том	1	1
155	далеко не все	1	1
156	с другом и	1	1
157	подобно тому как	2	1
158	рассеянной чужой речи	1	1
159	так же как	2	1
160	с таким же	1	1
161	и его голос	1	1
162	то есть его	1	1
163	именно в том	2	1
164	том что он	1	1
165	и оценки и	1	1
166	о себе самом	1	1
167	она может быть	1	1
168	становления мира в	1	1
169	точки зрения и	1	1
170	прежде всего в	1	1
