N	4gram	Vygotskiy_	VLabPisa
1	в то же время	1	5
2	в том числе и	2	2
3	одном и том же	3	2
4	с одной стороны и	4	2
5	и не может быть	2	2
6	приводит к тому что	3	2
7	в этом и заключается	1	2
8	только в том что	2	1
9	с этой точки зрения	4	1
10	в том смысле что	2	1
11	прямо и непосредственно как	1	1
12	с теми или иными	1	1
13	не чем иным как	2	1
14	говорят об одном и	1	1
15	ни в какой мере	2	1
16	и по отношению к	1	1
17	не удивительно поэтому что	2	1
18	одно и то же	3	1
19	и в зависимости от	1	1
20	но вместе с тем	2	1
21	но с другой стороны	1	1
22	в силу чего он	1	1
23	после всего сказанного выше	1	1
24	в каждой из этих	1	1
25	одну и ту же	1	1
26	проявляется не только в	1	1
27	так же как и	2	1
28	в то время как	7	1
29	в том что оно	3	1
30	нет и не может	2	1
31	в светлое поле сознания	1	1
32	свести к двум основным	1	1
33	об одном и том	3	1
34	это и есть то	1	1
35	мы имеем дело с	1	1
36	и вместе с тем	2	1
37	в какой мере не	2	1
38	для того чтобы понять	1	1
