N	2gram	Berdyaev_N	formyVre
1	и в	16	148
2	в этом	7	73
3	в нем	5	51
4	прежде всего	4	46
5	и не	11	37
6	в его	1	36
7	и его	1	36
8	но и	3	33
9	не только	5	32
10	но в	2	31
11	жизни и	8	31
12	так и	2	29
13	времени в	2	27
14	может быть	7	27
15	не в	6	26
16	как и	7	25
17	человеческой жизни	1	24
18	мы уже	1	24
19	только в	1	23
20	в то	2	23
21	времени и	2	23
22	человека в	1	23
23	в том	8	22
24	то что	4	22
25	во всех	3	21
26	жизни в	3	21
27	все эти	2	21
28	в своем	1	19
29	и на	2	19
30	и для	4	19
31	у него	2	18
32	и все	4	18
33	еще не	3	18
34	по существу	2	18
35	с этим	2	17
36	так как	1	17
37	человека и	3	17
38	того же	1	16
39	в основе	3	16
40	и во	1	16
41	и их	1	16
42	не может	16	16
43	в них	4	15
44	никогда не	6	15
45	с его	6	15
46	вместе с	2	15
47	лишь в	6	15
48	и с	2	14
49	так же	2	14
50	в конце	1	14
51	а не	17	14
52	все это	5	14
53	в самом	1	13
54	в котором	1	13
55	для того	1	13
56	во время	1	13
57	с ним	1	13
58	как в	3	13
59	роль в	2	13
60	того чтобы	2	13
61	а в	2	13
62	и до	1	12
63	конечно не	3	12
64	не было	4	12
65	он не	8	12
66	значение и	1	12
67	что в	9	12
68	это время	1	12
69	потому что	4	12
70	образа человека	1	12
71	в истории	3	12
72	но не	2	12
73	из них	1	11
74	хотя и	2	11
75	и у	1	11
76	ни в	6	11
77	в образе	1	11
78	уже в	1	11
79	мира и	2	11
80	в ней	5	11
81	уже не	2	10
82	и того	1	10
83	в ее	3	10
84	сих пор	1	10
85	до сих	1	10
86	в большинстве	1	10
87	и даже	2	9
88	но все	1	9
89	их в	1	9
90	с другой	3	9
91	наряду с	3	9
92	на протяжении	2	9
93	должно быть	4	9
94	к себе	1	9
95	и это	2	9
96	могут быть	2	9
97	оно не	1	9
98	том что	2	9
99	есть в	2	9
100	одного и	1	9
101	и к	5	8
102	в виду	1	8
103	в этих	1	8
104	время как	2	8
105	к тому	3	8
106	в этот	1	8
107	и т.п	2	8
108	с одной	2	8
109	характер и	1	8
110	в мире	3	8
111	образ человека	1	8
112	в жизни	5	8
113	для себя	1	8
114	большинстве случаев	1	8
115	значение в	1	8
116	том числе	1	8
117	во всяком	1	8
118	это не	4	8
119	а также	1	8
120	и потому	4	8
121	в той	1	7
122	для всех	1	7
123	этого мира	1	7
124	к ним	3	7
125	из этих	1	7
126	в себе	2	7
127	но он	1	7
128	не знает	6	7
129	в которой	1	7
130	с ее	5	7
131	то время	1	7
132	себя и	1	7
133	нет ничего	1	7
134	было бы	1	7
135	в отличие	1	7
136	мир в	1	7
137	отличие от	1	7
138	во времени	1	7
139	место в	2	7
140	все что	1	6
141	с тем	3	6
142	только для	1	6
143	о том	4	6
144	сказать что	3	6
145	в основу	1	6
146	xviii века	2	6
147	за пределы	3	6
148	одной стороны	2	6
149	смысле слова	3	6
150	в сущности	1	6
151	не могут	1	6
152	нет и	2	6
153	все они	2	6
154	мы не	2	6
155	в эпоху	9	6
156	самой жизни	2	6
157	есть и	1	6
158	вообще не	1	5
159	тем что	1	5
160	в своей	3	5
161	в это	1	5
162	было и	1	5
163	во все	1	5
164	хотя бы	2	5
165	в средние	3	5
166	что все	2	5
167	по преимуществу	1	5
168	и через	1	5
169	xix века	5	5
170	с другими	1	5
171	быть только	1	5
172	от этого	1	5
173	в смысле	2	5
174	не были	1	5
175	по своей	1	5
176	в этой	1	5
177	и от	2	5
178	не на	1	5
179	они не	1	5
180	не имеет	4	5
181	не имеют	2	5
182	он может	1	5
183	ничем не	1	5
184	общества и	2	5
185	нового времени	12	5
186	числе и	1	5
187	бы он	1	5
188	и только	1	5
189	во всем	1	4
190	же и	1	4
191	другой стороны	2	4
192	по себе	1	4
193	равно как	2	4
194	мир и	2	4
195	людей и	1	4
196	вопросу о	1	4
197	жизни как	2	4
198	не был	1	4
199	проходит через	1	4
200	жизни с	1	4
201	все в	1	4
202	к жизни	3	4
203	весь мир	1	4
204	что не	1	4
205	к вопросу	1	4
206	себе и	1	4
207	в чем	1	4
208	средние века	7	4
209	совсем не	12	4
210	в новое	3	4
211	по всем	1	4
212	большую роль	4	4
213	для них	1	4
214	что он	1	4
215	это и	2	4
216	и более	1	4
217	нем нет	2	4
218	всяком случае	1	4
219	друг друга	1	4
220	формы и	2	4
221	и было	2	4
222	не для	1	4
223	у нас	1	4
224	века и	2	4
225	связаны с	2	4
226	мы должны	1	4
227	труд и	1	3
228	в центре	2	3
229	и природа	1	3
230	и имеет	1	3
231	из всех	1	3
232	это значит	1	3
233	значение они	1	3
234	и которые	1	3
235	их не	1	3
236	жизнь в	1	3
237	историческое время	1	3
238	в более	1	3
239	культуры в	5	3
240	все ее	1	3
241	человека так	1	3
242	не могли	2	3
243	вопрос о	3	3
244	вот почему	2	3
245	распадается на	1	3
246	и еще	1	3
247	в прошлом	3	3
248	как на	1	3
249	жизни которые	3	3
250	в зависимости	1	3
251	все время	2	3
252	во франции	1	3
253	человек не	1	3
254	и весь	2	3
255	же как	2	3
256	одна из	2	3
257	того и	1	3
258	как это	2	3
259	других людей	1	3
260	жизни все	2	3
261	не могла	2	3
262	и есть	10	3
263	к реальному	3	3
264	жизни а	1	3
265	кризис и	1	3
266	это уже	1	3
267	времени которое	1	3
268	мы в	1	3
269	нет никакого	1	3
270	она становится	1	3
271	сами по	1	3
272	зависимости от	1	3
273	нет в	1	3
274	но оно	1	3
275	времени он	1	3
276	ни к	2	3
277	что мы	1	3
278	в свою	1	3
279	в значительной	1	3
280	не быть	1	3
281	значение для	1	3
282	вступает в	1	3
283	и явления	1	3
284	нем не	1	3
285	к новой	1	3
286	но это	6	3
287	жизни не	3	3
288	то они	1	3
289	нет ни	1	3
290	а на	1	3
291	от всех	1	3
292	в исторический	1	3
293	есть только	1	3
294	по своему	4	3
295	не столько	1	3
296	в новом	2	3
297	это было	3	3
298	она не	3	3
299	для чего	2	3
300	но она	2	3
