N	2gram	Trubetskoy	Sovremen
1	не может	18	17
2	может быть	17	12
3	точки зрения	14	12
4	таким образом	34	11
5	мы не	1	9
6	в каждом	1	8
7	в этом	13	7
8	и в	24	7
9	мы можем	6	6
10	в результате	9	6
11	каждый раз	1	6
12	как и	10	6
13	ничего не	1	6
14	и не	9	6
15	с точки	8	5
16	прежде всего	3	5
17	что же	2	5
18	все эти	19	5
19	и наконец	3	5
20	в дальнейшем	4	4
21	а в	3	4
22	так как	7	4
23	вопрос о	3	4
24	это не	3	4
25	не только	10	4
26	мы должны	4	4
27	в развитии	1	4
28	как бы	10	4
29	нет и	1	4
30	если мы	4	4
31	в зависимости	1	4
32	их в	2	4
33	жизни и	2	4
34	вместе с	7	4
35	в целом	5	4
36	в том	31	4
37	зависимости от	2	4
38	из них	5	4
39	точку зрения	2	4
40	мы видели	2	4
41	и к	5	3
42	и потому	3	3
43	видели что	1	3
44	на этой	3	3
45	с самого	1	3
46	уже в	1	3
47	то же	4	3
48	у каждого	1	3
49	при этом	9	3
50	мы получаем	1	3
51	поэтому мы	1	3
52	не в	9	3
53	а не	1	3
54	для нас	3	3
55	все это	13	3
56	у нас	3	3
57	а все	1	3
58	самого начала	1	3
59	в конце	4	3
60	так называемых	1	3
61	и т.д	4	3
62	было бы	3	3
63	в первом	1	3
64	у всех	1	3
65	в этой	7	3
66	из двух	2	3
67	он в	1	3
68	и все	9	3
69	в себе	5	3
70	само собою	1	3
71	ясно что	8	3
72	не подлежит	3	3
73	что она	2	3
74	он может	1	3
75	одна из	2	3
76	состоит из	4	3
77	все же	15	3
78	при таком	2	3
79	в области	4	3
80	может не	3	3
81	отличается от	6	3
82	между собой	4	3
83	отнюдь не	2	3
84	в нем	3	3
85	но мы	1	3
86	но в	5	3
87	еще не	6	3
88	с этим	12	2
89	что в	9	2
90	этих двух	2	2
91	тем не	4	2
92	в самом	8	2
93	совершенно не	4	2
94	мы видим	1	2
95	и что	9	2
96	для развития	1	2
97	отличие от	3	2
98	друг с	9	2
99	которой он	1	2
100	ее на	1	2
101	и пр	1	2
102	то и	2	2
103	с одной	3	2
104	в свою	2	2
105	из этих	8	2
106	в его	5	2
107	во всяком	2	2
108	мы знаем	10	2
109	еще более	1	2
110	можно назвать	3	2
111	то ни	4	2
112	что это	5	2
113	что при	7	2
114	быть и	5	2
115	по мнению	1	2
116	из которых	4	2
117	только один	2	2
118	что такое	1	2
119	если же	3	2
120	говорить о	2	2
121	на его	1	2
122	в науке	1	2
123	все те	1	2
124	конечно в	2	2
125	с общим	2	2
