N	2gram	Medvedev_U	VerxiiNi
1	и в	14	26
2	таким образом	2	22
3	с тем	1	18
4	в этом	7	15
5	в том	2	11
6	не только	10	10
7	и с	2	10
8	может быть	6	10
9	что в	1	9
10	но и	4	9
11	в области	3	9
12	и у	2	8
13	и не	8	8
14	как на	1	8
15	с другой	4	8
16	но не	2	8
17	с одной	1	7
18	связанные с	1	7
19	том что	2	7
20	одной стороны	1	7
21	то что	7	7
22	но в	3	7
23	так и	1	6
24	в конце	2	6
25	все это	5	6
26	что и	2	6
27	все же	3	6
28	о том	1	6
29	и потому	1	6
30	и т.д	3	6
31	в себе	2	6
32	до сих	2	5
33	в его	2	5
34	более или	1	5
35	с другом	1	5
36	или менее	1	5
37	сих пор	2	5
38	по крайней	2	5
39	друг с	1	5
40	а не	10	5
41	и для	2	5
42	крайней мере	2	5
43	никогда не	1	5
44	в самом	2	4
45	то есть	1	4
46	то же	5	4
47	из которых	1	4
48	только в	2	4
49	что он	2	4
50	в которых	1	4
51	в котором	1	4
52	в течение	1	4
53	он не	1	4
54	и что	1	4
55	далеко не	1	4
56	в этой	4	4
57	не может	7	4
58	что все	2	4
59	в виде	1	4
60	в то	3	4
61	и только	5	4
62	в нем	1	4
63	к сожалению	3	3
64	для него	3	3
65	в качестве	1	3
66	так или	1	3
67	и даже	1	3
68	если бы	2	3
69	в которой	1	3
70	или иначе	1	3
71	в таком	1	3
72	же как	1	3
73	но по	1	3
74	можно сказать	1	3
75	хотя бы	5	3
76	в значительной	1	3
77	не вполне	1	3
78	в своем	1	3
79	уже не	1	3
80	к этому	1	3
81	конце концов	2	3
82	того что	1	3
83	бы то	3	2
84	все что	1	2
85	для всех	2	2
86	связанных с	1	2
87	тогда когда	1	2
88	или по	1	2
89	мы имеем	1	2
90	ни было	3	2
91	этом отношении	2	2
92	в пользу	1	2
93	не как	3	2
94	прежде всего	8	2
95	одно из	1	2
96	они в	1	2
97	не могут	2	2
98	не было	1	2
99	не в	2	2
100	в виду	1	2
101	в россии	4	2
102	одним из	2	2
103	по существу	2	2
104	и действительно	1	2
105	в процессе	1	2
106	при таком	2	2
107	приводит к	1	2
108	только для	1	2
109	о котором	1	2
110	перестает быть	5	2
111	мы можем	1	2
112	больше чем	1	2
113	что мы	2	2
114	если не	2	2
115	надо было	2	2
116	то ни	3	2
117	между тем	2	2
118	значительной мере	1	2
119	должна была	2	2
120	и является	2	2
121	и это	1	2
122	превращается в	2	2
123	конечно не	4	2
124	же время	3	2
125	признать что	1	2
126	же самое	2	2
127	он в	1	2
128	сказать что	1	2
129	этот путь	1	2
130	относится к	1	2
131	но если	1	2
132	оно является	1	2
133	на то	1	2
134	с его	2	2
135	и все	1	2
136	для этого	3	2
137	тот же	1	2
138	в той	1	1
139	как основной	1	1
140	мировоззрением и	1	1
141	все в	1	1
142	ее существование	1	1
143	этого и	1	1
144	первую очередь	1	1
145	в свое	1	1
146	к лицу	1	1
147	что с	1	1
148	быть по	1	1
149	с момента	1	1
150	научного анализа	1	1
151	этой области	3	1
152	данном случае	1	1
153	что такое	4	1
154	должно быть	1	1
155	того как	1	1
156	о сущности	1	1
157	для себя	1	1
158	обе эти	1	1
159	это не	3	1
160	именно к	1	1
161	он становится	1	1
162	не для	1	1
163	это уже	2	1
164	о чем	2	1
165	как раз	2	1
166	каждом шагу	2	1
167	все и	1	1
168	этих слов	1	1
169	и через	2	1
170	у нас	3	1
171	и делает	1	1
172	в широком	2	1
173	другой стороны	3	1
174	смысле этого	2	1
175	у него	1	1
176	в их	4	1
177	в данном	1	1
178	т.д в	1	1
179	самом деле	2	1
180	они относятся	1	1
181	их и	2	1
182	в техническом	1	1
183	мы и	2	1
184	тем что	2	1
185	шагу и	1	1
186	находит себе	1	1
187	как и	3	1
188	от слова	1	1
189	их в	1	1
190	вряд ли	3	1
191	не есть	2	1
192	в своей	3	1
193	и так	1	1
194	состоит из	1	1
195	на эту	2	1
196	много но	1	1
197	что еще	1	1
198	и предопределил	1	1
199	это было	2	1
200	на его	1	1
201	в сторону	2	1
202	широком смысле	1	1
203	тем более	1	1
204	бы в	1	1
205	все они	2	1
206	могли бы	2	1
207	в первую	1	1
208	бы и	2	1
209	эти тенденции	1	1
210	не существует	1	1
211	другом не	1	1
212	которые могли	1	1
213	говорить не	1	1
214	входит в	1	1
215	но даже	2	1
216	мы не	2	1
217	ничего подобного	1	1
218	не связанных	1	1
219	в ней	1	1
220	но это	2	1
221	это для	1	1
222	объясняется и	1	1
223	в этот	1	1
224	было когда	1	1
225	такая система	1	1
226	только как	1	1
227	не приходится	2	1
228	к области	2	1
229	а между	2	1
230	не следует	3	1
231	на каждом	2	1
232	конечно нет	2	1
233	без труда	1	1
234	всего что	1	1
235	было бы	3	1
236	имеем в	1	1
237	художественном творчестве	2	1
238	впервые в	1	1
239	в сфере	1	1
240	по себе	2	1
241	ролью в	1	1
242	могут быть	2	1
243	сдвиг в	1	1
244	он знает	1	1
245	человека и	1	1
246	формы в	3	1
247	которое мы	1	1
248	но именно	1	1
249	из первых	1	1
250	быть тем	1	1
251	же в	1	1
252	что она	2	1
253	он может	1	1
254	и прежде	1	1
255	язык в	1	1
256	иначе связанные	1	1
257	а как	2	1
258	по методу	1	1
259	быть в	1	1
260	всех этих	2	1
261	есть ли	1	1
262	но для	1	1
263	пришлось бы	3	1
264	то о	1	1
265	реакцией против	1	1
266	ничего не	2	1
267	искусства не	1	1
268	той же	1	1
