N	2gram	Trubetskoy	NovoeSre
1	а не	2	17
2	не может	22	16
3	и в	14	16
4	во имя	5	15
5	и не	19	11
6	и есть	2	10
7	что в	4	9
8	в эпоху	1	9
9	в том	17	8
10	как не	1	8
11	жизни и	4	8
12	он не	5	8
13	в этом	17	7
14	может быть	9	7
15	не будет	7	7
16	это есть	2	7
17	культуры и	2	7
18	как и	4	7
19	общественной жизни	2	6
20	ни в	2	6
21	не в	4	6
22	лишь в	3	6
23	но это	2	6
24	никогда не	5	6
25	и к	6	5
26	не только	9	5
27	в ней	2	5
28	все это	6	5
29	в жизни	1	5
30	в нем	5	5
31	с ее	1	5
32	должен быть	1	5
33	культуры в	3	5
34	и потому	3	4
35	и мы	1	4
36	по своему	1	4
37	быть может	1	4
38	не во	1	4
39	должно быть	3	4
40	мировой войны	1	4
41	потому что	5	4
42	это не	1	4
43	прежде всего	8	4
44	то что	13	4
45	не было	3	4
46	и все	1	4
47	не менее	1	4
48	и для	6	4
49	о том	7	4
50	и коммунизм	1	3
51	во всех	5	3
52	вопрос о	5	3
53	должна быть	2	3
54	она не	2	3
55	в ее	1	3
56	что такое	2	3
57	в прошлом	1	3
58	будут не	2	3
59	конечно не	5	3
60	в истории	1	3
61	в духе	1	3
62	с другой	1	3
63	в основе	1	3
64	к ним	1	3
65	в россии	6	3
66	и начало	1	3
67	с тем	6	3
68	не есть	3	3
69	в своей	5	3
70	в мире	4	3
71	жизни в	5	3
72	но и	10	3
73	к ее	1	3
74	к тому	7	3
75	еще не	3	3
76	от всякого	1	2
77	с этим	2	2
78	все они	3	2
79	центр тяжести	2	2
80	и от	2	2
81	и весь	1	2
82	это и	1	2
83	ни к	7	2
84	жизни церкви	1	2
85	стремиться к	2	2
86	силы и	1	2
87	и что	2	2
88	от религии	1	2
89	права и	1	2
90	ли это	4	2
91	зависит от	2	2
92	и заключается	1	2
93	хотя бы	5	2
94	мы не	1	2
95	того чтобы	8	2
96	на вершинах	1	2
97	хозяйственной жизни	1	2
98	они считают	1	2
99	так и	1	2
100	как это	1	2
101	но она	2	2
102	для чего	1	2
103	не могла	1	2
104	можно было	4	2
105	и должно	2	2
106	каждого человека	1	2
107	ни одна	3	2
108	том и	2	2
109	в русском	1	2
110	у него	2	2
111	место в	2	2
112	а в	5	2
113	в будущем	3	2
114	в обществе	1	2
115	и даже	2	2
116	в свои	1	2
117	и с	7	2
118	государство и	1	2
119	по существу	5	2
120	прав на	1	2
121	церкви не	5	2
122	для этого	3	2
123	нет и	1	2
124	могут быть	1	2
125	и культуры	1	2
126	в себе	9	2
127	том чтобы	3	2
128	и на	5	2
129	уже не	2	2
130	что все	3	2
131	помнить что	2	2
132	все эти	2	2
133	же как	1	2
134	такой же	1	2
135	вместе с	4	2
136	одна из	3	2
137	стремление к	7	2
138	роль в	1	2
139	как будто	2	2
140	но не	4	2
141	в то	10	2
142	стоят на	1	2
143	должно было	1	2
144	том что	9	2
145	так же	2	2
146	и это	1	2
147	можно назвать	1	2
148	но для	2	2
149	к созданию	1	2
150	в одну	1	2
151	себя в	4	2
152	к богу	7	2
153	но в	2	2
154	не к	2	2
155	связаны с	1	2
156	для политики	1	1
157	в советской	1	1
158	в самом	3	1
159	ближе к	1	1
160	во всем	4	1
161	к одному	1	1
162	для борьбы	1	1
163	и пути	1	1
164	и того	1	1
165	был и	3	1
166	привело к	1	1
167	и хочет	1	1
168	но можно	1	1
169	может иметь	1	1
170	том случае	4	1
171	можно сказать	1	1
172	все что	4	1
173	человека в	1	1
174	то они	1	1
175	эпохи не	1	1
176	церкви были	1	1
177	для всех	6	1
178	это конечно	1	1
179	власть чем	1	1
180	до сих	5	1
181	время но	1	1
182	бы к	1	1
183	и более	2	1
184	и этот	3	1
185	в котором	2	1
186	реально не	1	1
187	то это	3	1
188	ее он	2	1
189	ничем не	1	1
190	над нами	1	1
191	как другие	1	1
192	нет ни	1	1
193	возможно лишь	4	1
194	вырабатывает свою	1	1
195	же и	1	1
196	они не	1	1
197	из них	3	1
198	к ней	1	1
199	советской россии	3	1
200	на нем	1	1
201	случае если	3	1
202	может когда	1	1
203	и сейчас	3	1
204	культуре и	2	1
205	мы уже	2	1
206	нас и	1	1
207	т.е к	2	1
208	которая в	1	1
209	переходит в	1	1
210	на ее	1	1
211	к себе	2	1
212	в свою	1	1
213	в значительной	3	1
214	в состоянии	1	1
215	для себя	2	1
216	из этих	3	1
217	во всяком	9	1
218	от европы	2	1
219	его было	1	1
220	том числе	1	1
221	можно лишь	1	1
222	культуры мы	1	1
223	весь смысл	2	1
224	и национальные	1	1
225	то нужно	1	1
226	для того	6	1
227	вопросу о	3	1
228	не по	1	1
229	быть не	1	1
230	не быть	1	1
231	не для	1	1
232	соблазнам и	1	1
233	часто совершенно	1	1
234	церковь как	1	1
235	вступление в	1	1
236	не всегда	1	1
237	а это	1	1
