N	3gram	Tiupa_Anal	VLabPisa
1	в этом отношении	3	14
2	не может быть	2	8
3	с другой стороны	7	8
4	по отношению к	9	7
5	в том что	12	5
6	в конечном счете	5	5
7	хотя бы и	1	5
8	в зависимости от	1	5
9	в то же	7	5
10	то же время	7	5
11	в одном из	1	4
12	можно сказать что	2	4
13	не могут быть	1	4
14	в связи с	1	4
15	а всего лишь	4	3
16	не удивительно что	2	3
17	от мая года	1	3
18	для того чтобы	1	3
19	о том что	7	3
20	подобно тому как	3	3
21	во сне не	1	2
22	во всяком случае	6	2
23	в том чтобы	2	2
24	по крайней мере	5	2
25	в результате чего	1	2
26	не в том	1	2
27	таким образом в	1	2
28	уже по одному	1	2
29	в противном случае	2	2
30	до сих пор	1	2
31	не только не	3	2
32	в конце концов	1	2
33	не только в	5	2
34	с работой над	1	2
35	в каждом отдельном	2	2
36	из них не	1	2
37	только то что	1	2
38	с одной стороны	3	2
39	можно было бы	1	2
40	после того как	1	2
41	что он не	2	1
42	войны и мира	1	1
43	в той или	2	1
44	в этой системе	2	1
45	в свою очередь	7	1
46	не в соответствии	1	1
47	того или иного	5	1
48	той или иной	6	1
49	следует забывать что	1	1
50	в применении к	1	1
51	мы видим что	1	1
52	очень близко к	1	1
53	и может быть	1	1
54	и он же	2	1
55	но и в	2	1
56	одной из этих	1	1
57	в этом же	1	1
58	тем соображением что	1	1
59	в этом смысле	1	1
60	этому же типу	1	1
61	комедия дель арте	1	1
62	в этом случае	1	1
63	том или ином	1	1
64	или иной мере	1	1
65	ту или иную	1	1
66	говоря уже о	1	1
67	дело не в	1	1
68	вступает с ними	1	1
69	произведения во всех	1	1
70	в самом деле	1	1
71	их в этом	1	1
72	между тем это	1	1
73	не могут иметь	1	1
74	эти пока еще	1	1
75	и многих других	1	1
76	быть определена как	1	1
77	в статье о	1	1
78	далеко не всегда	1	1
79	в то время	1	1
80	к ним не	1	1
81	тех или иных	1	1
82	а между тем	1	1
83	что в них	1	1
84	на этот вопрос	1	1
85	в таком случае	2	1
86	от ноября года	1	1
87	не ограничивается простым	1	1
88	следует смешивать с	1	1
89	не говоря уже	1	1
90	так или иначе	5	1
91	со всех сторон	1	1
92	хотя и не	1	1
93	ни одна из	1	1
94	следует подчеркнуть что	1	1
95	словесного выражения все	1	1
96	именно в этом	1	1
97	роль в этом	1	1
98	выражения все это	1	1
99	том что мы	1	1
100	а потому и	1	1
101	может быть определена	1	1
102	в соответствии с	2	1
103	в данном случае	11	1
104	в том или	1	1
105	а в том	2	1
106	во сне из	1	1
107	не следует забывать	1	1
108	к тому же	7	1
109	чем иным как	1	1
110	же как и	1	1
111	художественного целого или	1	1
112	как если бы	1	1
113	сама по себе	3	1
114	лицом к лицу	1	1
115	одна из них	1	1
116	не следует смешивать	1	1
117	имеются все основания	1	1
118	совершенно очевидно что	2	1
119	с ними в	1	1
120	вопрос о том	1	1
121	читателя зрителя слушателя	1	1
122	и служит для	1	1
123	к этому же	1	1
124	тот или иной	3	1
125	определяющую роль в	1	1
126	имеем дело с	1	1
127	если бы он	1	1
128	видеть в них	1	1
129	который по словам	1	1
130	мы имеем дело	4	1
131	но с другой	1	1
132	в силу его	1	1
