N	4gram	Losev_Prob	RusskieA
1	состоит в том что	1	26
2	в том что в	1	8
3	не что иное как	3	4
4	но тем не менее	1	2
5	во всяком случае не	1	2
6	это не значит что	1	2
7	как мы уже видели	1	2
8	по отношению к людям	1	2
9	мы не будем здесь	1	2
10	и до сих пор	1	1
11	по содержанию и по	1	1
12	общего не имеет с	1	1
13	в том чтобы при	1	1
14	вопрос о том как	1	1
15	с точки зрения в	1	1
16	как мы увидим ниже	1	1
17	всего дома и хозяйства	1	1
18	не потому что они	1	1
19	дело здесь не в	1	1
20	в россии в начале	1	1
21	только в том чтобы	1	1
22	в то время как	4	1
23	далеко не всегда отличаются	1	1
24	эти и подобные им	1	1
25	а вместе с тем	1	1
26	приходит к выводу что	1	1
27	не только в том	2	1
28	одном и том же	1	1
29	только о том что	2	1
30	не имеет ничего общего	2	1
31	в настоящей работе мы	2	1
32	в одном и том	1	1
33	в xix в и	1	1
34	в своей книге о	1	1
35	вместе с тем он	1	1
36	дело в том что	4	1
37	ничего общего не имеет	1	1
38	имеет ничего общего с	1	1
39	из земли и глины	2	1
40	в древней греции и	1	1
