N	3gram	Voloshinov	Sovremen
1	с точки зрения	2	5
2	в зависимости от	2	4
3	не может быть	7	4
4	с самого начала	1	3
5	в свою очередь	1	2
6	то же самое	2	2
7	во всяком случае	1	2
8	тем не менее	3	2
9	в настоящее время	2	2
10	может быть и	3	2
11	метод в науке	1	1
12	то ни было	3	1
13	в том что	4	1
14	один и тот	1	1
15	на самом деле	2	1
16	еще раз подчеркнуть	1	1
17	до сих пор	3	1
18	одной стороны и	2	1
19	все более и	1	1
20	сами по себе	1	1
21	из двух частей	1	1
22	и тот же	1	1
23	но уже в	1	1
24	переводе с греческого	1	1
25	одна и та	1	1
26	и та же	1	1
27	физические и химические	1	1
28	в самом деле	1	1
29	какой бы то	1	1
30	дело в том	4	1
31	может находиться в	1	1
32	в такой же	2	1
33	это как бы	3	1
34	сводится только к	1	1
35	в данном случае	2	1
36	но все же	1	1
37	равно как и	1	1
38	в этом направлении	1	1
39	и что она	1	1
40	раз подчеркнуть что	1	1
41	с помощью которой	1	1
42	и прежде всего	1	1
43	в конечном счете	1	1
44	с одной стороны	2	1
45	более и более	1	1
46	так же как	1	1
47	по аналогии с	1	1
48	то же время	1	1
49	точки зрения уже	1	1
50	она не может	1	1
51	по отношению к	11	1
52	в то же	1	1
53	бы то ни	3	1
54	но отнюдь не	2	1
55	и в этом	1	1
56	по крайней мере	1	1
57	все эти три	1	1
58	можно было бы	1	1
59	в этом смысле	1	1
60	и не может	3	1
61	но тем не	2	1
62	ровно ничего не	1	1
63	может быть только	1	1
