N	4gram	Losev_Vlad	Morfolog
1	как мы увидим ниже	2	4
2	в то время как	2	3
3	и т д в	1	2
4	бы то ни было	1	2
5	и тем не менее	1	2
6	не что иное как	2	2
7	ни к чему не	1	2
8	входить в подробности этой	1	1
9	во что бы то	1	1
10	бы то ни стало	1	1
11	в том что он	2	1
12	указанием на то что	1	1
13	одно и то же	1	1
14	но это нисколько не	1	1
15	для того чтобы начать	1	1
16	если бы мы имели	1	1
17	в то же время	7	1
18	во всяком случае это	1	1
19	один и тот же	2	1
20	то же время и	1	1
21	что бы то ни	1	1
22	на то что в	1	1
23	есть не что иное	1	1
