N	3gram	Bakhtin_KF	TeoriaLi
1	в том что	2	10
2	по отношению к	22	10
3	я в мире	1	8
4	в то же	2	8
5	то же время	2	8
6	того или иного	3	6
7	в конечном счете	1	6
8	не может быть	11	5
9	для того чтобы	1	5
10	одного и того	1	4
11	и того же	1	4
12	в свою очередь	1	3
13	той или иной	2	3
14	с точки зрения	10	3
15	в этом смысле	3	3
16	имеем в виду	2	3
17	тем не менее	2	3
18	в противном случае	1	2
19	в данном контексте	1	2
20	в данный момент	3	2
21	включает в себя	2	2
22	но в то	1	2
23	в этом мире	1	2
24	и тем самым	1	2
25	и в то	1	2
26	в соответствии с	2	2
27	во всей его	2	2
28	тем или иным	1	2
29	то ни было	2	2
30	к тому что	1	2
31	бы то ни	2	2
32	в известном смысле	1	2
33	ту или иную	1	2
34	в значительной степени	1	2
35	в основе своей	1	2
36	может быть и	1	2
37	и не быть	2	1
38	эмоционально-волевое отношение к	2	1
39	между ним и	1	1
40	но прежде всего	1	1
41	и для него	2	1
42	по себе а	1	1
43	вследствие того что	1	1
44	вмещает в себя	1	1
45	ни к чему	2	1
46	к чему не	2	1
47	для меня эта	1	1
48	на задний план	1	1
49	этом смысле можно	1	1
50	в большинстве случаев	1	1
51	для себя а	1	1
52	в противоречие с	1	1
53	не содержит в	1	1
54	позицию по отношению	1	1
55	входит в его	1	1
56	весь мир все	1	1
57	в себя и	1	1
58	то или иное	2	1
59	себя в другом	1	1
60	случае мы имеем	1	1
61	мы говорим о	2	1
62	дело не в	1	1
63	она могла бы	2	1
64	однако по своей	1	1
65	это и есть	1	1
66	неслиянное и нераздельное	1	1
67	всей его полноте	1	1
68	в настоящее время	1	1
69	не совпадает с	1	1
70	мира и его	1	1
71	здесь мы имеем	2	1
72	отношении к нему	1	1
73	и как бы	1	1
74	для меня в	2	1
75	отношению к нему	4	1
76	со всех сторон	1	1
77	точки зрения автора	1	1
78	в том случае	1	1
79	дело в том	1	1
80	в которой я	1	1
81	вступает в противоречие	1	1
82	в мире других	1	1
83	своей причастности к	1	1
84	в первом случае	1	1
85	по своей структуре	1	1
86	он ни был	2	1
87	не была бы	1	1
88	в лучшем случае	1	1
89	в зависимости от	1	1
90	и не субъективно	1	1
91	и это существенно	1	1
92	это уже не	1	1
93	не было и	1	1
94	лишь в момент	1	1
95	если он не	1	1
96	и по отношению	1	1
97	смысле можно говорить	1	1
98	но не в	1	1
99	себя в своих	1	1
100	все с чем	1	1
101	не в одном	1	1
102	заключать в себе	1	1
103	возможна только в	1	1
104	то же самое	1	1
105	но только не	1	1
106	на этом пути	1	1
107	уже не мыслится	1	1
108	в одном случае	1	1
109	мы имеем не	1	1
110	ведь это не	1	1
