N	2gram	Vygotskiy_	Sotsiolo
1	все это	12	7
2	в том	46	5
3	в этом	37	5
4	не только	16	3
5	как же	2	3
6	не в	12	3
7	и в	65	3
8	и только	8	3
9	более чем	2	3
10	в его	11	3
11	для нас	14	3
12	литературы и	1	2
13	что в	36	2
14	ведь это	1	2
15	заключается что	1	2
16	то что	61	2
17	таким образом	21	2
18	том что	28	2
19	дело не	3	2
20	как бы	29	2
21	в результате	3	2
22	было бы	22	2
23	как будто	13	2
24	в смысле	1	2
25	очевидно что	4	2
26	в частности	3	2
27	и мы	19	2
28	но и	6	2
29	может быть	33	2
30	по существу	4	2
31	она может	4	2
32	главным образом	6	2
33	и что	29	2
34	это и	4	2
35	им не	1	2
36	за пределы	1	2
37	и заключается	1	2
38	в конце	5	2
39	как только	4	2
40	должна быть	5	2
41	далеко не	3	2
42	тем более	2	2
43	только в	9	2
44	к которому	3	2
45	только как	2	2
46	то же	17	2
47	еще не	3	2
48	а в	9	1
49	что он	23	1
50	в конечном	2	1
51	столь же	5	1
52	даже в	2	1
53	бы о	1	1
54	быть не	2	1
55	в таких	1	1
56	в целом	8	1
57	в силу	2	1
58	на этот	2	1
59	это значит	4	1
60	что эти	5	1
61	все эти	7	1
62	не один	2	1
63	не было	4	1
64	представить себе	2	1
65	сказать и	1	1
66	когда мы	5	1
67	развития и	2	1
68	а вот	1	1
69	связи с	2	1
70	только то	3	1
71	справляется со	1	1
72	в своей	6	1
73	раньше всего	2	1
74	что без	1	1
75	во всяком	6	1
76	в мире	3	1
77	том именно	1	1
78	и потому	1	1
79	переходим к	1	1
80	дает нам	1	1
81	все же	10	1
82	что это	19	1
83	или не	3	1
84	и самым	1	1
85	еще и	2	1
86	с другой	8	1
87	ни на	1	1
88	мы понимаем	1	1
89	мы должны	3	1
90	это же	2	1
91	ныне так	1	1
92	с ним	6	1
93	противном случае	1	1
94	между тем	10	1
95	собой не	1	1
96	и более	4	1
97	но как	3	1
98	в этой	20	1
99	время в	5	1
100	из себя	3	1
101	в свои	1	1
102	и его	8	1
103	не должна	2	1
104	перейти к	3	1
105	эти обобщения	1	1
106	они ни	1	1
107	никак не	12	1
108	в данном	5	1
109	на все	2	1
110	только для	3	1
111	и по	2	1
112	самому существу	1	1
113	подвести итоги	1	1
114	же самое	14	1
115	один из	7	1
116	так и	3	1
117	в противном	1	1
118	другая отвечает	1	1
119	в то	5	1
120	полагает что	5	1
121	слишком много	3	1
122	может не	1	1
123	ни одно	2	1
124	в котором	7	1
125	те же	2	1
126	потому его	1	1
127	именно на	3	1
128	между собой	2	1
129	мы переходим	1	1
130	чтобы сделаться	1	1
131	отнюдь не	2	1
132	и не	20	1
133	тогда и	1	1
134	всяком случае	6	1
135	эти два	4	1
136	тем именно	1	1
137	иначе говоря	10	1
138	свои права	1	1
139	стоит только	3	1
140	по самому	3	1
141	благодаря тому	2	1
142	том как	5	1
143	или нет	1	1
144	и о	6	1
145	это вовсе	1	1
146	вступает в	1	1
147	но не	3	1
148	может служить	8	1
149	жанра и	2	1
150	они не	2	1
151	сущности есть	1	1
152	лучшем случае	2	1
153	благодаря этому	2	1
154	его утверждение	1	1
155	поэтической формы	1	1
156	она должна	3	1
157	для этого	9	1
158	от общих	1	1
159	прежде всего	2	1
160	тем что	7	1
161	что она	34	1
162	тем же	1	1
163	все построение	1	1
164	но сам	2	1
165	он по	1	1
166	на тех	1	1
167	и благодаря	1	1
168	существу своему	1	1
169	в чем	3	1
170	не из	1	1
171	на основании	2	1
172	что автор	6	1
173	а с	4	1
174	это происходит	1	1
175	а между	1	1
176	новые и	1	1
177	но только	10	1
178	и будет	1	1
179	в лучшем	2	1
180	мы думаем	1	1
181	в сущности	16	1
182	в область	1	1
183	конечном счете	1	1
184	он говорит	9	1
185	его в	5	1
186	не от	2	1
187	в наше	2	1
188	зависит от	2	1
189	выйдет из	1	1
190	автор не	2	1
191	этого и	1	1
192	вовсе не	11	1
193	даже не	1	1
194	с одной	7	1
195	больше того	1	1
196	и наконец	2	1
197	конечно не	6	1
198	о том	17	1
199	мы не	7	1
200	тому что	10	1
201	в заключение	1	1
202	но именно	1	1
203	мысли в	1	1
204	том и	3	1
205	и затем	3	1
206	наше время	2	1
207	в этих	3	1
208	ровно ничего	1	1
209	какой же	1	1
210	у него	6	1
211	по себе	5	1
212	обобщения которые	1	1
213	на первый	1	1
214	без этого	1	1
215	перед нами	12	1
216	из тех	1	1
217	бы он	1	1
218	вот в	1	1
219	все то	15	1
220	хотя бы	3	1
221	новеллы я	1	1
222	что на	4	1
223	это не	7	1
224	одной стороны	6	1
225	в связи	1	1
226	бы в	3	1
227	конечно только	2	1
228	в виде	5	1
229	именно в	3	1
230	никогда не	9	1
231	и есть	3	1
232	не может	17	1
233	между ними	1	1
234	и как	10	1
235	что все	10	1
236	литературе мы	1	1
237	место в	6	1
238	как и	12	1
239	придется не	1	1
240	ничего не	4	1
241	в них	4	1
