N	2gram	Voloshinov	ViktorSh
1	конце концов	3	2
2	в конце	6	2
3	и в	42	2
4	в том	3	2
5	том что	3	2
6	в другом	1	1
7	все время	5	1
8	от общего	1	1
9	но это	2	1
10	одно и	6	1
11	столь же	1	1
12	том же	2	1
13	их как	1	1
14	по существу	1	1
15	главным образом	3	1
16	в самом	5	1
17	как же	1	1
18	чем больше	1	1
19	не одно	1	1
20	социальных отношений	1	1
21	и т.д	21	1
22	что слово	1	1
23	для них	2	1
24	говорили в	1	1
25	именно в	1	1
26	все то	2	1
27	ни к	2	1
28	другое дело	1	1
29	самом деле	5	1
30	более чем	1	1
31	другом месте	1	1
32	ясно что	2	1
33	речи и	6	1
34	говоря о	1	1
35	в частности	3	1
36	и то	5	1
37	крайней мере	1	1
38	вопросы стилистики	1	1
39	техники и	1	1
40	и его	7	1
41	даже не	1	1
42	теснейшим образом	1	1
43	к чему	2	1
44	значительной степени	2	1
45	на одном	2	1
46	хотя бы	18	1
47	и положения	1	1
48	тем более	1	1
49	по крайней	1	1
50	в которых	2	1
51	к этому	2	1
52	только в	7	1
53	одном и	2	1
54	потому что	7	1
55	в значительной	2	1
56	в их	2	1
57	то же	16	1
58	чего не	1	1
59	не будем	1	1
60	что язык	5	1
61	и том	2	1
62	и не	14	1
63	гораздо более	2	1
64	я не	1	1
65	да и	4	1
66	сводится в	1	1
67	в этом	10	1
68	так как	8	1
69	все это	4	1
70	в устах	3	1
