N	2gram	Losev_Vlad	ViktorSh
1	конце концов	6	2
2	в конце	22	2
3	и в	56	2
4	в том	26	2
5	том что	22	2
6	формализма в	1	1
7	статей в	1	1
8	но это	6	1
9	одно и	1	1
10	столь же	1	1
11	том же	4	1
12	их как	1	1
13	по существу	4	1
14	мало интересует	1	1
15	главным образом	5	1
16	в самом	3	1
17	в теории	2	1
18	не одно	1	1
19	а значит	1	1
20	для них	2	1
21	от других	1	1
22	то я	1	1
23	именно в	4	1
24	и самым	1	1
25	все то	1	1
26	жизни которое	1	1
27	ни к	2	1
28	самом деле	1	1
29	здесь достаточно	1	1
30	более чем	1	1
31	другом месте	1	1
32	ясно что	2	1
33	с большой	1	1
34	говоря о	2	1
35	в частности	4	1
36	и то	13	1
37	так в	1	1
38	крайней мере	1	1
39	и мало	1	1
40	же месте	1	1
41	не хочу	1	1
42	не хотел	1	1
43	поэтического творчества	1	1
44	этом и	2	1
45	время в	4	1
46	то чего	1	1
47	и его	12	1
48	сводится к	1	1
49	даже не	3	1
50	к чему	1	1
51	под влиянием	6	1
52	хотя бы	5	1
53	собр соч	1	1
54	по поводу	15	1
55	далеко не	1	1
56	тем более	4	1
57	по крайней	1	1
58	впрочем не	5	1
59	в которых	1	1
60	году о	1	1
61	к этому	11	1
62	то немногое	1	1
63	только в	11	1
64	же с	22	1
65	потому что	16	1
66	в значительной	1	1
67	в их	2	1
68	все дело	1	1
69	и почти	2	1
70	и только	1	1
71	то же	10	1
72	по своим	3	1
73	чего не	1	1
74	не будем	3	1
75	без учета	1	1
76	и не	33	1
77	гораздо более	1	1
78	я не	8	1
79	старых и	1	1
80	дело в	7	1
81	да и	6	1
82	в этом	30	1
83	так как	11	1
84	все это	7	1
85	значит и	1	1
86	эти статьи	1	1
