N	3gram	Berdyaev_M	VerxiiNi
1	вместе с тем	5	8
2	в религиозном сознании	1	7
3	с точки зрения	1	6
4	во всяком случае	1	6
5	до сих пор	5	5
6	для того чтобы	4	5
7	и вместе с	4	4
8	о том что	3	4
9	в том что	3	3
10	в конце концов	3	3
11	друг за друга	2	3
12	так же как	1	3
13	не только для	1	2
14	между этими двумя	1	2
15	на то что	1	2
16	с одним из	1	2
17	заключает в себе	3	2
18	по сравнению с	2	2
19	в этом отношении	1	2
20	друг на друга	1	2
21	и в этом	1	2
22	может быть и	2	2
23	когда мы читаем	1	1
24	между народом и	1	1
25	все те же	1	1
26	но в конце	1	1
27	не имеет самостоятельного	1	1
28	сих пор не	1	1
29	ничего подобного нет	1	1
30	потому что в	4	1
31	не потому что	1	1
32	все более и	1	1
33	чтобы не иметь	2	1
34	смысле этого слова	1	1
35	от нее не	1	1
36	том что все	1	1
37	в этом направлении	1	1
38	но для этого	2	1
39	тем что в	1	1
40	есть один из	2	1
41	не может быть	22	1
42	к богу и	1	1
43	по отношению к	4	1
44	мы имеем в	1	1
45	не только от	1	1
46	стоит и перед	1	1
47	нет ничего кроме	1	1
48	в отличие от	1	1
49	и никогда не	3	1
50	по своему значению	3	1
51	человек должен был	1	1
52	после того как	2	1
53	но и от	1	1
54	не может не	2	1
55	имеем в виду	1	1
56	с тем что	3	1
57	и есть то	1	1
58	которые могли бы	1	1
59	и по своим	1	1
60	но не имеет	1	1
61	психологической точки зрения	1	1
62	в самом деле	1	1
63	любви к богу	2	1
64	а следовательно и	1	1
65	как бы в	1	1
66	потому только что	1	1
67	и в этой	5	1
68	с психологической точки	1	1
69	не в том	1	1
70	в то время	2	1
71	и в смысле	1	1
72	только тогда когда	1	1
73	это и есть	7	1
74	более и более	1	1
75	что и в	3	1
76	отличается не только	1	1
77	его жизнь в	1	1
78	друг друга а	1	1
79	добра и зла	7	1
80	в которых он	2	1
81	жизни вместе с	1	1
82	друг к другу	6	1
