N	3gram	Propp_Isto	Poddanst
1	в том что	6	4
2	не только в	5	4
3	сами по себе	1	3
4	с одной стороны	7	3
5	но и в	4	2
6	и потому в	1	2
7	и не только	1	2
8	одной стороны и	1	2
9	помнить что мы	1	1
10	и т д	35	1
11	друг с другом	3	1
12	никакого сомнения что	1	1
13	именно потому что	1	1
14	он живет в	1	1
15	за то что	2	1
16	нет никакого сомнения	1	1
17	не входят в	1	1
18	вместе с тем	7	1
19	но в то	1	1
20	идет именно о	1	1
21	друг друга на	1	1
22	прежде всего мы	1	1
23	вопрос о смысле	2	1
24	в том мире	1	1
25	в историческом прошлом	1	1
26	само по себе	2	1
27	если бы мы	2	1
28	мы знаем что	7	1
29	не может быть	8	1
30	во многих случаях	1	1
31	в большинстве случаев	4	1
32	как одна из	1	1
33	том что в	1	1
34	в ней и	1	1
35	в отличие от	3	1
36	в отдельности и	1	1
37	можно говорить о	1	1
38	в этом смысле	1	1
39	что во всех	1	1
40	для них и	1	1
41	что в этом	1	1
42	если мы не	1	1
43	и пр в	1	1
44	не более как	1	1
45	и что делать	1	1
46	для того чтобы	1	1
47	жизни она всегда	1	1
48	с другой стороны	7	1
49	мы не будем	4	1
50	не в том	1	1
51	да и не	1	1
52	в жизни народа	1	1
53	но в отличие	3	1
54	но и другие	1	1
55	более или менее	5	1
56	вслед за тем	1	1
57	так же как	6	1
58	до тех пор	1	1
59	во всей широте	1	1
60	и в какой	1	1
61	и в этом	1	1
62	то что происходит	1	1
