N	2gram	Bakhtin_sl	Komedia
1	и в	69	77
2	и не	32	47
3	в том	7	44
4	том что	6	42
5	о том	5	33
6	но и	37	32
7	может быть	40	30
8	из них	3	29
9	таким образом	16	29
10	в то	17	28
11	и его	45	28
12	в этом	21	27
13	потому что	2	27
14	что он	2	26
15	к тому	3	26
16	не только	37	25
17	вместе с	3	25
18	так как	7	24
19	как и	8	23
20	ни в	4	23
21	что в	3	23
22	в самом	6	22
23	что и	2	22
24	если бы	1	22
25	то же	17	21
26	в конце	1	21
27	так и	22	21
28	а в	10	21
29	в его	19	20
30	к этому	3	19
31	со стороны	1	19
32	в этой	1	18
33	тем что	1	17
34	же время	15	17
35	в нем	44	17
36	и здесь	5	17
37	и т	56	17
38	еще не	9	17
39	при этом	12	16
40	все же	10	16
41	не менее	4	16
42	у него	5	16
43	сих пор	4	16
44	до нас	1	16
45	он не	5	16
46	действующих лиц	2	16
47	и сам	4	16
48	до сих	4	16
49	тот же	1	16
50	не в	14	15
51	в своем	9	15
52	точки зрения	24	15
53	его в	7	15
54	в которой	4	15
55	между тем	5	15
56	один из	9	15
57	и на	17	15
58	было бы	3	15
59	прежде всего	14	15
60	и с	10	14
61	на протяжении	3	14
62	столь же	2	14
63	к нему	7	14
64	в свою	4	14
65	все это	14	14
66	об этом	1	14
67	о чем	1	13
68	в них	11	13
69	в одном	4	13
70	что она	1	13
71	того же	7	13
72	как раз	3	13
73	мы можем	1	13
74	в двух	2	13
75	так что	2	13
76	то что	2	13
77	того чтобы	1	13
78	но в	13	13
79	в котором	2	12
80	для того	2	12
81	так же	2	12
82	с другой	8	12
83	несмотря на	2	12
84	хотя и	4	12
85	в качестве	4	12
86	как это	3	12
87	т п	49	12
88	как в	18	12
89	уже в	2	12
90	в истории	6	12
91	в начале	1	12
92	не может	27	12
93	но не	7	12
94	и даже	11	11
95	по отношению	2	11
96	что его	1	11
97	с ним	12	11
98	то время	2	11
99	речь идет	1	11
100	как мы	15	11
101	на этот	1	11
102	и для	7	11
103	в их	6	11
104	в частности	3	11
105	к ней	2	11
106	одного из	2	11
107	с этим	5	10
108	он был	1	10
109	свою очередь	3	10
110	на него	1	10
111	с одной	7	10
112	к себе	1	10
113	в чем	2	10
114	как бы	16	10
115	и что	2	10
116	в отношении	9	10
117	и все	9	10
118	на основании	1	10
119	одной из	4	10
120	с его	8	10
121	ничего не	5	10
122	мы не	4	10
123	на его	9	10
124	тем более	1	10
125	еще в	1	10
126	отношение к	8	10
127	же в	2	10
128	в целом	3	10
129	все что	1	9
130	но все	2	9
131	в своей	8	9
132	одной стороны	7	9
133	говорить о	2	9
134	и еще	1	9
135	тому что	2	9
136	время как	2	9
137	только в	9	9
138	друг друга	3	9
139	даже не	1	9
140	и по	3	9
141	независимо от	1	9
142	из его	1	9
143	однако в	3	9
144	того как	2	9
145	а также	5	9
