N	3gram	Tiupa_Anal	Narrotol
1	в том что	13	18
2	в данном случае	3	17
3	не только в	3	13
4	в отличие от	8	11
5	по отношению к	9	11
6	к тому же	6	9
7	о том что	8	9
8	не может быть	17	8
9	тем не менее	3	8
10	не сводится к	2	8
11	в соответствии с	2	8
12	той или иной	8	8
13	то же время	7	8
14	в то же	9	8
15	в этом отношении	5	8
16	и тем самым	2	6
17	состоит в том	6	6
18	в известном смысле	2	6
19	мы имеем дело	7	6
20	можно сказать что	1	6
21	во времени и	4	6
22	времени и пространстве	5	6
23	с одной стороны	6	6
24	для того чтобы	3	5
25	в свою очередь	1	5
26	но и в	3	5
27	и вследствие этого	1	5
28	подобно тому как	5	5
29	и все же	2	5
30	имеем дело с	4	5
31	начало и конец	1	4
32	в конечном счете	5	4
33	к тому что	2	4
34	в равной степени	2	4
35	во всяком случае	1	4
36	в коммуникативном событии	1	3
37	в самом деле	3	3
38	обращает на себя	3	3
39	и не может	4	3
40	и представляет собой	4	3
41	а в том	1	3
42	до сих пор	1	3
43	в первом случае	2	3
44	речь идет о	1	3
45	в зависимости от	1	3
46	при встрече с	3	3
47	уже говорилось выше	1	3
48	не было и	1	3
49	в связи с	2	3
50	то же самое	3	3
51	едва ли не	1	3
52	присутствия в мире	3	3
53	в ответ на	2	3
54	внимание на то	1	3
55	а то и	1	3
56	того или иного	3	3
57	на то что	2	3
58	по природе своей	3	3
59	обратим внимание на	1	3
60	так и не	5	3
61	на себя внимание	3	3
62	с точки зрения	6	3
63	я в мире	2	3
64	несет в себе	1	3
65	и то что	1	3
66	как уже говорилось	3	3
67	в той или	3	2
68	мере в какой	2	2
69	и не в	4	2
70	в той мере	2	2
71	дело не только	1	2
72	и т п	3	2
73	но и на	1	2
74	текста так и	1	2
75	ровным счетом ничего	1	2
76	в е годы	1	2
77	в силу своей	3	2
78	не в том	3	2
79	самого рассказывания в	1	2
80	далеко не всегда	2	2
81	собственно говоря и	3	2
82	более или менее	2	2
83	и то же	2	2
84	поименованное в тексте	1	2
85	в частности в	2	2
86	в таком случае	5	2
87	одного и того	2	2
88	сами по себе	3	2
89	о себе знать	1	2
90	как правило не	2	2
91	а между тем	1	2
92	событие самого рассказывания	2	2
93	сами участвуем как	1	2
94	как будто он	1	2
95	той мере в	2	2
96	мы и сами	1	2
97	участвуем как слушатели-читатели	1	2
98	не только на	1	2
99	не только не	2	2
100	как если бы	1	2
101	и того же	2	2
102	и т.п и	1	2
103	на этот раз	1	2
104	оно и не	1	2
105	а с другой	1	2
106	по этой причине	2	2
