N	4gram	Voloshinov	RusskieA
1	в том что в	1	8
2	не что иное как	1	4
3	на самом же деле	2	3
4	но тем не менее	1	2
5	во всяком случае не	1	2
6	как мы уже знаем	1	2
7	мы не можем конечно	1	1
8	в целом ряде других	1	1
9	в такой же степени	1	1
10	одни и те же	1	1
11	и один из них	1	1
12	и у нас в	1	1
13	что бросается в глаза	1	1
14	говорит о том что	1	1
15	а может быть и	1	1
16	приходит к выводу что	1	1
17	о том что это	1	1
18	или во всяком случае	1	1
19	бросается в глаза при	1	1
20	первое что бросается в	1	1
21	дело в том что	1	1
22	ничего общего не имеет	1	1
23	можно сделать вывод что	1	1
24	это не совсем так	1	1
25	в то время когда	1	1
26	пойти в двух направлениях	1	1
