N	2gram	Berdyaev_M	StatiiOP
1	и в	61	103
2	в том	9	89
3	том что	7	77
4	в этом	34	76
5	что в	12	74
6	не только	42	60
7	и т	1	51
8	о том	5	47
9	у пушкина	1	46
10	но и	34	46
11	то что	10	44
12	что он	16	42
13	в его	10	42
14	и не	26	41
15	может быть	42	38
16	т е	5	33
17	было бы	11	32
18	в этой	12	31
19	вовсе не	1	31
20	тем что	7	29
21	все это	6	29
22	а в	4	27
23	а не	36	27
24	но в	12	26
25	что это	5	25
26	так и	5	25
27	этом отношении	1	24
28	в трагедии	3	24
29	и его	13	24
30	все же	2	23
31	точки зрения	6	23
32	не в	16	23
33	так что	3	23
34	потому что	25	23
35	для того	4	22
36	в которой	8	22
37	как в	9	22
38	того что	13	22
39	прежде всего	18	22
40	у нас	13	22
41	в области	1	22
42	того чтобы	4	21
43	до сих	5	20
44	это не	10	20
45	в своей	18	19
46	сих пор	5	19
47	т п	1	19
48	в то	2	19
49	только в	7	19
50	в котором	9	18
51	с другой	1	18
52	он не	34	18
53	но также	2	18
54	об этом	2	18
55	не может	39	18
56	в самом	15	17
57	как на	1	17
58	в русской	4	17
59	самом деле	2	17
60	в россии	2	17
61	пушкина но	1	17
62	как бы	10	17
63	в этих	6	16
64	с этим	4	16
65	сказать что	5	16
66	можно было	1	16
67	если бы	5	16
68	в ней	23	16
69	с тем	10	15
70	как и	14	15
71	по поводу	1	15
72	у него	38	15
73	я не	4	15
74	и на	9	15
75	в отношении	6	15
76	для него	28	15
77	также и	6	15
78	то же	4	14
79	но все	1	14
80	к тому	6	14
81	с точки	1	14
82	между тем	2	14
83	и что	4	14
84	была бы	1	14
85	в течение	1	14
86	в той	3	13
87	во всяком	1	13
88	в своем	17	13
89	а с	1	13
90	в конце	11	13
91	в нем	26	13
92	вместе с	7	13
93	всяком случае	1	13
94	но это	8	13
95	жизни и	6	13
96	тому что	2	13
97	в своих	4	12
98	не менее	1	12
99	хотя бы	8	12
100	что у	3	12
101	ни в	3	12
102	так как	10	12
103	что они	4	12
104	в них	5	11
105	в другом	1	11
106	никогда не	30	11
107	не было	25	11
108	и с	6	11
109	и по	4	11
110	у шекспира	1	11
111	того как	3	11
112	вопрос о	7	11
113	все эти	3	11
114	это было	1	11
115	на то	1	11
116	не столько	1	10
117	в виду	2	10
118	связь с	1	10
119	так же	5	10
120	что такое	2	10
121	что и	6	10
122	xix века	4	10
123	но он	17	10
124	во всех	3	10
125	а как	2	10
126	в каком	2	10
127	в истории	2	10
128	ничего не	4	10
129	ответ на	1	10
130	на вопрос	1	10
131	на самом	2	10
132	но не	8	10
133	во второй	1	10
134	в частности	1	10
135	в начале	2	10
136	и к	9	9
137	с этой	4	9
138	говорит о	1	9
139	интересно что	1	9
140	он был	18	9
141	в одном	1	9
142	говорит что	3	9
143	письме к	1	9
144	и это	16	9
145	в чем	3	9
146	в каждом	4	9
147	и тем	1	9
148	во время	1	9
149	вряд ли	3	9
150	русской истории	1	9
151	такого рода	1	9
152	что же	2	9
153	и для	7	9
154	для нас	3	9
155	что мы	1	9
156	место в	4	9
157	но ведь	1	8
158	и об	1	8
159	и даже	1	8
160	связано с	5	8
161	еще более	3	8
162	к которому	1	8
163	что она	5	8
164	к этому	3	8
165	одним из	2	8
166	действующих лиц	1	8
167	и др	1	8
168	могут быть	2	8
169	нужно сказать	1	8
170	должен был	4	8
171	заключается в	1	8
172	в которых	5	8
173	не имеет	7	8
174	и более	2	8
175	мы имеем	1	8
176	той же	3	8
177	до конца	16	8
178	в их	4	8
179	а также	1	8
180	в какой	1	8
181	отношение к	9	8
182	и о	1	8
183	это в	1	8
184	о чем	3	7
185	по себе	2	7
186	отличается от	2	7
187	в это	1	7
188	не мог	6	7
189	на почве	3	7
190	в ее	3	7
191	что все	5	7
192	это очень	3	7
193	кажется что	1	7
194	из этого	1	7
195	раньше чем	1	7
196	во втором	1	7
197	то в	2	7
198	и то	2	7
199	то время	2	7
200	можно назвать	1	7
201	еще не	1	7
202	одной из	1	7
203	на этот	2	7
204	связан с	1	7
205	нас нет	1	7
206	уже в	6	7
207	но с	2	7
208	говорит об	1	7
209	тем более	1	7
210	не все	3	7
211	конце концов	3	7
212	лишь в	8	7
213	отношению к	4	7
214	вплоть до	1	7
215	что за	2	6
216	же и	2	6
217	на его	1	6
218	одно из	3	6
219	и сам	1	6
220	в жизни	7	6
221	в письме	1	6
222	говорить о	1	6
223	по отношению	4	6
224	ни одного	2	6
225	к нему	8	6
226	время как	2	6
227	же как	1	6
228	одном из	1	6
229	этот вопрос	1	6
230	его как	2	6
231	в себе	12	6
232	и здесь	6	6
233	и все	13	6
234	том смысле	2	6
235	этой трагедии	2	6
236	и во	5	6
237	что я	1	6
238	говорил что	1	6
239	с его	6	6
240	мы не	2	6
241	и за	2	6
242	ни на	1	6
243	но я	1	6
244	и я	5	6
245	должен быть	4	6
246	в одной	1	6
247	еще до	2	6
248	его не	5	6
249	что на	1	6
250	нас не	2	5
251	которая была	1	5
252	как говорит	1	5
253	не как	4	5
254	в духе	6	5
255	целый ряд	2	5
256	давно уже	1	5
257	на эту	1	5
258	уже не	8	5
259	то это	1	5
260	во многих	2	5
261	начале xix	1	5
262	конечно не	3	5
263	можно ли	2	5
264	на протяжении	2	5
265	после того	2	5
266	хотя и	2	5
267	его в	6	5
268	не была	4	5
269	не о	2	5
270	на себя	1	5
271	что не	3	5
272	в сторону	1	5
273	не был	8	5
274	если не	1	5
275	она была	2	5
276	возможно что	1	5
277	и почему	1	5
278	из трагедии	1	5
279	всех этих	1	5
280	не так	6	5
281	один из	9	5
282	и который	1	5
283	должна быть	7	5
284	для себя	1	5
285	поэтому в	1	5
286	не на	1	5
287	оно не	3	5
288	что ему	1	5
289	был для	2	5
290	никто не	3	5
291	не знали	2	5
292	ни с	4	5
293	думать что	4	5
294	и если	1	5
295	не могло	1	5
296	отношении к	4	5
297	которую он	2	5
298	не потому	2	5
299	в творчестве	13	5
300	нет и	6	5
301	ее в	1	5
302	но если	4	5
303	точку зрения	1	5
304	в свое	1	5
305	это был	2	5
306	это и	7	5
307	такое же	1	5
308	раз в	1	5
309	в сущности	2	5
310	на нее	1	5
311	вообще не	2	5
312	и потому	17	5
313	и только	1	5
314	не по	1	5
315	как он	4	5
316	можно найти	1	5
317	на это	1	5
318	к ней	6	5
319	одного из	1	5
320	как будто	4	5
321	что было	2	4
322	все что	5	4
323	в центре	4	4
