N	2gram	Medvedev_B	VelikijI
1	и не	2	20
2	и в	1	16
3	еще не	1	8
4	и потому	1	7
5	а не	1	7
6	все это	2	5
7	в ней	2	4
8	так и	1	4
9	говорить о	1	4
10	что все	1	4
11	что в	1	3
12	не было	1	3
13	в своей	1	3
14	должна быть	1	3
15	всего в	1	2
16	во всяком	1	2
17	его не	1	2
18	не только	1	2
19	о свободе	1	2
20	прежде всего	1	2
21	можно было	2	2
22	ведет по	1	2
23	и во	1	2
24	будто бы	1	1
25	и на	1	1
26	вопрос о	1	1
27	нельзя не	1	1
28	что опять-таки	1	1
29	у нас	3	1
30	другой стороны	1	1
31	с другой	1	1
32	по мотивам	1	1
33	по крайней	1	1
34	все же	1	1
35	крайней мере	1	1
36	и ее	1	1
37	и нет	1	1
