N	2gram	Medvedev_B	FransuaR
1	и в	1	367
2	и не	2	101
3	таким образом	1	100
4	прежде всего	1	92
5	не только	1	87
6	в эпоху	1	75
7	и на	1	72
8	так и	1	65
9	все это	2	62
10	что в	1	52
11	в ней	2	37
12	до конца	1	31
13	в своей	1	31
14	и потому	1	30
15	еще не	1	29
16	все же	1	27
17	кроме того	1	26
18	на самом	1	25
19	в области	1	25
20	не было	1	22
21	и во	1	22
22	и о	1	22
23	в значительной	1	20
24	одной из	1	20
25	за пределы	1	19
26	было бы	1	19
27	с другой	1	19
28	далеко не	1	19
29	можно было	2	17
30	а не	1	17
31	между ними	1	16
32	в данном	1	14
33	что все	1	13
34	в книге	1	13
35	другой стороны	1	12
36	и ее	1	12
37	у нас	3	12
38	об этом	1	12
39	в пределах	1	12
40	и более	1	11
41	значительной степени	1	10
42	выходит за	1	10
43	со всем	1	8
44	всего в	1	8
45	во всяком	1	7
46	своей книге	1	7
47	никак не	1	7
48	его не	1	7
49	как будто	1	6
50	говорить о	1	6
51	совершенно не	1	6
52	этой книги	1	5
53	тем более	1	5
54	не вполне	1	5
55	больше чем	2	5
56	должна быть	1	5
57	всяком случае	1	5
58	видеть в	2	5
59	о них	1	4
60	также что	1	4
61	к ней	1	4
62	меньше чем	1	4
63	чем на	1	4
64	представляется нам	1	4
65	на которой	1	4
66	же не	1	4
67	из своей	1	4
68	из ее	1	3
69	в речи	1	3
70	будто бы	1	3
71	и исторической	1	3
72	также не	1	3
73	было и	1	3
74	не укладывается	1	3
75	и свободный	1	3
76	не о	1	3
77	работа по	1	2
78	свою книгу	1	2
79	не все	1	2
80	говорить не	1	2
81	и нет	1	2
82	сейчас в	1	2
83	а о	1	2
84	по этим	1	1
85	и полно	1	1
86	этим вопросам	1	1
87	вопрос о	1	1
88	по богатству	1	1
89	с западными	1	1
90	точке зрения	1	1
91	зато очень	1	1
92	бы только	1	1
93	выпадает из	1	1
94	не мешало	1	1
95	как всякий	1	1
96	отнюдь не	1	1
97	в трактовке	1	1
98	литературы как	1	1
99	творчества и	1	1
100	необходимо отметить	1	1
101	определение жанра	1	1
102	стоит на	1	1
103	более что	1	1
104	по теории	1	1
105	лучше и	2	1
106	нашему мнению	1	1
107	художественного произведения	1	1
108	свести к	1	1
109	точно и	1	1
110	моментом в	1	1
111	остановиться на	1	1
112	не следует	1	1
113	и ограниченно	1	1
114	вообще тематика	1	1
115	только более	1	1
116	почти совершенно	1	1
117	то как	1	1
118	на стр	2	1
119	художественном произведении	1	1
120	нет но	1	1
121	такое определение	1	1
122	и полнее	1	1
123	книге только	1	1
124	свободная от	1	1
125	литературных произведений	2	1
126	для которой	1	1
127	богатству материала	1	1
128	забывать что	1	1
129	стиля и	1	1
130	выпадают из	1	1
131	нельзя не	1	1
132	говорить об	1	1
133	по нашему	1	1
