N	2gram	Vygotskiy_	BTomashe
1	у нас	1	3
2	все это	9	2
3	в ней	2	2
4	можно было	6	2
5	не то	3	2
6	больше чем	1	2
7	и не	15	2
8	вопрос о	11	1
9	говорить о	4	1
10	и о	1	1
11	со всем	2	1
12	не только	29	1
13	коммуникативная функция	1	1
14	остановиться на	1	1
15	всего в	3	1
16	таким образом	39	1
17	не было	1	1
18	прежде всего	12	1
19	моментом в	1	1
20	бы только	1	1
21	книги в	3	1
22	и в	37	1
23	на самом	4	1
24	так и	12	1
25	на которой	4	1
26	по теории	1	1
27	из своей	1	1
28	в своей	7	1
29	во всяком	6	1
30	и потому	3	1
31	и во	1	1
32	по нашему	2	1
33	за пределы	4	1
34	по крайней	1	1
35	как часть	1	1
36	в речи	3	1
37	с другой	16	1
38	об этом	6	1
39	значение слова	5	1
40	говоря такого	1	1
41	своей книге	3	1
42	как будто	1	1
43	этой книги	2	1
44	совершенно не	1	1
45	другой стороны	10	1
46	крайней мере	1	1
47	всяком случае	5	1
48	кроме того	1	1
49	было бы	12	1
50	как таковому	2	1
51	стороны изучение	1	1
52	не следует	1	1
53	точно и	2	1
54	и ее	9	1
55	одной из	4	1
56	в значительной	2	1
57	из ее	1	1
58	почти совершенно	1	1
59	свести к	5	1
60	в пределах	1	1
61	в данном	5	1
62	более что	1	1
63	теоретической и	2	1
64	в области	4	1
65	является только	1	1
66	и исторической	1	1
67	систематического изложения	2	1
68	тем более	7	1
69	в научном	1	1
70	не вполне	1	1
71	то как	1	1
72	короче говоря	2	1
73	и более	6	1
74	что все	8	1
75	нашему мнению	1	1
76	никак не	1	1
77	в книге	3	1
78	значительной степени	2	1
79	его не	3	1
80	от значения	1	1
81	также не	2	1
82	а не	5	1
83	отнюдь не	2	1
84	до конца	1	1
85	представляется нам	1	1
86	сейчас в	2	1
87	и на	8	1
88	между ними	2	1
89	еще не	1	1
90	к ней	1	1
91	все же	6	1
92	что в	25	1
