N	2gram	Berdyaev_V	IolandNe
1	и с	1	3
2	что в	3	2
3	самого себя	2	2
4	ничего не	1	2
5	и не	20	2
6	в этом	4	2
7	говорить о	4	1
8	все эти	3	1
9	для того	1	1
10	и очень	1	1
11	а в	2	1
12	к нам	2	1
13	для него	2	1
14	тем что	2	1
15	не случайно	1	1
16	ушел от	1	1
17	не так	2	1
18	жизни и	3	1
19	с другой	1	1
20	в целом	1	1
21	более чем	2	1
22	было не	1	1
23	человеке и	1	1
24	другой стороны	1	1
25	я не	1	1
26	то и	1	1
27	имя отца	1	1
28	в руки	1	1
29	бы все	1	1
30	и сам	2	1
31	того что	5	1
32	а с	2	1
33	ненависть к	1	1
34	так и	4	1
35	от этого	3	1
36	того чтобы	2	1
37	бы в	1	1
38	и в	16	1
39	его личности	1	1
40	никогда не	3	1
41	все это	5	1
42	на котором	1	1
43	в них	3	1
