N	2gram	Losev_Dial	RusskieA
1	и в	35	79
2	в том	20	64
3	том что	18	59
4	что в	19	57
5	т е	49	54
6	не только	26	41
7	во время	2	38
8	так как	24	34
9	и другие	1	33
10	в этом	18	33
11	как бы	19	31
12	но и	17	31
13	в других	1	30
14	как и	10	28
15	может быть	30	28
16	одна из	1	24
17	о том	8	23
18	и т	31	23
19	при этом	2	22
20	в поле	1	22
21	т д	28	21
22	это не	18	20
23	е в	3	20
24	а в	8	20
25	как мы	5	20
26	из них	5	19
27	xix в	1	18
28	все это	14	18
29	с тем	2	17
30	таким образом	5	17
31	то что	25	17
32	вместе с	3	17
33	об этом	7	17
34	показывает что	2	17
35	потому что	23	17
36	во многих	1	16
37	мы не	1	16
38	или на	3	15
39	будто бы	3	15
40	один из	3	15
41	в них	4	14
42	и с	10	14
43	не менее	5	14
44	тем не	3	14
45	как это	8	14
46	и что	17	14
47	и не	51	14
48	для нас	1	14
49	в день	1	13
50	уже не	3	13
51	к этому	2	13
52	так что	21	13
53	и по	5	13
54	как в	3	13
55	в которых	2	13
56	еще не	4	13
57	не может	16	13
58	тем что	2	12
59	этот обряд	3	12
60	мы имеем	4	12
61	в виде	2	12
62	мы увидим	2	11
63	следующим образом	1	11
64	не имеет	15	11
65	но это	12	11
66	а на	1	11
67	далеко не	2	11
68	что на	2	11
69	все же	9	10
70	так например	1	10
71	том чтобы	1	10
72	его в	3	10
73	между тем	3	10
74	что и	7	10
75	так и	18	10
76	или в	2	10
77	а также	1	10
78	по существу	2	10
79	и других	1	10
80	то же	21	9
81	о чем	4	9
82	видно что	2	9
83	что они	8	9
84	к жизни	1	9
85	с ней	2	9
86	и все	11	9
87	данном случае	1	9
88	того как	3	9
89	земли и	1	9
90	но в	8	9
91	но не	9	9
92	одно из	2	8
93	в этих	6	8
94	представление о	1	8
95	что по	3	8
96	так же	6	8
97	после этого	3	8
98	связи с	3	8
99	на себя	1	8
100	во всех	3	8
101	что это	21	8
102	подобно тому	1	8
103	их в	2	8
104	того чтобы	1	8
105	как например	2	8
106	того что	6	8
107	ее в	2	8
108	в данном	5	8
109	не все	1	8
110	тому как	1	8
111	для того	2	8
112	же в	2	8
113	в это	1	7
114	в руках	1	7
115	в своем	7	7
116	на них	1	7
117	к нему	12	7
118	не в	12	7
119	а с	2	7
120	было бы	14	7
121	главным образом	2	7
122	только в	7	7
123	еще в	2	7
124	это время	3	7
125	связанные с	3	7
126	из этих	2	7
