N	2gram	Bakhtin_Fr	KFilosof
1	может быть	11	45
2	в его	24	42
3	в нем	16	32
4	не может	9	29
5	и не	34	28
6	и в	105	28
7	по отношению	2	26
8	в котором	1	24
9	не есть	1	22
10	отношению к	2	22
11	в себе	7	21
12	только в	16	18
13	и его	24	18
14	в своем	11	17
15	в ее	5	17
16	а не	1	17
17	в этом	22	15
18	для него	12	13
19	не в	4	13
20	точки зрения	10	13
21	к нему	5	12
22	мир в	3	12
23	ни в	1	12
24	но не	7	12
25	и это	3	12
26	в своей	8	11
27	все эти	15	11
28	во всех	13	11
29	все это	16	10
30	это не	4	10
31	с точки	6	10
32	его целом	2	10
33	и для	3	10
34	в целом	3	10
35	в их	6	9
36	и все	7	9
37	единого и	1	9
38	но и	20	9
39	как бы	33	9
40	в единстве	2	8
41	не было	3	8
42	если бы	1	8
43	быть только	3	8
44	в мире	1	8
45	со стороны	1	8
46	было бы	4	8
47	лишь в	4	8
48	в себя	9	8
49	жизни и	14	8
50	во всем	5	7
51	и здесь	4	7
52	этот момент	3	7
53	что и	2	7
54	должен быть	1	7
55	вовсе не	25	7
56	уже не	3	7
57	совершенно не	5	7
58	то что	7	7
59	конечно не	2	7
60	на основе	1	7
61	но лишь	1	7
62	для себя	1	7
63	момент в	1	7
64	и только	1	7
65	мир как	1	6
66	но все	5	6
67	но эта	2	6
68	менее всего	5	6
69	я не	1	6
70	в теоретических	1	6
71	в смысле	2	6
72	смысл и	1	6
73	в том	17	6
74	и их	3	6
75	и действительно	2	6
76	отношение к	9	6
77	жизнь как	1	6
78	место в	4	6
79	он не	3	6
80	но это	5	6
81	мира в	3	6
82	проникает в	2	5
83	со всем	1	5
84	то же	6	5
85	ко всему	2	5
86	мы имеем	1	5
87	не только	24	5
88	мира но	1	5
89	с ним	6	5
90	но как	3	5
91	его в	7	5
92	не проникает	1	5
93	не знает	6	5
94	в основе	8	5
95	но в	16	5
96	именно в	6	5
97	бы быть	2	5
98	как и	15	5
99	все же	10	5
100	жизни в	8	5
101	себя и	2	5
102	еще не	8	5
103	хотя бы	2	5
104	в одном	8	5
105	от своей	1	5
106	а в	4	5
107	культуры и	11	5
108	его как	1	5
109	жизни как	3	5
110	в контексте	1	5
111	там где	3	5
112	бытия в	1	5
113	никогда не	11	5
114	что в	4	4
115	должна быть	1	4
116	и весь	1	4
117	при этом	10	4
118	о нем	4	4
119	для нас	5	4
120	прежде всего	26	4
121	в своих	8	4
122	места в	1	4
123	и момент	1	4
124	нет в	1	4
125	с ними	2	4
126	за свое	1	4
127	мира и	4	4
128	том что	9	4
129	в чем	2	4
130	это мир	1	4
131	входит в	4	4
132	только как	1	4
133	во всей	4	4
134	могла бы	2	4
135	между тем	5	4
136	здесь мы	2	4
137	времени и	9	4
138	тем самым	1	4
139	и т.д	2	4
140	к ним	1	4
141	акт и	1	4
142	из него	1	4
143	вне ее	1	4
144	жизни но	2	3
145	ближе к	1	3
146	от него	2	3
147	и может	1	3
148	положения и	1	3
149	та же	2	3
150	и на	25	3
151	здесь нет	1	3
152	на язык	2	3
153	этого мира	1	3
154	и пр	5	3
155	мы не	1	3
156	был бы	1	3
157	всем его	1	3
158	и этот	1	3
159	если ты	1	3
160	того что	3	3
161	где он	1	3
162	и этим	2	3
163	сознания и	1	3
164	на самом	6	3
165	ясно что	1	3
166	в виду	5	3
167	я имею	1	3
168	самом деле	3	3
169	прошлое и	2	3
170	единой и	1	3
171	тем что	5	3
172	но для	3	3
173	людей и	2	3
174	что этот	1	3
175	рядом с	9	3
176	не менее	2	3
177	для этой	1	3
178	по своему	9	3
179	бы не	1	3
180	здесь не	3	3
181	его жизни	1	3
182	лишь как	1	3
183	себе и	2	3
184	бытия для	1	3
185	но конечно	1	3
186	той или	5	3
187	это и	3	3
188	того или	1	3
189	что не	3	3
190	отсюда и	1	3
191	но здесь	4	3
192	мира не	1	3
193	и ни	4	3
194	лежат в	1	3
195	в другом	2	3
196	для того	2	3
197	в ней	7	3
198	вступает в	1	3
199	и та	2	3
200	к чему	1	3
201	от того	2	3
202	человека и	4	3
203	на своем	1	3
204	с человеком	1	3
205	мы здесь	4	3
206	эти моменты	1	3
207	нет и	2	3
208	только с	3	3
209	могут быть	4	3
210	до конца	4	3
211	нигде не	1	3
212	котором мы	1	3
213	о том	5	3
214	ценности все	1	3
215	в то	5	3
216	для которого	2	3
217	или иного	1	3
218	независимо от	1	3
219	всех этих	10	3
220	тот же	4	3
221	ничего не	3	3
222	как к	3	2
223	события и	2	2
224	и эти	2	2
225	один из	5	2
226	необходимый момент	2	2
227	и конечно	1	2
228	мышления и	1	2
229	можно ли	1	2
230	смысле в	1	2
231	одна и	1	2
232	еще более	6	2
233	конечно в	2	2
234	есть его	2	2
235	а это	1	2
236	чтобы стать	1	2
237	именно она	1	2
238	единства и	1	2
239	это уже	4	2
240	и единый	1	2
241	так и	16	2
242	жить и	6	2
243	из которых	2	2
244	этот мир	2	2
245	и за	2	2
246	в качестве	1	2
247	сюда и	1	2
248	это есть	1	2
249	и когда	1	2
250	сводится к	1	2
251	и само	2	2
252	смысла в	1	2
253	по себе	1	2
254	и смысл	2	2
255	в виде	1	2
256	со всеми	2	2
257	оно не	2	2
258	могут стать	1	2
259	к историческому	1	2
260	не потому	1	2
