N	4gram	Propp_Russ	Mirosoze
1	в то время как	1	4
2	не что иное как	3	4
3	одна и та же	1	3
4	так же как и	3	3
5	на том основании что	1	2
6	вместе с тем он	1	2
7	о том что в	1	2
8	одни и те же	1	1
9	общего не имеет с	1	1
10	и в других местах	1	1
11	их но это не	1	1
12	и во многих других	1	1
13	в том что это	2	1
14	а может быть и	1	1
15	это не значит что	2	1
16	в том что христос	1	1
17	есть вместе с тем	1	1
18	только о том что	1	1
19	и его жизнь в	1	1
20	ничего общего не имеет	1	1
21	в тех случаях когда	2	1
22	это приводит нас к	1	1
23	подобно тому как в	1	1
