N	2gram	Vinokur_St	Marksizm
1	точки зрения	16	69
2	может быть	16	64
3	и в	61	63
4	и не	23	55
5	как бы	8	53
6	не может	10	47
7	с точки	10	46
8	и пр	4	42
9	и его	11	41
10	в этом	37	39
11	таким образом	16	38
12	в процессе	3	33
13	как мы	1	32
14	языка и	4	31
15	в пределах	1	31
16	лишь в	3	30
17	не только	36	29
18	речи в	1	29
19	то же	7	28
20	в нем	9	28
21	но и	28	27
22	связи с	3	25
23	самом деле	14	25
24	в самом	14	24
25	как и	11	24
26	прежде всего	11	24
27	только в	11	23
28	так и	15	23
29	в том	56	22
30	то что	27	22
31	а не	19	22
32	при этом	4	20
33	для него	10	20
34	если мы	1	20
35	на почве	2	19
36	не в	15	19
37	если бы	11	19
38	том что	49	19
39	в его	19	19
40	в ее	6	18
41	в слове	5	18
42	и для	4	18
43	но в	16	18
44	вовсе не	24	18
45	все же	12	17
46	в сущности	2	17
47	по отношению	3	16
48	ни было	1	16
49	и как	2	16
50	в то	10	16
51	во всех	8	15
52	что он	23	15
53	же время	5	15
54	отношению к	3	15
55	в данном	16	14
56	хотя бы	8	14
57	в своей	12	13
58	так же	7	13
59	то ни	2	13
60	что в	41	13
61	и здесь	2	13
62	не является	5	13
63	того чтобы	15	13
64	было бы	21	13
65	ничего не	6	13
66	мы не	3	13
67	слова в	1	13
68	для того	15	12
69	того же	4	12
70	бы то	2	12
71	в результате	5	12
72	выражение в	2	12
73	между тем	7	12
74	он не	11	12
75	в основе	4	12
76	высшей степени	1	12
77	является не	4	12
78	а в	18	12
79	в высшей	1	12
80	не столько	6	11
81	на материале	1	11
82	к нему	2	11
83	французском языке	1	11
84	и что	8	11
85	и от	2	11
86	до сих	13	11
87	и на	7	11
88	и все	3	11
89	как в	15	11
90	еще не	4	11
91	так как	7	11
92	на самом	8	11
93	все эти	7	11
94	в ней	9	11
95	сих пор	12	11
96	без исключения	1	10
97	именно в	8	10
98	во всяком	8	10
99	самого начала	3	10
100	с другой	11	10
101	сказать что	9	10
102	к этому	4	10
103	никогда не	7	10
104	в своем	8	10
105	его в	4	10
106	в таком	4	10
107	одна из	1	10
108	в каждом	3	10
109	совершенно не	7	10
110	конечно не	2	10
111	в отличие	1	10
112	с его	3	10
113	здесь в	1	10
114	и потому	3	10
115	с самого	4	10
116	отличие от	1	10
117	более того	1	10
118	быть и	2	9
119	к тому	9	9
120	только на	1	9
121	в нашем	1	9
122	точка зрения	1	9
123	в себе	3	9
124	лишь на	1	9
125	и это	4	9
126	а как	5	9
127	что это	5	9
128	ни в	5	9
129	не имеет	5	9
130	и более	4	9
131	отношении к	3	9
132	это не	8	9
133	в истории	5	9
134	о языке	2	9
135	одной из	4	9
136	кроме того	3	8
137	не как	2	8
138	другой стороны	9	8
139	но что	2	8
140	и даже	8	8
141	и с	6	8
142	настоящее время	2	8
143	в данной	2	8
144	что и	8	8
145	у него	3	8
146	не было	7	8
147	что не	3	8
148	тому что	8	8
149	ясно что	10	8
150	мы можем	1	8
151	или же	3	8
152	не будет	1	8
153	в форме	2	8
154	за пределы	2	8
155	столь же	5	8
156	в отношении	11	8
157	в каком	4	8
158	к другому	1	8
159	перед нами	1	8
160	чем же	1	8
161	этого слова	2	8
162	в настоящее	2	8
163	с этим	6	8
164	у нас	12	8
165	смысле этого	2	8
166	в их	3	8
167	и их	3	8
168	в науке	1	8
169	или иной	1	8
170	на то	5	8
171	от него	1	7
172	в этих	5	7
173	не существует	4	7
174	в котором	11	7
175	и те	4	7
176	языка не	2	7
177	он сам	1	7
178	те же	1	7
179	как раз	10	7
180	в качестве	7	7
181	слово как	1	7
182	бы в	2	7
183	в этой	13	7
184	могут быть	5	7
185	там где	6	7
186	речи а	1	7
187	с ними	1	7
188	на основе	1	7
189	по себе	3	7
190	той же	5	7
191	до конца	4	7
192	о том	30	7
193	того что	14	7
194	является лишь	1	7
195	конечно в	1	7
196	в начале	5	7
197	далеко не	1	7
198	бы он	1	7
199	место в	2	7
200	в той	9	6
201	является в	1	6
202	в корне	1	6
203	уже не	1	6
204	входит в	1	6
205	одной стороны	2	6
206	в другом	5	6
207	знака в	2	6
208	для понимания	2	6
209	с одной	3	6
210	между ними	1	6
211	всяком случае	8	6
212	должны быть	4	6
213	этот вопрос	6	6
214	то есть	2	6
215	должна быть	3	6
216	смысле слова	1	6
217	от своего	2	6
218	зависимости от	2	6
219	ничего общего	3	6
220	не имеют	2	6
221	что же	6	6
222	тем же	3	6
223	для всего	1	6
224	тот же	2	6
225	он и	1	6
226	все это	13	6
227	слово в	1	6
228	в какой	4	6
229	вопрос о	9	6
230	из этих	7	6
231	же в	1	6
232	не к	2	6
