N	4gram	Tiupa_Disk	Freidism
1	в то же время	7	6
2	ни в чем не	1	4
3	и не может быть	1	3
4	заключается в том что	1	2
5	в том что он	1	2
6	нет и не может	1	2
7	и того и другого	1	1
8	том что он не	1	1
9	или по крайней мере	1	1
10	не следует упускать из	1	1
11	это как будто бы	1	1
12	или во всяком случае	1	1
13	одни и те же	1	1
14	одно и то же	2	1
15	с самых ранних лет	1	1
16	дело в том что	3	1
17	что всякое конкретное высказывание	1	1
18	в том что в	3	1
19	и прежде всего к	1	1
20	говорит о том что	1	1
21	и в то же	2	1
22	следует упускать из виду	1	1
23	если можно так выразиться	2	1
