N	3gram	Medvedev_U	Literetu
1	в том что	2	21
2	в то же	3	21
3	то же время	3	21
4	с одной стороны	1	12
5	не может быть	4	11
6	в данном случае	1	11
7	в конечном счете	4	10
8	так или иначе	1	10
9	в этом отношении	2	10
10	с другой стороны	3	7
11	не только в	1	6
12	и прежде всего	1	4
13	то ни было	3	4
14	бы то ни	3	4
15	и то что	2	4
16	что такое искусство?	1	3
17	в самом деле	2	3
18	то же самое	2	3
19	быть не может	1	3
20	на то что	1	3
21	по крайней мере	2	3
22	и в частности	2	3
23	же время не	1	2
24	как нам представляется	1	2
25	тех или иных	2	2
26	а не только	1	2
27	слово как таковое	1	2
28	то что было	1	2
29	то что ему	1	2
30	которые могли бы	1	2
31	в этом случае	1	2
32	на первый взгляд	1	2
33	тем что он	1	2
34	и не только	1	2
35	свое место и	1	1
36	для него не	1	1
37	в не меньшей	1	1
38	это не только	1	1
39	хотя бы и	2	1
40	не в том	1	1
41	более или менее	1	1
42	но даже и	2	1
43	до сих пор	2	1
44	в конце концов	2	1
45	самом деле есть	1	1
46	и в то	1	1
47	все же остается	1	1
48	в художественном отношении	1	1
49	и у пушкина	1	1
50	но это не	1	1
51	не меньшей степени	1	1
52	для тех кто	1	1
53	ее в том	1	1
54	во главу угла	1	1
55	в эстетический объект	1	1
56	могли бы послужить	1	1
57	интерес не только	1	1
58	эстетического объекта и	1	1
59	или иных приемов	1	1
60	может быть в	1	1
61	и только как	1	1
62	его претензии на	1	1
63	но в то	1	1
64	нам представляется что	1	1
65	первый взгляд представляется	1	1
66	в первую очередь	1	1
67	эстетического объекта в	1	1
68	не могут быть	2	1
69	не впадая в	1	1
70	является одним из	1	1
71	по нашему мнению	3	1
72	само по себе	1	1
