N	3gram	Ircho_Kome	Myshleni
1	в том что	13	133
2	для того чтобы	3	78
3	по сравнению с	1	45
4	по отношению к	5	42
5	так же как	1	39
6	с одной стороны	5	39
7	с самого начала	2	36
8	то же самое	2	31
9	в этом отношении	3	30
10	можно было бы	3	28
11	вместе с тем	4	26
12	с другой стороны	6	26
13	на то что	2	25
14	о том что	6	25
15	смысле этого слова	1	22
16	в то время	8	22
17	к тому что	3	22
18	в высшей степени	1	22
19	в зависимости от	1	22
20	то время как	6	20
21	в отличие от	3	18
22	состоит в том	1	18
23	во всяком случае	4	18
24	в этом смысле	2	18
25	до сих пор	3	17
26	этой точки зрения	1	17
27	как мы видели	1	17
28	в связи с	3	17
29	же как и	1	17
30	с этой точки	1	16
31	в данном случае	1	15
32	друг от друга	2	14
33	в первую очередь	5	14
34	к выводу что	1	14
35	подобно тому как	1	14
36	точно так же	1	13
37	и тот же	1	12
38	тем не менее	2	12
39	на первый план	1	12
40	как мы уже	1	11
41	том что в	1	11
42	те и другие	1	11
43	том числе и	1	10
44	то что в	1	10
45	в самом начале	3	10
46	в том числе	4	10
47	не в состоянии	3	10
48	как и в	2	9
49	более или менее	1	9
50	том что он	4	9
51	само по себе	1	9
52	то что он	2	8
53	только в том	1	8
54	сам по себе	1	8
55	в силу этого	3	8
56	речь идет о	5	8
57	той или иной	1	8
58	к одному и	1	8
59	независимо от того	3	8
60	что он не	2	8
61	в том же	1	8
62	в этой области	2	8
63	что и в	2	8
64	и тому же	1	7
65	благодаря тому что	1	7
66	в первом случае	1	7
67	одному и тому	1	7
68	в этот период	1	6
69	имеет в виду	1	6
70	в обоих случаях	3	6
71	и таким образом	2	6
72	именно потому что	2	6
73	мы находим в	1	6
74	не что иное	1	6
75	что иное как	1	6
76	в следующем виде	1	6
77	мере в какой	1	5
78	нечто такое что	1	5
79	но все же	1	5
80	время как в	1	5
81	том что они	1	5
82	в той же	2	5
83	в конце концов	4	5
84	вперед по сравнению	1	5
85	так как он	1	5
86	но он не	1	5
87	в какой мере	1	5
88	мы знаем о	1	5
89	в то же	5	5
90	только потому что	2	5
91	не только в	1	5
92	представление о том	2	5
93	едва ли не	6	5
94	о которых мы	1	4
95	таким же образом	1	4
96	так и в	1	4
97	должны были бы	1	4
98	по аналогии с	1	4
99	на этот раз	5	4
100	что они являются	1	4
101	в тех случаях	1	4
102	мы имеем дело	1	4
103	и во всяком	1	4
104	но и в	2	4
105	таким образом в	2	4
106	далеко за пределы	1	4
107	в значительной степени	1	4
108	той же мере	1	4
109	тех случаях когда	1	4
110	в предисловии к	1	4
111	после того как	3	4
112	выходит далеко за	1	3
113	в применении к	1	3
114	в самых общих	1	3
115	то ни было	4	3
116	у нас в	2	3
117	но при этом	1	3
118	уже в самом	1	3
119	к тому же	12	3
120	что в действительности	1	3
121	что уже в	1	3
122	то же время	5	3
123	что у нее	1	3
124	в целом ряде	1	3
125	но и не	1	3
126	связи с этим	1	3
127	одна и та	1	3
128	по поводу того	1	3
129	того или иного	1	3
130	сделать вывод что	2	3
131	и все остальные	1	3
132	которые могут быть	1	3
133	хотя бы в	1	3
134	если в основе	1	3
135	как и во	1	3
136	и столь же	2	3
137	и в силу	2	3
138	и во всех	1	3
139	и в конце	1	3
140	в один ряд	1	3
141	ответа на вопрос	1	3
142	в соответствии с	2	3
143	совершенно очевидно что	1	3
144	бы то ни	4	3
145	не мог бы	1	3
146	внешней и внутренней	3	3
147	а вместе с	1	3
148	и в самом	1	3
149	независимо друг от	1	3
150	дополняющих друг друга	1	3
151	и та же	1	3
152	имеем дело с	1	3
153	потому что они	1	3
154	могут быть с	1	2
155	которую можно было	1	2
156	до самого конца	3	2
157	было бы сравнить	1	2
158	это имело место	1	2
159	наряду с этим	1	2
160	в частности в	2	2
161	именно в этой	1	2
162	чтобы убедиться в	1	2
163	тем более что	1	2
164	на пути к	1	2
