N	2gram	Tiupa_Hudo	SlovoVZh
1	не может	10	16
2	может быть	12	14
3	точки зрения	7	14
4	как бы	11	13
5	и его	8	13
6	и в	34	12
7	отношению к	15	11
8	по отношению	15	11
9	в нашем	2	11
10	и не	15	10
11	так как	2	9
12	если бы	7	9
13	прежде всего	12	8
14	для нас	4	7
15	сказать что	3	7
16	нашем примере	1	7
17	все время	2	6
18	и героя	2	6
19	в ней	6	6
20	слова и	1	6
21	в том	24	6
22	только в	8	6
23	в нем	5	6
24	при этом	21	6
25	к содержанию	1	6
26	и др	1	5
27	можно сказать	9	5
28	к слушателю	1	5
29	что мы	1	5
30	героя и	5	5
31	хотя бы	2	5
32	то же	14	5
33	к предмету	1	5
34	а не	23	5
35	в виду	1	5
36	то что	13	5
37	в жизни	9	5
38	как и	16	5
39	как в	11	5
40	отнюдь не	4	5
41	том что	31	5
42	но в	6	5
43	никогда не	8	5
44	в самом	7	4
45	и к	6	4
46	в литературе	3	4
47	и на	6	4
48	не только	22	4
49	на самом	2	4
50	от того	1	4
51	его в	5	4
52	литературы и	1	4
53	с другой	4	4
54	не в	16	4
55	дело в	2	4
56	отношение к	3	4
57	что не	4	4
58	так и	19	4
59	уже не	12	4
60	жизни и	10	4
61	в этом	22	4
62	все же	5	4
63	художественного события	1	4
64	к нему	2	4
65	бы то	1	3
66	как к	4	3
67	и с	10	3
68	ее и	2	3
69	находит свое	1	3
70	к герою	1	3
71	до сих	3	3
72	и более	2	3
73	в котором	5	3
74	и по	3	3
75	мы не	2	3
76	то ни	2	3
77	или не	3	3
78	между тем	14	3
79	для него	15	3
80	отношении к	1	3
81	с ним	6	3
82	не должна	1	3
83	того что	5	3
84	и уже	3	3
85	когда он	2	3
86	тем не	7	3
87	имеет в	1	3
88	все это	2	3
89	он должен	1	3
90	ни в	5	3
91	с автором	1	3
92	в пределах	4	3
93	по себе	3	3
94	так же	3	3
95	в них	3	3
96	в творчестве	4	3
97	этой точки	1	3
98	самом деле	6	3
99	только на	6	3
100	но для	1	3
101	в себе	19	3
102	произведения и	2	3
103	ясно что	2	3
104	все эти	4	3
105	о том	21	3
106	в своей	15	3
107	и герой	2	3
108	здесь не	2	3
109	не менее	9	3
110	из этого	1	3
111	в художественном	6	3
112	в такой	2	3
113	нуждается в	2	3
114	да и	5	3
115	но и	13	3
116	ведь и	1	3
117	и для	5	3
118	точка зрения	1	3
119	художественное произведение	1	3
120	и ее	3	3
121	сих пор	3	3
122	формы и	1	3
123	еще не	10	3
124	в особенности	1	2
125	что в	8	2
126	этих двух	2	2
127	все они	2	2
128	нет ничего	4	2
129	но это	2	2
130	и потому	3	2
131	вместе со	2	2
132	и другие	5	2
133	смысл и	1	2
134	ни на	2	2
135	и то	2	2
136	опираясь на	1	2
137	влияние на	2	2
138	в данном	3	2
139	в душе	6	2
140	в то	12	2
141	еще раз	2	2
142	породившей его	1	2
143	находит в	1	2
144	и содержания	1	2
145	к слову	1	2
146	разрыв между	1	2
147	данном случае	3	2
148	в момент	1	2
149	нас и	1	2
150	поскольку они	1	2
151	с одной	4	2
152	уже в	2	2
153	там где	2	2
154	в его	17	2
155	с этой	3	2
156	она не	6	2
157	это не	12	2
158	одной стороны	4	2
159	автора и	4	2
160	относится к	1	2
161	как уже	3	2
162	дело с	2	2
163	с точки	5	2
164	мы имеем	1	2
165	была бы	3	2
166	на него	3	2
167	тем как	2	2
168	в себя	3	2
169	автором и	2	2
170	и слово	1	2
171	но тем	2	2
172	как это	8	2
173	их близости	1	2
174	но все	2	2
175	но зато	1	2
176	мы в	1	2
177	если же	1	2
178	и та	1	2
179	и что	3	2
180	что и	3	2
181	в отношении	1	2
182	в форме	2	2
183	же самое	4	2
184	на примере	2	2
185	другой стороны	1	2
186	и вполне	1	2
187	в этих	7	2
188	бы даже	1	2
189	как же	1	2
190	и притом	1	2
191	на это	2	2
192	общей для	1	2
193	для других	5	2
194	и здесь	1	2
195	как на	2	2
196	слова но	1	2
197	и все	10	2
198	в комнате	1	2
199	но не	7	2
200	общего с	1	2
201	быть только	2	2
202	могут быть	1	2
203	с другими	2	2
204	до конца	3	2
205	не остается	1	2
206	стороны и	1	2
207	в своем	9	2
208	за его	1	2
209	в корне	1	2
210	в какой	1	2
211	вместе с	2	2
212	между ними	2	2
213	место в	3	2
214	к его	1	2
215	может стать	1	2
216	настоящее время	1	2
217	я ты	1	2
218	лежит на	2	2
219	такой же	3	2
220	в атмосфере	1	2
221	и так	3	2
222	до известной	1	2
223	со словом	1	2
224	с его	9	2
225	себя и	4	2
226	его к	1	2
227	является для	1	2
228	известной степени	1	2
229	к этому	1	2
230	бы не	3	2
231	между собой	1	2
232	он не	8	2
233	в условиях	1	2
234	независимо от	1	2
235	основной тон	1	2
236	на материале	1	2
237	в чем	1	2
238	в настоящее	1	2
239	делает его	1	2
240	но мы	2	2
241	словами и	1	2
242	точку зрения	1	2
243	как только	3	2
244	едва ли	6	2
245	ничего не	11	2
246	жизнью и	3	2
247	все в	2	1
248	в русской	4	1
249	художественного восприятия	2	1
250	к одному	1	1
251	это на	1	1
252	жизнь и	2	1
253	заключена в	1	1
254	себе в	2	1
255	было на	2	1
256	то в	6	1
257	же деле	1	1
258	во всяком	1	1
259	от него	3	1
260	это и	2	1
261	и тех	3	1
262	литературы в	1	1
263	что они	4	1
264	его и	2	1
265	переходя в	1	1
266	вообще по	1	1
267	то он	1	1
268	в искусстве	1	1
269	во всех	2	1
270	не зная	2	1
271	до степени	1	1
272	только из	1	1
273	не является	1	1
274	а с	5	1
275	поэтому не	1	1
276	если оно	1	1
277	того в	1	1
278	что оно	1	1
279	и он	6	1
280	явно не	2	1
281	что современная	1	1
282	это делает	1	1
283	та же	5	1
284	по преимуществу	6	1
285	с самого	1	1
286	зрения на	2	1
287	на нечто	1	1
288	произведения с	2	1
289	так можно	1	1
290	и уверенность	1	1
291	природы это	1	1
292	на этом	5	1
293	собственной внутренней	1	1
294	которой он	2	1
295	не имеют	3	1
296	бы но	1	1
297	может дать	1	1
298	можно подумать	1	1
299	и было	2	1
300	то есть	1	1
301	предметы и	1	1
302	но из	1	1
303	нельзя было	2	1
304	и политической	1	1
305	как одно	1	1
306	художественного высказывания	1	1
307	в лучшем	1	1
308	должно быть	2	1
309	мы уже	7	1
310	этих моментов	1	1
311	ли он	1	1
312	и уж	2	1
313	к художественному	2	1
314	и который	1	1
315	и того	1	1
316	и вот	1	1
317	от нее	2	1
318	это особый	1	1
319	в произведении	1	1
320	но при	3	1
321	она в	5	1
322	она могла	1	1
323	героя в	2	1
324	в свою	1	1
325	в значительной	3	1
326	входит в	1	1
327	только как	1	1
328	что уже	1	1
329	того чтобы	6	1
330	произведении не	1	1
