N	3gram	Voloshinov	Tvorches
1	в то же	9	25
2	то же время	7	24
3	в том что	1	11
4	о том что	2	8
5	и в то	2	7
6	в конечном счете	1	6
7	не может быть	2	6
8	но в то	2	6
9	в самом деле	2	5
10	по отношению к	2	5
11	в русской литературе	1	5
12	на наш взгляд	1	4
13	до сих пор	1	4
14	по крайней мере	1	4
15	с точки зрения	5	4
16	с самого начала	4	4
17	это прежде всего	1	4
18	это как бы	1	3
19	чуть ли не	2	3
20	как и в	1	3
21	с другой стороны	1	3
22	и все же	1	3
23	и не может	1	3
24	заключает в себе	4	2
25	для того чтобы	7	2
26	тем не менее	1	2
27	но при этом	2	2
28	в конце концов	3	2
29	та же самая	2	2
30	человека таким образом	1	2
31	сам с собой	1	2
32	в высшей степени	1	2
33	по самой своей	1	2
34	в связи с	2	2
35	в одном из	1	2
36	в свою очередь	4	2
37	вместе с тем	2	2
38	можно сказать что	2	2
39	особое место в	1	2
40	на этот вопрос	1	2
41	и та же	1	2
42	на самом деле	3	2
43	содержит в себе	1	2
44	не только в	3	2
45	нет и не	1	2
46	не так как	2	2
47	в глаза и	1	1
48	теперь перед нами	1	1
49	что у нас	2	1
50	в дальнейшем мы	1	1
51	а в этом	1	1
52	и как бы	2	1
53	он подробно рассказывал	1	1
54	же самое время	2	1
55	является как бы	1	1
56	решающую роль в	1	1
57	черт знает что	1	1
58	что в одном	1	1
59	то или иное	4	1
60	но ведь в	1	1
61	хотя бы и	1	1
62	причин и следствий	1	1
63	так и от	1	1
64	и не мог	1	1
65	том и другом	1	1
66	прямом и в	1	1
67	но для того	3	1
68	и вследствие этого	2	1
69	бытие в котором	1	1
70	тем как он	1	1
71	именно потому что	1	1
72	пространство и время	1	1
73	но как же	1	1
74	мы никогда не	5	1
75	бросается в глаза	1	1
76	это само собой	2	1
77	вопроса о происхождении	1	1
78	и тем самым	3	1
79	все же и	1	1
80	по себе не	1	1
81	конечно мы не	1	1
82	в душе человека	1	1
83	а затем и	1	1
84	бы не в	1	1
85	и как мы	1	1
86	и в прямом	1	1
87	и того же	1	1
88	самой своей сути	1	1
89	в беседе с	1	1
90	одну и ту	2	1
91	то же самое	4	1
92	к тому что	2	1
93	являются как бы	1	1
94	не может не	1	1
95	не только на	1	1
96	и другом случае	1	1
97	я считаю долгом	1	1
98	на первый взгляд	2	1
99	и в этом	1	1
100	быть может и	1	1
101	в том и	1	1
102	неразрывно связано с	1	1
103	того или иного	5	1
104	и в романе	1	1
105	той или иной	4	1
106	приходит к мысли	1	1
107	равно как и	2	1
108	в прямом и	1	1
109	мы как бы	1	1
110	прежде всего на	1	1
111	тесно связанные с	1	1
112	но и в	3	1
113	и ту же	2	1
114	на ту или	1	1
115	вспомним еще раз	1	1
116	в другом месте	1	1
117	в действительной жизни	2	1
118	это связано с	1	1
119	ту или иную	4	1
120	было бы говорить	1	1
121	перед тем как	1	1
122	одного из героев	1	1
123	и не было	1	1
124	на протяжении почти	1	1
125	можно говорить лишь	1	1
126	отнюдь не был	1	1
127	таким образом в	1	1
128	не должен быть	1	1
129	все происходящее в	1	1
130	не вошел в	1	1
131	не что иное	2	1
132	и никогда не	1	1
133	это еще не	1	1
134	то все же	1	1
135	можно было бы	1	1
136	только потому что	2	1
137	мы имеем в	1	1
138	в этом случае	3	1
139	лишь там где	1	1
140	у нас не	2	1
141	одного и того	1	1
142	так как и	1	1
143	одна и та	1	1
144	тем что он	1	1
145	при этом она	1	1
146	что иное как	2	1
147	в нем и	1	1
148	вопрос о том	1	1
149	и не только	2	1
150	всего у достоевского	1	1
151	не задаваясь вопросом	1	1
152	и нет ничего	1	1
153	в виду что	1	1
154	на эту тему	1	1
155	мы не можем	1	1
