N	2gram	Vygotskiy_	Retstnzi
1	не может	15	4
2	и в	55	3
3	если в	1	2
4	в центре	2	2
5	один из	9	2
6	может и	2	1
7	этой проблемы	1	1
8	в особенности	3	1
9	несмотря на	5	1
10	может быть	34	1
11	не только	24	1
12	точки зрения	15	1
13	с точки	5	1
14	событий и	3	1
15	может не	1	1
16	становится особенно	1	1
17	для него	5	1
18	с теми	3	1
19	в ней	5	1
20	в каждом	2	1
21	связи с	2	1
22	не из	2	1
23	эта вторая	1	1
24	в выводах	1	1
25	бы на	2	1
26	лучше всего	1	1
27	его от	1	1
28	если бы	21	1
29	конечно и	1	1
30	художественного произведения	3	1
31	исходя из	7	1
32	на примере	7	1
33	в его	8	1
34	не менее	1	1
35	и форму	1	1
36	и заставляет	2	1
37	но и	16	1
38	о художественной	1	1
39	вторая половина	1	1
40	впадает в	1	1
41	мы видим	13	1
42	второй части	1	1
43	к тому	12	1
44	можно назвать	1	1
45	тому что	11	1
46	и можно	2	1
47	в то	6	1
48	из этих	4	1
49	и событий	1	1
50	он в	3	1
51	ни один	2	1
52	же время	2	1
53	ничего для	1	1
54	то же	16	1
55	при анализе	2	1
56	а не	16	1
57	персонажей и	1	1
58	бы в	7	1
59	нет и	2	1
60	искусство как	5	1
61	и не	19	1
62	на нее	2	1
63	и все	15	1
64	и на	12	1
65	невольно рождается	1	1
