N	2gram	Potebnia_M	Formalny
1	и в	58	95
2	и не	34	78
3	может быть	47	66
4	в этом	18	61
5	не может	30	57
6	вовсе не	13	53
7	таким образом	21	52
8	и его	7	51
9	так и	17	50
10	точки зрения	8	47
11	в нем	26	42
12	в его	7	42
13	прежде всего	8	41
14	с точки	4	40
15	как и	16	39
16	и т	10	37
17	в самом	5	35
18	не в	23	35
19	а не	38	34
20	в процессе	1	34
21	но и	26	33
22	то же	13	32
23	самом деле	2	32
24	не только	32	30
25	в том	38	26
26	если бы	23	26
27	то что	24	25
28	при этом	17	24
29	в своей	3	24
30	лишь в	2	24
31	на самом	2	24
32	было бы	21	23
33	связи с	6	23
34	в ней	9	23
35	в то	6	22
36	и ее	1	22
37	и с	3	21
38	что в	34	21
39	в истории	8	21
40	как бы	12	21
41	между ними	2	20
42	с тем	9	20
43	не менее	10	20
44	входит в	1	20
45	как мы	3	20
46	и от	5	20
47	же время	4	20
48	место в	3	20
49	в их	3	20
50	по себе	24	19
51	хотя бы	4	19
52	т д	6	19
53	не могут	10	19
54	все это	3	19
55	все же	11	18
56	в связи	2	18
57	т п	6	18
58	должна быть	4	18
59	только в	36	18
60	и все	6	18
61	с его	3	18
62	все эти	3	18
63	и их	6	18
64	именно как	1	17
65	как в	18	17
66	более того	1	17
67	во всяком	9	16
68	с другой	13	16
69	так же	7	16
70	всяком случае	7	16
71	совершенно не	1	16
72	потому что	89	16
73	именно в	2	15
74	должно быть	9	15
75	с другими	3	15
76	его в	3	15
77	бы в	6	15
78	во всех	12	15
79	и на	8	15
80	так как	29	15
81	но в	12	15
82	в жизни	5	14
83	только на	4	14
84	в своем	3	14
85	в ее	2	14
86	в этой	3	14
87	в единстве	3	14
88	что он	5	14
89	вместе с	12	14
90	еще не	9	14
91	языка и	20	14
92	если мы	5	14
93	произведения и	1	14
94	и потому	7	14
95	жизни и	3	14
96	в целом	3	14
97	в результате	1	13
98	тем что	15	13
99	языка как	6	13
100	что и	16	13
101	говорит он	4	13
102	ни в	2	13
103	как его	1	13
104	могут быть	17	13
105	независимо от	15	13
106	для них	2	13
107	со стороны	11	13
108	что же	3	13
109	того что	15	13
110	как ее	1	13
111	она не	3	13
112	а в	11	13
113	там где	8	12
114	уже не	4	12
115	к тому	5	12
116	в действительности	6	12
117	по отношению	15	12
118	как это	1	12
119	и здесь	1	12
120	оно не	4	12
121	того чтобы	4	12
122	и для	8	12
123	отношению к	13	12
124	никогда не	7	11
125	что они	6	11
126	так сказать	5	11
127	то ни	3	11
128	между тем	7	11
129	зависимости от	1	11
130	они не	5	11
131	для него	13	11
132	этом отношении	1	11
133	в общем	1	11
134	но не	19	11
135	в большинстве	1	11
136	слова и	7	11
137	не как	4	10
138	язык как	7	10
139	другой стороны	7	10
140	в своих	4	10
141	в первом	5	10
142	раз и	1	10
143	конечно не	1	10
144	в зависимости	1	10
145	бы то	2	10
146	не было	7	10
147	большинстве случаев	1	10
148	не есть	13	10
149	он не	4	10
150	если же	5	10
151	главным образом	4	10
152	с ее	2	10
153	мы видели	5	10
154	в слове	21	10
155	и теперь	1	10
156	тем же	4	10
157	друг друга	6	10
158	и др	1	10
159	мы не	17	10
160	и как	11	10
161	не о	1	10
162	еще более	2	9
163	и даже	4	9
164	языка в	6	9
