N	2gram	Medvedev_F	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	14	9
4	в этом	39	8
5	достоевский и	1	8
6	и в	54	8
7	и что	2	8
8	что в	10	7
9	и все	9	7
10	но и	18	7
11	то что	14	7
12	о нем	1	6
13	как и	18	6
14	и даже	7	6
15	и с	17	6
16	все же	8	6
17	в котором	2	6
18	в нем	25	6
19	но в	9	6
20	то же	16	5
21	у него	1	5
22	в россии	4	5
23	и не	34	5
24	между тем	4	5
25	не было	7	5
26	же время	13	5
27	в то	14	5
28	это не	4	4
29	при этом	14	4
30	несмотря на	2	4
31	с ним	3	4
32	для нас	1	4
33	все это	11	4
34	х годов	1	4
35	в виду	2	4
36	в своих	3	4
37	что он	8	4
38	уже в	1	4
39	о том	1	4
40	может быть	30	4
41	в ней	15	4
42	целый ряд	4	4
43	в истории	10	4
44	как бы	10	4
45	так же	5	4
46	во многом	2	4
47	что у	1	3
48	в его	30	3
49	в том	17	3
50	т е	50	3
51	его в	5	3
52	связи с	12	3
53	но он	2	3
54	в связи	11	3
55	и как	6	3
56	далеко не	2	3
57	тем что	6	3
58	в чем	2	3
59	в русской	1	3
60	о себе	1	3
61	он был	1	3
62	чтобы он	2	3
63	том что	3	3
64	в этот	2	3
65	он не	8	3
66	и уже	1	3
67	в конце	2	3
68	и о	3	3
69	наряду с	1	3
70	одним из	1	3
71	в своем	12	3
72	на то	2	3
73	с его	12	3
74	и его	27	3
75	к этому	3	3
76	который был	1	3
77	и во	2	3
78	в той	3	2
79	таким образом	28	2
80	и то	1	2
81	время и	2	2
82	его с	5	2
83	мы знаем	3	2
84	с точки	17	2
85	для него	9	2
86	его и	2	2
87	как раз	8	2
88	по мнению	1	2
89	нашего времени	1	2
90	и достоевский	1	2
91	же не	1	2
92	в них	4	2
93	как же	1	2
94	а также	1	2
95	же в	4	2
96	отношения к	6	2
97	его на	1	2
98	в мире	4	2
99	в в	2	2
100	их в	2	2
101	же как	3	2
102	в своей	16	2
103	рядом с	1	2
104	вместе с	8	2
105	так в	3	2
106	в это	1	2
107	не менее	12	2
108	и это	4	2
109	в эту	3	2
110	на первый	1	2
111	еще не	6	2
112	он пишет	2	2
113	но как	2	2
114	а с	1	2
115	это в	1	2
116	в свою	8	2
117	на основе	6	2
118	п в	2	2
119	в этой	10	2
120	что к	1	2
121	при помощи	2	2
122	тогда как	1	2
123	а в	11	2
124	и а	1	2
125	отношение к	4	2
126	уже не	9	2
127	из них	5	2
128	в себе	4	2
129	с нею	1	2
130	не может	26	2
131	место в	8	2
132	столь же	2	2
133	точки зрения	21	2
134	тем более	1	2
135	одна из	2	2
136	в роман	1	2
137	мысли на	1	2
138	в эти	1	2
139	отнюдь не	13	2
140	но это	4	2
141	не мог	1	2
142	в него	2	2
143	и ее	15	2
144	а н	3	2
145	никогда не	6	2
146	для россии	1	1
147	в особенности	7	1
148	все в	3	1
149	к сожалению	2	1
150	своего рода	1	1
151	в самом	17	1
152	во всем	3	1
153	и такую	1	1
154	то в	3	1
155	как к	5	1
156	этого и	1	1
157	связан с	1	1
158	так и	24	1
159	литературой в	2	1
160	что они	4	1
161	этот материал	1	1
162	романа с	1	1
163	в литературе	6	1
164	а белого	2	1
165	для всех	2	1
166	до сих	7	1
167	мире а	2	1
168	в душе	2	1
169	один из	4	1
170	можно говорить	2	1
171	и этот	2	1
172	ему в	1	1
173	этого в	1	1
174	из которых	1	1
175	о новом	1	1
176	они не	7	1
177	только что	1	1
178	он весьма	1	1
179	всего была	1	1
180	этот процесс	1	1
181	если в	3	1
182	также что	1	1
183	развитие в	1	1
184	к этой	4	1
185	каковы же	1	1
186	в основном	3	1
187	он отличается	1	1
188	которой не	1	1
189	за исключением	3	1
190	сколько в	1	1
191	в литературной	1	1
192	отражает и	1	1
193	о возможном	1	1
194	что уже	1	1
195	предположение что	1	1
196	произведения это	2	1
197	не будем	1	1
198	литературной среде	1	1
199	дает нам	1	1
200	еще более	6	1
201	и борьбы	1	1
202	автором на	1	1
203	что это	1	1
204	обычно не	1	1
205	хотя и	3	1
206	а это	1	1
207	единства и	2	1
208	романа и	1	1
209	он и	3	1
210	романа в	1	1
211	и из	1	1
212	в ее	10	1
213	только не	2	1
214	того что	7	1
215	в недрах	1	1
216	в другой	2	1
217	говорит о	1	1
218	и творческого	1	1
219	по праву	1	1
220	от этой	1	1
221	в качестве	2	1
222	прежде всего	34	1
223	к реальному	1	1
224	ее и	3	1
225	с исторической	1	1
226	другой стороны	5	1
227	себе не	1	1
228	в этих	3	1
229	он лишь	1	1
230	в их	16	1
231	все равно	1	1
232	с утверждением	1	1
233	что слово	1	1
234	есть еще	1	1
235	художник а	1	1
236	и самые	2	1
237	ко всем	2	1
238	а между	1	1
239	он уже	1	1
240	эта попытка	1	1
241	в духе	1	1
242	в н	1	1
243	далее он	1	1
244	а о	4	1
245	самим собой	1	1
246	этого не	1	1
247	и глубокой	1	1
248	и сам	1	1
249	пока только	1	1
250	в одном	2	1
251	скорее напротив	1	1
252	равно как	2	1
253	в другую	1	1
254	на нее	2	1
255	и начинается	1	1
256	что о	2	1
257	еще в	2	1
258	но не	5	1
259	той духовной	1	1
260	но для	4	1
261	если это	1	1
262	в составе	1	1
263	именно в	12	1
264	жизни и	10	1
265	представление о	2	1
266	в таком	2	1
267	в процессе	17	1
268	в литературу	1	1
269	нам не	1	1
270	может в	1	1
271	в жизни	3	1
272	мы получаем	1	1
273	литературе и	2	1
274	но ведь	4	1
275	правда в	3	1
276	впервые на	1	1
277	ясно что	3	1
278	особенно резко	3	1
279	как о	8	1
280	похож на	1	1
281	начинается с	1	1
282	в предисловии	3	1
283	вряд ли	2	1
284	себя как	1	1
285	не есть	4	1
286	это время	1	1
287	между прочим	1	1
288	не дают	2	1
289	эту проблему	2	1
290	как в	12	1
291	оказалось что	1	1
292	влияния на	3	1
293	следовательно и	2	1
294	роль в	2	1
295	правда не	1	1
296	ли не	1	1
297	тургенева не	1	1
298	по своему	1	1
299	как нам	1	1
300	по преимуществу	6	1
301	эту сторону	1	1
302	никто не	2	1
303	отличается от	4	1
304	да и	1	1
305	этом романе	1	1
306	его жизни	1	1
307	прочим и	1	1
308	образ базарова	1	1
309	в свете	1	1
310	том как	1	1
311	в условиях	1	1
312	это было	3	1
313	в итоге	1	1
314	из которого	1	1
315	к вопросу	2	1
316	пока не	1	1
317	в сторону	4	1
318	возникает вопрос	1	1
319	не имеет	2	1
320	ничего общего	2	1
321	всех их	1	1
322	полагает что	1	1
323	тем не	2	1
324	раз и	6	1
325	под влиянием	3	1
326	что как	1	1
327	сих пор	7	1
328	гораздо больше	1	1
329	совершенно прав	1	1
330	не был	1	1
331	на них	1	1
332	этому же	1	1
333	и образ	1	1
334	жизнь и	3	1
335	с этим	6	1
336	во всех	9	1
337	во всяком	6	1
338	это и	7	1
339	было не	1	1
340	входя в	1	1
341	то он	1	1
342	между нами	1	1
343	выражение в	1	1
344	и отчасти	6	1
345	во все	2	1
346	это конечно	1	1
347	первый план	1	1
348	развиваться в	2	1
349	для создания	2	1
350	не учитывать	2	1
351	было в	3	1
352	возвращается к	1	1
353	не могли	2	1
