N	2gram	Propp_Morf	Tvorches
1	и в	17	56
2	как бы	6	41
3	в его	1	37
4	в то	4	30
5	то же	10	25
6	не только	8	24
7	же время	1	24
8	но в	4	24
9	как и	4	23
10	и не	16	23
11	а в	8	23
12	и его	3	23
13	в этом	18	22
14	и т	62	22
15	что в	10	21
16	в том	10	21
17	он не	5	19
18	том что	7	19
19	может быть	61	19
20	потому что	7	19
21	у него	2	18
22	то что	10	18
23	таким образом	26	17
24	и на	1	17
25	что он	5	17
26	т д	60	17
27	все это	2	17
28	при этом	1	16
29	но и	9	16
30	как в	5	16
31	прежде всего	14	16
32	не может	19	16
33	и с	1	15
34	в мире	1	15
35	но это	6	15
36	в этой	3	15
37	с его	3	15
38	и даже	2	14
39	это не	6	14
40	там же	1	13
41	о том	6	13
42	а не	11	13
43	в котором	1	12
44	же с	1	12
45	в целом	5	12
46	в своей	1	11
47	все же	9	11
48	для него	2	11
49	он сам	1	10
50	в русской	1	10
51	не в	3	10
52	только в	3	10
53	так и	10	10
54	но не	8	10
55	как будто	2	10
56	в своих	2	9
57	наряду с	7	9
58	а затем	10	9
59	один из	7	9
60	в свою	1	9
61	даже в	1	8
62	именно в	1	8
63	не менее	7	8
64	так же	4	8
65	к этому	4	8
66	хотя и	5	8
67	одним из	2	8
68	это уже	3	8
69	тогда как	2	8
70	одной из	2	8
71	еще не	4	8
72	в себе	1	8
73	так как	20	8
74	в их	1	8
75	на его	5	8
76	об этом	5	8
77	вовсе не	6	8
78	в лице	1	8
79	в этих	17	7
80	например в	2	7
81	уже не	4	7
82	что она	2	7
83	в которой	3	7
84	в чем	2	7
85	в рассказе	1	7
86	самом деле	4	7
87	во сне	2	7
88	читателя в	1	7
89	в момент	1	6
90	в ф	1	6
91	не столько	1	6
92	и как	6	6
93	если он	2	6
94	на эту	1	6
95	хотя бы	5	6
96	одна из	5	6
97	его в	4	6
98	так что	1	6
99	и ее	5	6
100	а потому	2	6
101	героя в	5	6
102	своих героев	1	6
103	и далее	1	6
104	если бы	3	6
105	и все	1	6
106	приводит к	3	6
107	все эти	5	6
108	и другие	6	5
109	в них	1	5
110	что этот	2	5
111	с другой	9	5
112	приходит к	1	5
113	по отношению	7	5
114	в одной	2	5
115	во всей	1	5
116	из них	4	5
117	что они	5	5
118	на него	4	5
119	в ее	1	5
120	что и	10	5
121	что не	1	5
122	в таком	1	5
123	и это	1	5
124	и у	3	5
125	а с	2	5
126	героя и	3	5
127	что это	3	5
128	если не	1	5
129	между тем	5	5
130	с большой	2	5
131	в первой	1	5
132	дело не	2	5
133	значит что	4	5
134	показывает что	1	5
135	не так	2	5
136	та же	3	5
137	с этим	14	5
138	в россии	2	5
139	это все	1	5
140	в образе	6	5
141	но если	10	5
142	тот же	1	5
143	ничего не	5	5
144	из этой	1	5
145	мы не	8	5
146	бы не	1	5
147	в виде	3	5
148	но с	2	5
149	но эта	1	5
150	и по	3	5
151	что я	1	5
152	как он	1	5
153	отношению к	7	5
154	с этой	3	4
155	с собой	3	4
156	тем что	4	4
157	роль в	2	4
158	так в	1	4
159	а а	2	4
160	с см	1	4
161	но эти	3	4
162	представляет собой	17	4
163	только на	1	4
164	говорить о	4	4
165	и когда	2	4
166	говорит что	1	4
167	превращается в	2	4
168	не вполне	1	4
169	самого начала	1	4
170	с большим	1	4
171	что все	1	4
172	точки зрения	7	4
173	это значит	1	4
174	к нему	3	4
175	мы видим	15	4
176	с точки	6	4
177	стремится к	1	4
178	не знает	2	4
179	что его	4	4
180	который в	2	4
181	сих пор	1	4
182	в каждом	1	4
183	не означает	2	4
184	как это	7	4
185	этот вопрос	4	4
186	ту же	2	4
187	себя в	2	4
188	однако в	2	4
189	могут быть	21	4
190	о его	4	4
191	и есть	3	4
192	ведет к	1	4
193	до сих	1	4
194	с иваном	3	4
195	с ними	1	4
196	в в	2	4
197	в которых	2	4
198	перед нами	14	4
199	это и	3	4
200	его и	2	4
201	в основе	2	4
202	и более	2	4
203	связана с	3	4
204	эта мысль	1	4
205	на землю	1	4
206	при помощи	12	4
207	на улице	1	4
208	того что	3	4
209	же не	1	4
210	он же	1	4
211	дело в	1	4
212	о жизни	1	4
213	с самого	1	4
214	отличие от	1	4
215	но он	1	4
216	в частности	2	4
217	еще в	1	4
218	далеко не	5	4
219	у нее	2	4
220	в плане	1	4
221	такой же	1	4
222	и наконец	1	4
223	и к	4	3
224	от него	2	3
225	только что	3	3
226	кроме того	3	3
227	в с	1	3
228	в виду	1	3
229	другой стороны	5	3
230	это определение	1	3
231	в первом	5	3
232	мысль о	1	3
233	ее по	3	3
234	только для	2	3
235	так например	3	3
236	к тому	5	3
237	на все	1	3
238	во всяком	2	3
239	можно сказать	2	3
240	больше чем	1	3
241	д в	2	3
242	в этот	1	3
243	особое место	2	3
244	точно так	2	3
245	в одном	2	3
246	перед ним	1	3
247	с другим	1	3
248	сказать что	4	3
249	и вдруг	1	3
250	не то	1	3
251	то в	3	3
252	собой в	2	3
253	к себе	2	3
254	несмотря на	4	3
255	иными словами	1	3
256	как по	1	3
257	для того	3	3
258	не есть	1	3
259	герой в	2	3
260	со всеми	1	3
261	на этом	4	3
262	всяком случае	2	3
263	совсем не	3	3
264	и тем	3	3
265	должны быть	2	3
266	и что	3	3
267	является одним	1	3
268	как уже	3	3
269	даже не	3	3
270	своей известной	1	3
271	и др	12	3
272	его к	1	3
273	там где	5	3
274	в один	3	3
275	вплоть до	1	3
276	во второй	2	3
277	образом и	1	3
278	если в	7	3
279	на западе	1	3
280	его с	1	3
281	до этого	1	3
282	вряд ли	2	3
283	может не	2	3
284	никто не	4	3
285	о котором	1	3
286	со стороны	5	3
287	не является	4	3
288	и тогда	3	3
289	и до	1	3
290	к людям	1	3
291	действия и	2	3
292	е а	2	3
293	как мы	8	3
294	характера и	1	3
295	на этот	2	3
296	друг друга	3	3
297	не выдерживает	1	3
298	как к	1	3
299	но на	1	3
300	и вот	1	3
301	что с	1	3
302	ее в	3	3
303	сам себе	1	3
304	на самом	4	3
305	у нас	3	3
306	таком случае	1	3
307	мы находим	1	3
308	не существует	3	3
309	или в	6	3
310	не все	6	3
311	тут и	1	3
312	не по	2	3
313	из этих	2	3
314	в него	1	3
315	а по	3	3
316	и их	3	3
317	не с	2	3
318	с ее	1	3
319	в начале	3	3
320	в другом	2	3
321	дает ему	1	3
322	отношение к	1	3
323	к ней	3	3
324	в ходе	5	3
325	бы он	1	3
326	во многих	1	3
327	а н	1	3
328	этой связи	1	3
329	в области	1	3
330	и только	3	3
331	они имеют	1	2
332	является в	2	2
333	все что	1	2
334	еще раз	1	2
335	на эти	1	2
336	же и	1	2
337	этот момент	5	2
338	думается что	1	2
339	вспомним хотя	1	2
340	и рядом	1	2
341	в результате	8	2
342	ясно что	5	2
343	как было	1	2
344	в материал	1	2
345	вслед за	5	2
346	из нее	1	2
347	с тем	2	2
348	начинается с	5	2
349	их в	2	2
350	в бою	3	2
351	и очень	1	2
352	одновременно и	1	2
353	стремления к	1	2
354	с героем	2	2
355	когда в	2	2
356	для их	1	2
357	но мы	3	2
358	и нет	1	2
359	не прав	1	2
360	г в	1	2
361	он идет	1	2
362	его перед	1	2
363	во все	1	2
364	в данном	2	2
365	то это	5	2
366	или вернее	1	2
367	как та	1	2
368	он был	1	2
369	входит в	4	2
370	имеет в	1	2
371	только как	1	2
372	это его	1	2
373	к своей	1	2
374	е годы	1	2
375	самого себя	2	2
376	свою очередь	1	2
377	так мы	1	2
378	в глаза	2	2
379	как на	1	2
380	настоящее время	3	2
381	он живет	1	2
382	уже по	1	2
383	о чем	1	2
384	свои собственные	1	2
385	грань между	1	2
386	во всех	6	2
387	не зная	1	2
388	не противоречит	1	2
389	героев в	1	2
390	здесь нет	1	2
391	с одной	2	2
392	есть у	1	2
393	как раз	1	2
394	тем не	7	2
395	в качестве	8	2
396	в тот	1	2
397	с другими	2	2
398	и притом	1	2
399	связи с	12	2
400	героя с	1	2
401	как его	1	2
402	всему миру	1	2
403	тому что	5	2
404	но ведь	1	2
405	в связи	10	2
406	от одной	1	2
407	между прочим	1	2
408	между собой	5	2
409	не нужно	1	2
410	в эту	1	2
411	но как	3	2
412	д с	1	2
413	определен как	3	2
414	мы уже	4	2
415	не дает	1	2
416	во что	1	2
417	в быту	1	2
418	самому себе	1	2
419	действующих лиц	22	2
420	кажется что	1	2
421	не будет	1	2
422	для этой	3	2
423	одним словом	1	2
424	если же	5	2
425	в тех	8	2
426	кто же	1	2
427	в нее	2	2
428	было бы	5	2
429	целом и	1	2
430	включает и	1	2
431	но прежде	1	2
432	в доме	2	2
433	не значит	3	2
434	в силу	1	2
435	чаще всего	11	2
436	из этого	1	2
437	его можно	1	2
438	нет не	1	2
439	означает что	3	2
440	исходную ситуацию	1	2
441	и здесь	7	2
442	действий в	1	2
443	его из	1	2
444	с такой	1	2
445	на первом	1	2
446	большую роль	1	2
447	представляют собой	16	2
448	в сущности	3	2
449	быть поняты	1	2
450	ни в	3	2
451	и делает	1	2
452	не могут	7	2
453	здесь мы	3	2
454	мы понимаем	1	2
455	одновременно с	1	2
456	сам с	1	2
457	это время	1	2
458	не имеет	2	2
459	к героям	1	2
460	ли он	1	2
461	несколько ниже	1	2
462	в которые	1	2
463	ни к	2	2
464	со смертью	2	2
465	где нет	1	2
466	не дают	1	2
467	того чтобы	4	2
468	героем и	1	2
469	а через	1	2
470	то все	1	2
471	героя а	4	2
472	от других	2	2
473	он пришел	1	2
474	не потому	1	2
475	влияет на	1	2
476	а во	3	2
477	им в	1	2
478	что же	2	2
479	он в	1	2
480	мог бы	1	2
481	не стоит	1	2
482	же он	1	2
483	точку зрения	1	2
484	в другое	1	2
485	д и	2	2
486	меня не	1	2
487	высшей степени	1	2
488	ответ на	2	2
489	что ему	1	2
490	этой области	1	2
491	данном случае	2	2
492	сам он	3	2
493	где он	1	2
494	он как	1	2
495	он начинает	1	2
496	с просьбой	3	2
497	в формах	1	2
498	о нем	1	2
499	во время	6	2
500	некоторые из	3	2
501	многое другое	1	2
502	слова не	1	2
503	особое значение	1	2
504	в таких	3	2
505	и многое	1	2
506	из форм	1	2
507	за этим	1	2
508	не от	2	2
509	и где	1	2
510	очень много	2	2
511	представляет собою	8	2
512	совершенно точно	1	2
513	и со	1	2
514	сразу же	2	2
515	путь к	2	2
516	и вообще	1	2
517	людей в	1	2
518	без всякой	2	2
519	ко всему	1	2
520	героя к	2	2
521	ли в	1	2
522	в руки	4	2
523	она не	2	2
524	строится как	1	2
525	а от	1	2
526	но она	1	2
527	всех этих	1	2
528	в нашей	1	2
529	быть определен	2	2
530	говорилось выше	1	2
531	в высшей	1	2
532	это еще	2	2
533	же в	3	2
534	в создании	1	2
535	их на	2	2
536	в е	1	2
537	все более	1	2
538	надо было	1	2
539	может и	1	2
540	однако все	2	2
541	но для	3	2
542	есть не	1	2
543	как христианская	1	1
544	это утверждение	1	1
545	заметим что	3	1
546	для всех	1	1
547	и своего	1	1
548	отвечает на	1	1
549	не единственный	1	1
550	оно так	1	1
551	читателю и	1	1
552	с двух	1	1
553	рассказ о	1	1
554	которые не	1	1
555	к этой	1	1
556	зрения их	1	1
557	сверх того	1	1
558	в применении	1	1
559	вопросу о	2	1
560	дочери и	1	1
561	формы в	1	1
562	черта и	1	1
563	тем как	1	1
564	или нет	2	1
565	не нужны	1	1
566	которое может	2	1
567	не являются	1	1
568	дана более	1	1
569	всего возникает	1	1
570	одно из	1	1
571	персонажа и	1	1
572	дается в	2	1
573	нами в	4	1
574	узнавание у	1	1
575	не задаваясь	1	1
576	которую он	1	1
577	ii к	1	1
578	характере этого	1	1
579	как живое	1	1
580	извне а	1	1
581	на которых	1	1
582	но все	4	1
583	именно и	1	1
584	я за	1	1
585	можно говорить	1	1
586	равно как	1	1
587	на взморье	2	1
588	из самых	1	1
589	большей частью	6	1
590	она является	1	1
591	или на	3	1
592	говорят о	1	1
593	том или	1	1
594	более и	1	1
595	исходной ситуации	1	1
596	в собственном	3	1
597	его отец	1	1
598	у которого	1	1
599	начала действия	1	1
600	приложить к	1	1
601	кстати что	1	1
602	он является	1	1
603	за ней	2	1
604	в точном	1	1
605	свою собственную	1	1
606	сюжет с	1	1
607	своей функцией	1	1
608	нашу задачу	2	1
609	первый взгляд	3	1
610	с попыткой	1	1
611	удобный момент	1	1
612	этот прием	1	1
613	герой получает	5	1
614	всего и	1	1
615	к другой	2	1
616	можно считать	1	1
617	вопрос о	10	1
618	применении к	1	1
619	за той	1	1
620	всего этого	1	1
621	одной стороны	2	1
622	меня на	1	1
623	вопроса об	1	1
624	можно условно	1	1
625	уже было	1	1
626	таким же	1	1
627	с помощью	1	1
628	между двумя	1	1
629	об отношении	1	1
630	но они	2	1
631	в различных	2	1
632	укладываются в	1	1
633	и те	1	1
634	можно ли	1	1
635	не что	2	1
636	самим героем	1	1
637	в карты	3	1
638	и начинает	1	1
639	за другом	2	1
640	ночи на	2	1
641	друг на	2	1
642	выше мы	1	1
643	дает нам	1	1
644	например иван	1	1
645	а сам	1	1
646	о тех	1	1
647	в основу	2	1
648	образом как	1	1
649	такая же	1	1
650	в нашем	6	1
651	с этими	1	1
652	окна и	1	1
653	или очень	2	1
654	всех людей	1	1
655	говорит ты	1	1
656	постоянная для	1	1
657	лишь один	1	1
658	не определяют	1	1
659	вот как	2	1
660	чем это	2	1
661	на словах	1	1
662	бы то	3	1
663	она имеет	1	1
664	д все	2	1
665	к различным	2	1
666	к герою	3	1
667	ночью на	1	1
668	же роль	2	1
669	что иное	2	1
670	не слишком	3	1
671	после чего	2	1
672	и функции	3	1
673	отец ее	1	1
674	она имела	1	1
675	вполне может	1	1
676	первый раз	1	1
677	а и	3	1
678	ни было	2	1
679	него самого	1	1
680	т е	25	1
681	лиц в	3	1
682	эти детали	1	1
683	совпадения и	1	1
684	не думает	1	1
685	что такое	3	1
686	и за	2	1
687	своего положения	1	1
688	по ночам	2	1
689	особую главу	1	1
690	делает это	1	1
691	не хватает	4	1
692	третий раз	1	1
693	вспомнить о	1	1
694	ли можно	1	1
695	видит в	1	1
696	чем в	2	1
697	для исследователя	1	1
698	как же	3	1
699	функций можно	1	1
700	мысль на	1	1
701	и слышит	1	1
702	о возможности	1	1
703	и некоторые	1	1
704	они представляют	1	1
705	как видно	1	1
706	как результат	1	1
707	так герой	1	1
708	при анализе	1	1
709	выпадает из	2	1
710	и говорит	1	1
711	что за	1	1
712	это мы	2	1
713	говорить лишь	1	1
714	смысла но	1	1
715	и хорошо	1	1
716	в третий	1	1
717	здесь же	3	1
718	и всю	1	1
719	учение о	5	1
720	лишь на	2	1
721	между ними	1	1
722	встречается в	4	1
723	время как	3	1
724	и она	1	1
725	большинстве случаев	3	1
726	такие же	1	1
727	основано на	1	1
728	основная форма	1	1
729	уже давно	1	1
730	д такое	1	1
731	незадолго до	2	1
732	о которых	1	1
733	больше всего	1	1
734	в последнем	3	1
735	же касается	1	1
736	к вопросу	2	1
737	куда же	1	1
738	например как	1	1
739	могло бы	1	1
740	в других	5	1
741	вводит в	1	1
742	человека а	1	1
743	чтобы его	2	1
744	вопроса о	3	1
745	той или	1	1
746	я был	1	1
747	но можно	1	1
748	вошел в	1	1
749	о происхождении	2	1
750	мы можем	5	1
751	его появления	1	1
752	вопрос но	1	1
753	действия в	1	1
754	я тебе	1	1
755	с золотыми	2	1
756	иногда на	1	1
757	чтобы герой	3	1
758	играют огромную	1	1
759	это герои	1	1
760	или во	1	1
761	бывают и	1	1
762	героя то	1	1
763	о необходимости	1	1
764	специфическая форма	2	1
765	на другой	1	1
766	то ни	3	1
767	бедность и	1	1
768	с какой	1	1
769	или же	7	1
770	и обратное	1	1
771	решить вопрос	2	1
772	что эта	2	1
773	один раз	2	1
774	вспомним что	1	1
775	можно было	4	1
776	в форме	6	1
777	исследователя но	1	1
778	почти всегда	1	1
779	была не	1	1
780	особого внимания	1	1
781	то во	1	1
782	причина этого	1	1
783	также и	6	1
784	что бы	1	1
785	как один	1	1
786	связи очень	1	1
787	или иное	1	1
788	в иных	4	1
789	на свое	1	1
790	меняется и	1	1
791	их и	1	1
792	и несколько	1	1
793	в гости	1	1
794	чем она	1	1
795	возможно что	1	1
796	платье и	1	1
797	и никогда	1	1
798	главным образом	5	1
799	это делает	1	1
800	сыновей и	1	1
801	он показывает	1	1
802	рублей и	1	1
803	если они	2	1
804	главе мы	1	1
805	очень редко	1	1
806	сказать о	2	1
807	жене и	1	1
808	это совершенно	1	1
809	если герой	4	1
810	является его	1	1
811	до начала	1	1
812	случае это	1	1
813	дух в	1	1
814	всему живому	2	1
815	до его	1	1
816	еще одно	1	1
817	раньше чем	5	1
818	многие другие	1	1
819	что до	2	1
820	он говорил	1	1
821	рассказ может	1	1
822	слушателя и	1	1
823	мы определяем	2	1
824	дома он	1	1
825	в особенности	1	1
826	не делает	1	1
827	к целому	2	1
828	сказка в	4	1
829	они существуют	1	1
830	однако и	1	1
831	роль играют	1	1
832	то время	3	1
833	это одна	1	1
834	и возможно	1	1
835	средство которое	1	1
836	на той	2	1
837	и этот	2	1
838	обнаруживает что	1	1
839	облика и	1	1
840	всегда ли	2	1
841	время я	1	1
842	что герой	1	1
843	он только	1	1
844	красоте и	1	1
845	можно назвать	3	1
846	мы получаем	2	1
847	обращает в	1	1
848	связанное с	1	1
849	выше было	1	1
850	заметим кстати	1	1
851	он действует	2	1
852	в живых	3	1
853	его но	1	1
854	он лишь	1	1
855	за это	1	1
856	функции в	1	1
857	не на	2	1
858	во дворце	1	1
859	оно не	2	1
860	важно не	1	1
861	включается в	1	1
862	собой и	1	1
863	образом если	2	1
864	это положение	2	1
865	хотя эта	1	1
866	зная о	1	1
867	но вот	2	1
868	в саду	1	1
869	обращается к	1	1
870	и действительно	1	1
871	служит контрастным	2	1
872	просит не	2	1
873	к самым	1	1
874	очень важный	2	1
875	как не	1	1
876	является функцией	2	1
877	и просто	1	1
878	является одновременно	2	1
879	связанные с	1	1
880	отнесены к	1	1
881	себя и	2	1
882	как а	1	1
883	все другие	1	1
884	возникает вопрос	3	1
885	нет в	1	1
886	все как	1	1
887	ничего общего	1	1
888	огромную роль	1	1
889	бы нас	1	1
890	других сюжетов	1	1
891	этот мотив	1	1
892	все они	1	1
893	бросается в	1	1
894	еще и	1	1
895	чем же	1	1
896	и должны	1	1
897	действия но	1	1
898	на самого	1	1
899	в главе	1	1
900	а если	4	1
901	что совсем	1	1
902	когда мы	1	1
903	видим что	12	1
904	тех же	4	1
905	вытекает необходимость	1	1
906	это явление	5	1
907	более чем	1	1
908	такую же	2	1
909	где есть	1	1
910	заметок о	1	1
911	в течение	1	1
912	это то	1	1
913	на друга	2	1
914	ивана на	2	1
915	том как	2	1
916	момент для	1	1
917	и независимо	1	1
918	из его	2	1
919	в середине	2	1
920	для меня	1	1
921	его руку	1	1
922	не носит	1	1
923	вывод что	2	1
924	вступает в	1	1
925	эти связи	1	1
926	целый ряд	3	1
927	говоря что	1	1
928	в обоих	2	1
929	особая функция	1	1
930	например на	2	1
931	состоит в	3	1
932	затем уже	2	1
