N	3gram	Medvedev_S	KFilosof
1	по отношению к	2	22
2	не было бы	1	3
3	и в этом	1	3
4	в том что	2	2
5	бы он ни	1	2
6	в то же	1	2
7	то же время	1	2
8	в конечном счете	1	1
9	во всяком случае	1	1
10	но как и	1	1
11	то же самое	1	1
12	конечно не в	1	1
13	дело не в	2	1
14	не в том	2	1
15	только в этом	2	1
16	в настоящее время	1	1
17	в противном случае	1	1
18	в лучшем случае	1	1
19	как и куда	1	1
20	и в то	1	1
21	как бы он	1	1
22	не может не	1	1
23	и только для	1	1
24	это и есть	1	1
25	ровно ничего не	1	1
