N	2gram	Ircho_Kome	Narrotol
1	не только	12	62
2	и не	19	50
3	при этом	5	47
4	но и	14	45
5	а не	1	38
6	в качестве	8	35
7	в частности	7	31
8	может быть	16	30
9	и в	40	30
10	в том	19	29
11	в этом	9	28
12	том что	19	28
13	а в	9	27
14	такого рода	6	26
15	представляет собой	1	25
16	только в	6	25
17	состоит в	1	25
18	в данном	1	24
19	как и	12	24
20	не в	8	23
21	то что	8	23
22	то есть	1	22
23	в тексте	1	22
24	не может	3	20
25	в себе	3	17
26	данном случае	1	17
27	так и	17	17
28	а также	5	17
29	со стороны	3	16
30	в его	8	16
31	к тому	15	15
32	но в	6	15
33	в жизни	1	14
34	и его	17	14
35	то же	7	13
36	в своей	3	13
37	о том	12	13
38	в своем	6	13
39	у него	6	13
40	времени и	2	13
41	все же	7	12
42	на протяжении	14	12
43	сводится к	1	12
44	как в	8	12
45	перед нами	1	12
46	как бы	3	12
47	прежде всего	8	12
48	по отношению	5	11
49	об этом	2	11
50	к себе	1	11
51	хотя и	6	11
52	в мире	3	11
53	если бы	4	11
54	и тем	2	11
55	в этой	9	11
56	в нем	8	11
57	жизни в	1	11
58	в отличие	3	11
59	отличие от	4	11
60	тем самым	1	11
61	отношению к	5	11
62	один из	9	10
63	как правило	5	10
64	тому же	14	10
65	точки зрения	7	10
66	всего лишь	1	10
67	между тем	9	10
68	как это	7	10
69	в то	14	10
70	и все	4	10
71	не является	2	10
72	жизни и	4	10
73	с его	4	10
74	ничего не	4	10
75	того что	1	10
76	но не	3	10
77	в соответствии	2	9
78	как раз	4	9
79	тем не	3	9
80	той или	1	9
81	столь же	9	9
82	отнюдь не	2	9
83	что в	12	9
84	с ним	1	9
85	что он	11	9
86	еще не	7	9
87	потому что	8	9
88	во времени	1	9
89	для него	1	9
90	далеко не	1	9
91	в рамках	3	9
92	в той	2	8
93	и к	2	8
94	в самом	5	8
95	в таком	1	8
96	о чем	2	8
97	не менее	6	8
98	не мог	4	8
