N	3gram	Voloshinov	VelikijI
1	к тому что	4	3
2	в том что	9	2
3	а между тем	1	2
4	которым можно было	1	2
5	вместо того чтобы	1	2
6	в нем нет	4	2
7	но и в	3	2
8	том что он	3	2
9	не могли бы	1	1
10	так и в	2	1
11	для него не	1	1
12	и в сознании	1	1
13	не имеет никакой	1	1
14	в конце концов	3	1
15	лишь в процессе	2	1
16	и во всяком	1	1
17	по сравнению с	1	1
18	есть прежде всего	2	1
19	как и в	1	1
20	по крайней мере	1	1
21	с ними как	1	1
22	не могут быть	3	1
23	хотя бы и	1	1
24	в жизни и	1	1
25	и не было	1	1
26	нем нет никакого	1	1
27	но все же	4	1
28	с другой стороны	6	1
29	жизни в этом	2	1
30	бы то ни	11	1
31	еще не успели	1	1
32	тому что все	1	1
