N	4gram	Bakhtin_Fr	VLabPisa
1	в то же время	13	5
2	и в то же	2	3
3	в том числе и	3	2
4	и в другом месте	1	2
5	в точном смысле слова	1	2
6	с одной стороны и	2	2
7	большей или меньшей степени	2	2
8	хотя бы и не	1	2
9	и не может быть	1	2
10	в большей или меньшей	2	2
11	точном смысле слова не	1	1
12	не подлежит сомнению что	1	1
13	и в конечном счете	1	1
14	в том случае если	1	1
15	с большей или меньшей	1	1
16	целом но и в	1	1
17	сцен из рыцарских времен	1	1
18	примеров можно было бы	1	1
19	в той или иной	2	1
20	в области художественного творчества	1	1
21	но в то же	7	1
22	с другой стороны он	1	1
23	в то время как	1	1
24	нет и не может	1	1
25	до сих пор не	1	1
