N	3gram	Bakhtin_Pr	VerxiiNi
1	с точки зрения	13	6
2	во всяком случае	1	6
3	друг с другом	6	5
4	по крайней мере	2	5
5	до сих пор	8	5
6	в том числе	15	5
7	более или менее	3	5
8	том числе и	13	4
9	и вместе с	1	4
10	о том что	3	4
11	к тому же	1	4
12	в том что	6	3
13	в конце концов	1	3
14	так же как	1	3
15	в связи с	1	3
16	тем не менее	2	3
17	так или иначе	1	3
18	верхом и низом	1	3
19	и для того	1	2
20	той или иной	2	2
21	то что он	1	2
22	на то что	2	2
23	сих пор еще	2	2
24	с самого начала	4	2
25	может быть даже	2	2
26	то же самое	1	2
27	так и от	1	2
28	по сравнению с	6	2
29	можно сказать что	6	2
30	в этом отношении	1	2
31	то же время	8	2
32	в то же	8	2
33	и в этом	1	2
34	может быть и	2	2
35	мы видели что	2	1
36	сами по себе	1	1
37	так и в	2	1
38	и некоторые другие	1	1
39	жизни то есть	1	1
40	мы можем составить	1	1
41	в области народной	1	1
42	у него в	1	1
43	зрения того же	1	1
44	но при этом	1	1
45	связанные с ним	1	1
46	точки зрения того	1	1
47	все более и	1	1
48	уже в эпоху	1	1
49	именно потому что	1	1
50	сказать что в	1	1
51	и тот же	1	1
52	а между тем	2	1
53	и продолжают жить	1	1
54	смысле этого слова	2	1
55	а вместе с	1	1
56	том что все	2	1
57	но в то	3	1
58	между человеком и	1	1
59	он как бы	1	1
60	затем в эпоху	1	1
61	с нашей точки	1	1
62	со всем и	1	1
63	мы видим что	1	1
64	в соответствии с	2	1
65	не может быть	8	1
66	по отношению к	5	1
67	своей духовной жизни	1	1
68	и в то	3	1
69	в данном случае	1	1
70	мы имеем в	3	1
71	мире и на	1	1
72	в отличие от	1	1
73	и никогда не	1	1
74	во всей своей	1	1
75	можем составить себе	1	1
76	после того как	1	1
77	с ней и	1	1
78	в эту эпоху	1	1
79	которые по своему	1	1
80	тем или иным	1	1
81	что касается до	1	1
82	нашей точки зрения	1	1
83	один и тот	1	1
84	непосредственно ни с	1	1
85	имеем в виду	3	1
86	его с другими	1	1
87	в широком смысле	2	1
88	весьма вероятно что	1	1
89	и по своим	1	1
90	и в сущности	2	1
91	в котором он	2	1
92	но далеко не	1	1
93	в таком случае	1	1
94	в так называемой	1	1
95	или что еще	1	1
96	в одном из	1	1
97	а следовательно и	2	1
98	их отношение к	2	1
99	духе и в	2	1
100	состоит в том	1	1
101	лицом к лицу	1	1
102	во всех других	2	1
103	атмосферу в которой	1	1
104	как бы в	2	1
105	в котором они	1	1
106	с другой стороны	3	1
107	мысли о самоубийстве	1	1
108	мы уже говорили	3	1
109	но тем не	1	1
110	к мысли о	1	1
111	рождение и смерть	1	1
112	одном из своих	1	1
113	не совпадает с	1	1
114	при этом не	1	1
115	широком смысле этого	1	1
116	более и более	1	1
117	но они не	1	1
118	его жизнь в	1	1
119	все же есть	1	1
120	пор еще недостаточно	2	1
121	лишь то что	1	1
122	друг к другу	1	1
