N	3gram	Losev_Prob	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	4	7
3	с точки зрения	3	6
4	во всяком случае	11	6
5	по крайней мере	8	5
6	а с другой	1	5
7	до сих пор	6	5
8	для того чтобы	9	5
9	в том числе	2	5
10	более или менее	7	5
11	том числе и	2	4
12	но все же	1	4
13	о том что	16	4
14	к тому же	1	4
15	в том что	7	3
16	в конце концов	11	3
17	так же как	2	3
18	всяком случае не	1	3
19	в связи с	7	3
20	точно так же	7	3
21	а так как	1	3
22	тем не менее	25	3
23	так или иначе	7	3
24	ничего общего с	9	2
25	и потому что	1	2
26	той или иной	5	2
27	такое положение дела	1	2
28	в значительной мере	2	2
29	то что он	3	2
30	на то что	12	2
31	таким образом в	1	2
32	с самого начала	2	2
33	то ясно что	1	2
34	может быть даже	2	2
35	то или иное	2	2
36	но вместе с	1	2
37	то же самое	9	2
38	так и от	1	2
39	можно сказать что	6	2
40	бы то ни	2	2
41	в этом отношении	2	2
42	потому что и	1	2
43	в то же	4	2
44	друг на друга	1	2
45	и в этом	5	2
46	может быть и	5	2
47	вместе с другими	1	1
48	но в конце	1	1
49	сами по себе	5	1
50	так и в	2	1
51	и даже чем	1	1
52	ближайшем рассмотрении оказывается	1	1
53	мы видели выше	1	1
54	ничего подобного нет	1	1
55	с представлением о	1	1
56	не потому что	2	1
57	с тем или	1	1
58	имеющего ничего общего	1	1
59	и тот же	1	1
60	а между тем	1	1
61	в настоящее время	17	1
62	не только не	4	1
63	иметь в виду	4	1
64	что мы можем	1	1
65	и связанного с	1	1
66	может и не	1	1
67	том что все	1	1
68	но в то	1	1
69	ни один из	1	1
70	не можем но	1	1
71	тоже не вполне	1	1
72	в этой области	5	1
73	но для этого	1	1
74	тем что в	2	1
75	с нашей точки	1	1
76	не имеющего ничего	1	1
77	этот мир не	1	1
78	но когда мы	2	1
79	до известной степени	1	1
80	и только в	2	1
81	не может быть	5	1
82	вступив на путь	1	1
83	с первого взгляда	2	1
84	и в то	1	1
85	любви ко всему	1	1
86	в данном случае	10	1
87	мы имеем в	1	1
88	в том или	1	1
89	не только от	1	1
90	а потому что	1	1
91	что в этой	1	1
92	во всей своей	1	1
93	а в том	1	1
94	и в настоящее	1	1
95	до настоящего времени	1	1
96	не имеет никакого	2	1
97	и в результате	1	1
98	из них не	1	1
99	в себе не	3	1
100	не менее совершенно	1	1
101	полное тождество с	1	1
102	в первую очередь	1	1
103	что в этом	1	1
104	и того же	2	1
105	нашей точки зрения	1	1
106	один и тот	1	1
107	не может не	1	1
108	имеем в виду	1	1
109	сам он не	1	1
110	что все эти	1	1
111	с тем что	2	1
112	из себя как	1	1
113	и есть то	1	1
114	том или ином	1	1
115	хотя бы например	1	1
116	на этот раз	2	1
117	в самом деле	4	1
118	и на то	1	1
119	но далеко не	1	1
120	в таком случае	14	1
121	или по крайней	4	1
122	каждая из этих	1	1
123	указывает на то	3	1
124	а следовательно и	1	1
125	при ближайшем рассмотрении	1	1
126	и только на	1	1
127	но эта связь	1	1
128	и что он	1	1
129	только то что	6	1
130	крайней мере в	2	1
131	в чем именно	1	1
132	сказать и о	3	1
133	с другой стороны	7	1
134	здесь идет речь	2	1
135	тем и другим	2	1
136	утверждать что в	1	1
137	но тем не	1	1
138	рождение и смерть	1	1
139	о том как	2	1
140	свидетельствует о том	3	1
141	рассмотрении оказывается что	1	1
142	что самый термин	1	1
143	не совпадает с	2	1
144	в то время	2	1
145	самом деле если	1	1
146	только тогда когда	4	1
147	сливаются в одно	2	1
148	ввиду того что	1	1
149	и следовательно для	1	1
150	все эти элементы	1	1
151	еще и потому	1	1
152	смысле слова здесь	1	1
153	одного и того	2	1
154	в этом последнем	1	1
155	друг к другу	2	1
