N	2gram	Vygotskiy_	VLabPisa
1	таким образом	35	32
2	в этом	30	29
3	не только	24	26
4	и в	55	26
5	и т	12	25
6	может быть	34	23
7	во сне	1	21
8	и не	19	20
9	хотя бы	5	20
10	не может	15	17
11	в процессе	1	17
12	в письме	2	16
13	т д	6	16
14	в его	8	15
15	в том	50	15
16	этом отношении	3	14
17	в силу	3	14
18	все это	8	13
19	прежде всего	6	13
20	в качестве	2	12
21	вот что	2	12
22	письме к	1	12
23	в частности	6	12
24	как это	16	12
25	что в	43	11
26	с другой	12	11
27	из них	7	11
28	то же	16	10
29	не могут	4	10
30	в художественном	4	10
31	о том	24	10
32	но и	16	10
33	по этому	5	10
34	и др	2	10
35	для него	5	9
36	об этом	5	9
37	т п	5	9
38	к этому	5	9
39	могут быть	8	8
40	другой стороны	8	8
41	только в	12	8
42	все эти	5	8
43	вместе с	16	8
44	том что	46	8
45	ни один	2	8
46	было бы	15	8
47	в своем	12	8
48	вот например	1	7
49	произведения и	1	7
50	это не	9	7
51	говорит о	5	7
52	в конечном	2	7
53	не было	2	7
54	по отношению	3	7
55	очевидно что	3	7
56	тому что	11	7
57	как и	9	7
58	их в	4	7
59	во всех	6	7
60	а не	16	7
61	этому поводу	4	7
62	то что	69	7
63	художественное произведение	5	7
64	главным образом	3	7
65	отношению к	2	7
66	же в	3	7
67	в нем	13	7
68	из этих	4	7
69	один из	9	6
70	думается что	4	6
71	у него	9	6
72	более или	1	6
73	все же	11	6
74	приводит к	2	6
75	это и	7	6
76	бы и	1	6
77	в искусстве	12	6
78	не в	12	6
79	между тем	4	6
80	так и	6	6
81	художественного произведения	3	6
82	в себе	13	6
83	или менее	1	6
84	в зависимости	7	6
85	том же	1	6
86	и его	10	6
87	в то	6	6
88	образы и	1	5
89	даже в	2	5
90	в результате	6	5
91	в их	3	5
92	в них	7	5
93	связи с	2	5
94	следует понимать	2	5
95	одним из	1	5
96	конечном счете	2	5
97	как говорит	6	5
98	зависимости от	9	5
99	к тому	12	5
100	перед нами	5	5
101	не является	3	5
102	он говорит	5	5
103	и образов	1	5
104	действующих лиц	9	5
105	и при	3	5
106	в одном	5	5
107	в пределах	3	5
108	же время	2	5
109	как бы	33	5
110	в целом	7	5
111	сказать что	14	5
112	и есть	7	5
113	показывают что	1	5
114	никогда не	15	5
115	в самом	18	4
116	ее в	2	4
117	только что	11	4
118	вот как	2	4
119	в ее	3	4
120	как раз	19	4
121	можно сказать	4	4
122	что для	6	4
123	в этой	15	4
124	следующим образом	2	4
125	что все	12	4
126	что он	30	4
127	равно как	2	4
128	в виду	5	4
129	по существу	4	4
130	в романе	2	4
131	с тем	10	4
132	с ними	1	4
133	художественном произведении	3	4
134	в своей	8	4
135	одном из	2	4
136	должен быть	3	4
137	с его	6	4
138	для его	2	4
139	это только	5	4
140	когда он	10	4
141	же говорит	1	4
142	в нашей	5	4
143	их и	1	4
144	в сознании	2	4
145	из его	4	4
146	одна из	6	4
147	рассказывает о	2	4
148	по поводу	6	4
149	во время	4	4
150	и ее	1	4
151	и к	5	3
152	что они	11	3
153	видели что	1	3
154	пушкин в	1	3
155	что оно	12	3
156	и он	7	3
157	что у	7	3
158	этой проблемы	1	3
159	этой области	1	3
160	этот процесс	1	3
161	мы знаем	4	3
162	мы имеем	10	3
163	естественно что	2	3
164	того что	12	3
165	никак не	10	3
166	но как	3	3
167	него в	1	3
168	утверждает что	6	3
169	со своим	2	3
170	что и	11	3
171	у нас	7	3
172	сводится к	7	3
173	подобно тому	1	3
174	его в	2	3
175	в форме	2	3
176	др в	1	3
177	если бы	21	3
178	или в	6	3
179	это мы	2	3
180	дают возможность	1	3
181	именно в	9	3
182	в конце	10	3
183	например в	2	3
184	что художник	3	3
185	между ними	2	3
186	и как	10	3
187	в которых	4	3
188	и отдельных	1	3
189	что например	1	3
190	том как	1	3
191	вовсе не	8	3
192	бы в	7	3
193	с этим	4	3
194	интеллектуальной деятельности	1	3
195	а в	7	3
196	попал в	1	3
197	говорил что	2	3
198	что не	5	3
199	некоторые из	1	3
200	в котором	5	3
201	даже и	2	3
202	она не	1	3
203	в противоположность	3	3
204	говорить не	1	3
205	в значительной	1	3
206	пишет о	1	3
207	его не	2	3
208	но даже	1	3
209	того чтобы	43	3
210	для того	45	3
211	тому как	3	3
212	так называемые	1	3
213	и трудно	1	3
214	плана и	1	3
215	и их	3	3
216	всех других	1	3
217	как он	6	3
218	вслед за	3	3
219	далеко не	4	3
220	этот вопрос	6	3
221	так же	19	3
222	при помощи	5	3
223	как на	15	3
224	нет и	2	3
225	это делает	3	3
226	образом в	3	3
227	и от	2	3
228	точки зрения	15	3
229	анной карениной	1	3
230	жизни и	8	3
231	что говорит	1	3
232	значительной мере	1	3
233	толстого в	2	3
234	к работе	1	3
235	всех этих	3	3
236	мы видели	2	3
237	в особенности	3	2
238	к сожалению	2	2
239	представить себе	2	2
240	труда и	1	2
241	и систему	1	2
242	только не	5	2
243	том чтобы	7	2
244	и этот	2	2
245	из которых	5	2
246	нет ни	4	2
247	они не	3	2
248	эта теория	6	2
249	на художественное	1	2
250	если в	1	2
251	также что	1	2
252	на язык	2	2
253	должно быть	6	2
254	того как	4	2
255	с одной	15	2
256	должна быть	2	2
257	это особенно	1	2
258	внимание на	4	2
259	тогда когда	1	2
260	реакции на	1	2
261	смысле слова	2	2
262	своих героев	1	2
263	из основных	1	2
264	говорить о	1	2
265	да и	4	2
266	хотя и	1	2
267	связанное с	1	2
268	о чем	4	2
269	что при	5	2
270	в большей	2	2
271	не приходится	1	2
272	после этого	1	2
273	что такое	2	2
274	а затем	2	2
275	как у	1	2
276	из своих	1	2
277	для них	1	2
278	не столько	1	2
279	его от	1	2
280	представлений и	1	2
281	по себе	13	2
282	частности в	1	2
283	ума и	1	2
284	разобраться в	1	2
285	в своих	9	2
286	что нет	3	2
287	и даже	4	2
288	что ни	4	2
289	сюжета и	2	2
290	этой точки	3	2
291	и наконец	5	2
292	в которой	4	2
293	такое понимание	2	2
294	не о	1	2
295	ни одна	2	2
296	что его	2	2
297	всех его	1	2
298	мысль о	5	2
299	что она	10	2
300	но не	9	2
301	в ней	5	2
302	каждом отдельном	1	2
303	вот это	1	2
304	между собою	1	2
305	в жизни	2	2
306	представляют собою	1	2
307	свидетельствуют о	1	2
308	к его	2	2
309	по одному	1	2
310	и бессознательное	1	2
311	же как	4	2
312	что мы	12	2
313	и просто	3	2
314	на этом	11	2
315	другом месте	1	2
316	что действие	4	2
317	не менее	1	2
318	так сказать	1	2
319	ли не	2	2
320	только для	2	2
321	бы не	1	2
322	остановимся на	4	2
323	может не	1	2
324	образом по	1	2
325	отличается от	4	2
326	после того	1	2
327	в воображении	3	2
328	на то	27	2
329	у пушкина	1	2
330	в стихах	1	2
331	себе и	4	2
332	которая не	1	2
333	в чем	1	2
334	собою и	1	2
335	говорит об	1	2
336	так например	5	2
337	некоторые авторы	2	2
338	могло бы	4	2
339	но к	1	2
340	сих пор	9	2
341	и отдельные	1	2
342	по его	5	2
343	года и	1	2
344	очень многие	1	2
345	от различных	1	2
346	а для	1	2
347	легко и	2	2
348	от них	1	2
349	еще не	6	2
350	нам остается	1	2
351	все они	2	2
352	иметь в	3	2
353	в каждом	2	2
354	во всяком	2	2
355	и потому	8	2
356	понятно что	6	2
357	еще и	1	2
358	обычно и	1	2
359	того или	1	2
360	до сих	9	2
361	человека в	3	2
362	этого положения	1	2
363	а как	3	2
364	ли это	3	2
365	то это	6	2
366	и заключается	6	2
367	в самых	4	2
368	в течение	2	2
369	всяком случае	1	2
370	приходится говорить	1	2
371	и мук	1	2
372	о фантазии	2	2
373	одной стороны	15	2
374	относится к	2	2
375	также и	1	2
376	ту же	3	2
377	в другом	3	2
378	но то	1	2
379	не по	1	2
380	искусства и	8	2
381	не быть	1	2
382	в стихотворении	1	2
383	по крайней	1	2
384	формы и	4	2
385	одному тому	1	2
386	в образах	2	2
387	и может	3	2
388	связана с	1	2
389	каждой из	1	2
390	должны быть	1	2
391	не с	2	2
392	что многие	1	2
393	можно было	6	2
394	часто не	1	2
395	над анной	1	2
396	образами и	1	2
397	даже не	1	2
398	стороны и	5	2
399	и сам	1	2
400	только то	1	2
401	показывает как	1	2
402	от того	6	2
403	знаем что	5	2
404	этому вопросу	1	2
405	как например	2	2
406	пока еще	1	2
407	гете и	1	2
408	как известно	1	2
409	искусстве и	3	2
410	на это	3	2
411	и изобразить	1	2
412	и формы	1	2
413	ни одного	5	2
414	же самое	13	2
415	других видов	1	2
416	он в	3	2
417	вообще и	1	2
418	будто бы	3	2
419	в сфере	1	2
420	и никогда	1	2
421	заключается в	13	2
422	начиная с	1	2
423	которые в	2	2
424	и у	1	2
425	они должны	2	2
426	о его	1	2
427	произведения не	1	2
428	одной из	2	2
429	на него	4	2
430	он не	10	2
431	или иной	2	2
432	он может	3	2
433	эту же	1	2
