N	2gram	Medvedev_V	Tvorches
1	у достоевского	1	91
2	и в	26	56
3	как бы	5	41
4	в его	15	37
5	в романе	4	34
6	в то	6	30
7	достоевского в	1	27
8	то же	10	25
9	в году	7	24
10	не только	26	24
11	же время	5	24
12	но в	2	24
13	как и	7	23
14	то есть	1	23
15	и не	20	23
16	а в	3	23
17	и его	6	23
18	в этом	29	22
19	и т	25	22
20	что в	11	21
21	в том	15	21
22	он не	2	19
23	том что	8	19
24	может быть	23	19
25	потому что	1	19
26	у него	6	18
27	то что	7	18
28	таким образом	32	17
29	что он	4	17
30	т д	16	17
31	все это	13	17
32	но и	10	16
33	никогда не	5	16
34	как в	1	16
35	в творчестве	3	16
36	прежде всего	13	16
37	не может	17	16
38	но это	1	15
39	в этой	4	15
40	с его	4	15
41	и даже	2	14
42	достоевский в	1	14
43	это не	7	14
44	о том	10	13
45	а не	7	13
46	в котором	3	12
47	в целом	5	12
48	в своей	4	11
49	все же	6	11
50	отнюдь не	4	11
51	братьях карамазовых	2	11
52	для него	9	11
53	в самом	4	10
54	и достоевский	2	10
55	творческого процесса	23	10
56	он сам	2	10
57	не в	6	10
58	в конце	3	10
59	только в	8	10
60	когда он	4	10
61	в основном	7	10
62	уже в	1	10
63	так и	6	10
64	но не	2	10
65	как будто	1	10
66	в своих	2	9
67	первой части	1	9
68	а затем	2	9
69	в братьях	1	9
70	и от	3	9
71	один из	6	9
72	в черновиках	1	9
73	в свою	1	9
74	человека в	2	9
75	в нем	7	9
76	даже в	5	8
77	в духе	1	8
78	именно в	3	8
79	в соответствии	1	8
80	не менее	2	8
81	так же	3	8
82	к этому	9	8
83	хотя и	2	8
84	одним из	5	8
85	вместе с	8	8
86	соответствии с	1	8
87	одной из	2	8
88	еще не	2	8
89	в себе	6	8
90	в их	5	8
91	романов достоевского	1	8
92	на его	1	8
93	об этом	9	8
94	вовсе не	3	8
95	человека и	3	8
96	в этих	1	7
97	и сам	2	7
98	года в	1	7
99	например в	3	7
100	уже не	1	7
101	казалось бы	1	7
102	в дальнейшем	1	7
103	что она	2	7
104	и он	3	7
105	в которой	2	7
106	в чем	2	7
107	не случайно	1	7
108	человеческой личности	1	7
109	достоевского и	2	7
110	самом деле	1	7
111	идей в	2	7
112	во сне	21	7
113	еще более	1	6
114	не столько	2	6
115	и как	3	6
116	конечном счете	5	6
117	если он	1	6
118	ф м	1	6
119	на эту	1	6
120	но у	1	6
121	хотя бы	20	6
122	одна из	4	6
123	его в	3	6
124	в конечном	7	6
125	братьев карамазовых	2	6
126	и ее	4	6
127	а потому	1	6
128	своих героев	2	6
129	с ним	1	6
130	если бы	3	6
131	и все	1	6
132	приводит к	6	6
133	в книге	2	6
134	все эти	8	6
135	ли не	2	6
136	и другие	1	5
137	в пользу	2	5
138	у пушкина	2	5
139	в них	5	5
140	что этот	1	5
141	с другой	11	5
142	приходит к	1	5
143	по отношению	7	5
144	отметить что	2	5
145	в своем	8	5
146	во всей	2	5
147	из них	11	5
148	что они	3	5
149	что у	3	5
150	на него	2	5
151	в ее	4	5
152	что и	3	5
153	не было	7	5
154	что не	3	5
155	в таком	1	5
156	и это	1	5
157	и у	2	5
158	а с	1	5
159	героя и	1	5
160	т п	9	5
161	если не	1	5
162	между тем	6	5
163	процесса в	2	5
164	дело не	1	5
165	значит что	2	5
166	показывает что	2	5
167	романа и	1	5
168	с этим	3	5
169	в творческом	3	5
170	в истории	1	5
171	начиная с	2	5
172	в образе	2	5
173	том же	6	5
174	у гоголя	1	5
175	мы не	1	5
176	как у	2	5
177	бы не	2	5
178	в виде	1	5
179	но с	2	5
180	в ту	1	5
181	и по	3	5
182	и других	1	5
183	это как	1	5
184	как он	3	5
185	отношению к	7	5
186	в известной	2	5
187	с этой	1	4
188	говорит о	7	4
189	него в	3	4
190	тем что	1	4
191	роль в	4	4
192	а а	1	4
193	о достоевском	1	4
194	только на	1	4
195	говорить о	2	4
196	говорит что	1	4
197	не вполне	2	4
198	рассказывает о	4	4
199	самого начала	1	4
200	утверждал что	1	4
201	что все	4	4
202	точки зрения	3	4
203	это значит	1	4
204	крайней мере	2	4
205	мы видим	1	4
206	и мы	1	4
207	в дневнике	3	4
208	и потому	2	4
209	марта года	2	4
210	и через	2	4
211	сновидения и	2	4
212	что его	2	4
213	который в	2	4
214	же как	2	4
215	так сказать	2	4
216	творческом процессе	6	4
217	сих пор	2	4
218	не был	1	4
219	в каждом	2	4
220	не означает	1	4
221	личности и	1	4
222	романы достоевского	1	4
223	как это	12	4
224	но только	1	4
225	этот вопрос	3	4
226	ту же	2	4
227	как известно	2	4
228	могут быть	8	4
229	о его	2	4
230	и есть	5	4
231	до сих	2	4
232	в действии	1	4
233	утверждает что	3	4
234	с ними	4	4
235	сюжета и	2	4
236	января года	3	4
237	в в	1	4
238	в которых	3	4
239	года и	2	4
240	по крайней	2	4
241	перед нами	5	4
242	нет ничего	1	4
243	это и	6	4
244	его и	1	4
245	в основе	1	4
246	связана с	2	4
247	эта мысль	1	4
