N	4gram	Vygotskiy_	slovoVRo
1	одно и то же	3	3
2	с этой точки зрения	2	2
3	лежащая в их основе	1	2
4	и то же слово	1	2
5	в то время как	3	2
6	или во всяком случае	2	2
7	о которых мы говорили	2	2
8	в двух планах в	1	2
9	привело к тому что	1	2
10	до сих пор не	1	2
11	и т п могут	1	1
12	в том случае если	4	1
13	в том что она	2	1
14	для того чтобы увидеть	2	1
15	так что они утрачивают	1	1
16	что они утрачивают свою	1	1
17	так же нелепо как	1	1
18	и т п то	1	1
19	и параллельно с этим	1	1
20	там где она не	1	1
21	в том что в	1	1
22	мы уже говорили что	1	1
23	одной и той же	3	1
24	которая лежит в основе	1	1
25	по самому своему существу	1	1
26	слов и т п	1	1
27	том что он не	2	1
28	в том что оно	1	1
29	в том что он	3	1
30	все более и более	4	1
31	и с точки зрения	1	1
32	заключается в том чтобы	1	1
33	в целом ряде случаев	1	1
34	друг с другом и	2	1
35	из области поэзии и	1	1
36	а также и в	1	1
37	так же как и	1	1
38	как мы уже говорили	1	1
